"Year","Urban","Total"
1950,746481.268,2525778.669
1955,872133.969,2761650.981
1960,1019494.911,3026002.942
1965,1183910.279,3329122.479
1970,1350280.789,3691172.616
1975,1534721.238,4071020.434
1980,1749539.272,4449048.798
1985,2003049.795,4863601.517
1990,2285030.904,5320816.667
1995,2568062.984,5741822.412
2000,2856131.072,6127700.428
2005,3199013.076,6514094.605
2010,3571272.167,6916183.482
2015,3957285.013,7324782.225
2020,4338014.924,7716749.042
2025,4705773.576,8083412.759
2030,5058158.46,8424937.474
2035,5394234.712,8743446.952
2040,5715413.029,9038687.151
2045,6030924.065,9308438.178
2050,6338611.492,9550944.891
