,"Title","status","notes","type","type.notes","techniques.broad","techniques","techniques.IO","techniques.other","techniques.notes","focus.broad.cat","focus.broad","focus","focus.multiple","focus.other","focus.notes","method","use","use.other","use.notes","text.label"
"1","Towards an Agro-Industrial Ecology: A review of nutrient flow modelling and assessment tools in agro-food systems at the local scale","keep","Brief discussion on nutrient budgeting wihtin urban meatoblism (provides ideas for the main idea of the paper (rural focus): “conceptualisation of urban actors as producters, consumpers and reducers (or waste recyclers)... However, the poor mechanistic basis underlying urban metabolism may prevent their use for exploring and simulating options for more efficient recycling loops within socila-ecollogical systems.”","conceptual","Conceptual ideas borrowed from UM (mass balances between different urban actors (producers, consumers, and reducers).","medium","relate actors","no","NA","relate actors","resource","multiple resources","nutrients","NA","NA","nutrient flows","conceptual","system understanding/improvements","NA","identify more efficient recycling systems",
"2","Dynamic simulation of urban water metabolism under water environmental carrying capacity restrictions","keep","Simulation, using system dynamics model for UWMS under “water environmental carrying capacity”, simulating water metabolic processes for different scenarios, enabling sensitivity analysis (e.g. WECC improved from new facilitites, or water reclamation etc.) f(interactions, feedback mechanisms etc.), using formulas and parameters.","mathematical","Mathematical","low","mass and/or energy balance","no","NA","Mathematical representation of system dynamics, mass balance","resource","single resource","water","NA","NA","Urban water system and its related metabolic flows","simulation","scenario analysis","NA","simulation, sensitivity analysis, scenario analysis","Zeng et al. (2014)"
"3","Modeling the carbon cycle of the municipal solid waste management system for urban metabolism","keep","To identify carbon stocks and sources under different scenarios. Fluxes for conceptual model in Fig. 1, represented by equations. Scenario analysis appleid to Jingmen City case study with different management approaches (incinceration. Source separation etc.) Based on urban metabolism theory.","mathematical","Mathematical","low","mass and/or energy balance","no","NA","Mathematical representation of system dynamics, mass balance","resource","single resource","carbon","NA","NA","carbon","simulation","scenario analysis","NA","scenario analysis",
"4","Integrated ecological modelling for sustainable urban metabolism and management","keep","Not sure if to cut. This is the editorial for a journal. Section 2.2 looks useful","CUT","CUT","CUT","CUT","no","NA","CUT","CUT","CUT","CUT","NA","NA","CUT","CUT","CUT","NA","CUT",
"5","A systemic framework and analysis of urban water energy","keep","Reviews existing urban water-energy models according to different boundaries [energy impacts of urban water systems]","CUT","CUT","CUT","CUT","no","NA","CUT","CUT","CUT","CUT","NA","NA","CUT","CUT","CUT","multiple","CUT",
"6","Advantages of integrated and sustainability based assessment for metabolism based strategic planning of urban water systems","keep","Model to test interventions into the UWS against sustianability criteria from its metabolic impacts. WaterMet2 model (mass balance conceptual simulation of water and other resources). Apllied to Northern European city (with population growth etc.). E.g. forecast energy consumption of Oslo water utlity over 30 year horizon under a given intervention","mathematical","Mathematical","low","mass and/or energy balance","no","NA","Mathematical representation of system dynamics, mass balance","resource","single resource","water","NA","NA","Urban water system and their related metabolic flows","simulation","scenario analysis","NA","simulation, sensitivity analysis, scenario analysis",
"7","Metabolism-modelling approaches to long-term sustainability assessment of urban water services","keep","Also WaterMet2 – mass balanced based models. In additiona a dynamic metabolism model. Together used in  “holistic Sustainability Assessment Framework”. DMM produces annual aggregated performance measures  (for system-wide indicators). WM2 simulated flows throught the UWS components (to focus on spatial/temporal details). Together¸ can “quantitatively explore and understand the ifnluences of different external drivers and intervention strategies on future perfomrnace profiles linked to any physical, environmental and economic criteria”)","mathematical","Mathematical","low","mass and/or energy balance","no","NA","Mathematical representation of system dynamics, mass balance","resource","single resource","water","NA","NA","Urban water system and their related metabolic flows","simulation","scenario analysis","NA","simulation, sensitivity analysis, scenario analysis",
"8","Modelling metabolism based performance of an urban water system using WaterMet2","keep","Describes concepts and equations of WaterMet2 model. Data requirements include component characteristics (e.g. storage and transport capacity), energy and cost per unit volume of water, water demand profiles, etc.","mathematical","Mathematical","low","mass and/or energy balance","no","NA","Mathematical representation of system dynamics, mass balance","resource","single resource","water","NA","NA","Urban water system and their related metabolic flows","simulation","scenario analysis","NA","simulation, sensitivity analysis, scenario analysis",
"9","Carbon Metabolism in Urban Communities","keep","Proposes a new perspective (i.e. conceptual model, looking at “major sectors and pathways” and “interactions of metabolic processes”) to track carbon through urban area. Accurate analysis on carbon flows can lead to better management.","conceptual","Conceptual","medium","other","no","relate sectors","relate sectors","resource","single resource","carbon","NA","NA","carbon","conceptual","system understanding/improvements","NA","improve carbon management",
"10","Net Zero Fort Carson: Integrating Energy, Water, and Waste Strategies to Lower the Environmental Impact of a Military Base","keep","keep (“A system dynamics model is used to simulate urban metabolism through Fort Carson's energy, water, and waste systems.”)","mathematical","Mathematical","low","mass and/or energy balance","no","NA","Mathematical representation of system dynamics, mass balance, energy balance","resource","multiple resources","multiple","energy, water, waste","NA","energy, water, waste","simulation","scenario analysis","NA","simulation, scenario analysis",
"11","Spatial allocation of material flow analysis in residential developments: A case study of Kildare County, Ireland","keep","“introduces the Spatial Allocation of Material Flow Analysis (SAMFA) model as a potential decision support tool...”","mathematical","Mathematical","low","mass and/or energy balance","no","NA","Mathematical representation of system components, mass balance","other","form","spatial allocation","energy, materials","NA","spatial distribution of material flows and energy use","simulation","scenario analysis","NA","scenario analysis",
"12","Urban Mining's Potential to Relieve China's Coming Resource Crisis","keep","Keep “established predictive models for metal demand, recycling, and stock, basedon stock analysis, material flow analysis, and a life distribution model, and then analyzed the metabolism of the four resources and compared the environmental effects of three scenarios.” Simulation (with statistical elements)","mathematical","Mathematical","low","integrated","no","NA","Mathematical representation of system components, mass balance, probability distribution of product life, and mathematical representation of resource stocks.","resource","multiple resources","other","NA","metals","Urban mining of metals","simulation","scenario analysis","NA","scenario analysis, ",
"13","A system-of-systems approach to understanding urbanization – state of the art and prospect","keep","can't access – possible relevant (can't tell if introduces a model)","CUT","RETURN","CUT","RETURN","no","NA","RETURN","RETURN","RETURN","RETURN","NA","NA","RETURN","CUT","RETURN","NA","RETURN",
"14","Spatiotemporal characteristics of anthropogenic heat in an urban environment: A case study of Tsinghua Campus","keep","borderline (only considers anthropogenic heat)","mathematical","Mathematical","low","Bottom-up mathematical description","no","NA","Bottom-up mathematical formulation of anthropogenic heat sources","resource","single resource","energy","Anthropogenic heat","NA","Anthropogenic heat","simulation","other","weather","Understanding, to inform weather models",
"15","Fuzzy evaluation of heterogeneous quantities: Measuring urban ecological efficiency","keep","Borderline. this is more an index, rather than a model, so relevant elsewhere. Also has relevant insights on 'middle-out' view of a city ('I/O metabolic schema'). It could still be a model in our sense.","CUT","CUT. This is an indicator (fuzzily defined)","CUT","CUT. This is an indicator (fuzzily defined)","no","NA","CUT. This is an indicator (fuzzily defined)","CUT","CUT","CUT. This is an indicator (fuzzily defined)","NA","NA","CUT. This is an indicator (fuzzily defined)","CUT","CUT. This is an indicator (fuzzily defined)","NA","CUT. This is an indicator (fuzzily defined)",
"16","Advanced use of the urban metabolism model in rapidly changing cities","keep","don't have access to full text of conference paper, but looks relevant. (“the way to calculate energy flows as input for sustainable urban design when population change is serious and the way to destign cities when incorporating the results of dynamic urban metabolism” as opposed to “in and outgoing [energy and other] flows accately, but only at a single moment in time.”)","conceptual","Conceptual","medium","relate various","no","NA","Rough calculations","resource","multiple resources","multiple","energy, water, waste, food","NA","dynamic changes (e.g. population) to energy, water, food and waste","conceptual","scenario analysis","NA","dynamic predictions of urban metabolism (e.g. populations changes due to refugee influx)",
"17","An integrated material metabolism model for stocks of Urban road system in Beijing, China","keep","a measurement model. “Quantitative analysis of metabolic processes on urban road systems, especially the scale, composition and spatial distribution of their stocks, could help to assess the resource approriation and potential environmental impacts, as well as improve urban metabolism models … an integrated model...was built for calculating the material stocks of urban raod systems. Based on a bottom-up method...” Can apply senstivity analysis (e.g. to test contribution of carriageways width etc.) “A GIS-based MS computation model...local parameters were established mainly by survery and high-reolution remote sensing imagergy”","mathematical","Mathematical","low","Bottom-up mathematical description","no","NA","Bottom-up mathematical formulation. Parameters from GIS.","other","form","stocks","roads","NA","material stocks of urban road systems","simulation","scenario analysis","NA","Understanding, sensitivity analysis",
