Authors,Title,status,notes,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Source,EID
"Fernandez-Mena, H., Nesme, T., Pellerin, S.",Towards an Agro-Industrial Ecology: A review of nutrient flow modelling and assessment tools in agro-food systems at the local scale,keep,"Brief discussion on nutrient budgeting wihtin urban meatoblism (provides ideas for the main idea of the paper (rural focus): “conceptualisation of urban actors as producters, consumpers and reducers (or waste recyclers)... However, the poor mechanistic basis underlying urban metabolism may prevent their use for exploring and simulating options for more efficient recycling loops within socila-ecollogical systems.”",2016,Science of the Total Environment,543,,,467,479,,,10.1016/j.scitotenv.2015.11.032,http://www.scopus.com/inward/record.url?eid=2-s2.0-84947461465&partnerID=40&md5=336a4b9c4845cbdff3fd98f782262cdd,Article,Scopus,2-s2.0-84947461465
"Zeng, W., Wu, B., Chai, Y.",Dynamic simulation of urban water metabolism under water environmental carrying capacity restrictions,keep,"Simulation, using system dynamics model for UWMS under “water environmental carrying capacity”, simulating water metabolic processes for different scenarios, enabling sensitivity analysis (e.g. WECC improved from new facilitites, or water reclamation etc.) f(interactions, feedback mechanisms etc.), using formulas and parameters.",2016,Frontiers of Environmental Science and Engineering,10,1,,114,128,,,10.1007/s11783-014-0669-6,http://www.scopus.com/inward/record.url?eid=2-s2.0-84949105659&partnerID=40&md5=70799a939c9a0926572e25cbdcc5c762,Article,Scopus,2-s2.0-84949105659
"Zhou, C., Huang, H., Cao, A., Xu, W.",Modeling the carbon cycle of the municipal solid waste management system for urban metabolism,keep,"To identify carbon stocks and sources under different scenarios. Fluxes for conceptual model in Fig. 1, represented by equations. Scenario analysis appleid to Jingmen City case study with different management approaches (incinceration. Source separation etc.) Based on urban metabolism theory.",2015,Ecological Modelling,318,,,150,156,,2,10.1016/j.ecolmodel.2014.11.027,http://www.scopus.com/inward/record.url?eid=2-s2.0-84946596756&partnerID=40&md5=8058fa0aca30aff7739416c90c5e9129,Article,Scopus,2-s2.0-84946596756
"Chen, B.",Integrated ecological modelling for sustainable urban metabolism and management,keep,Not sure if to cut. This is the editorial for a journal. Section 2.2 looks useful,2015,Ecological Modelling,318,,,1,4,,,10.1016/j.ecolmodel.2015.10.009,http://www.scopus.com/inward/record.url?eid=2-s2.0-84946566319&partnerID=40&md5=4631acab164e8e653ed6833bbe5421e0,Editorial,Scopus,2-s2.0-84946566319
"Saha, M., Eckelman, M.J.",Geospatial assessment of potential bioenergy crop production on urban marginal land,cut,Cut. Not urban metabolism,2015,Applied Energy,159,,,540,547,,,10.1016/j.apenergy.2015.09.021,http://www.scopus.com/inward/record.url?eid=2-s2.0-84942279041&partnerID=40&md5=d9865d3624418805ea60d284a49eb007,Article,Scopus,2-s2.0-84942279041
"Smith, R.M., Kaushal, S.S.","Carbon cycle of an urban watershed: exports, sources, and metabolism",cut,"Cut. Focuses on the watersheds, not urban metabolism.",2015,Biogeochemistry,126,1-2,,173,195,,,10.1007/s10533-015-0151-y,http://www.scopus.com/inward/record.url?eid=2-s2.0-84948080968&partnerID=40&md5=da39eec3c6edabdf9446ddd0afc0f4f9,Article,Scopus,2-s2.0-84948080968
"Kenway, S.J., Binks, A., Lane, J., Lant, P.A., Lam, K.L., Simms, A.",A systemic framework and analysis of urban water energy,keep,Reviews existing urban water-energy models according to different boundaries [energy impacts of urban water systems],2015,Environmental Modelling and Software,73,,3503,272,285,,,10.1016/j.envsoft.2015.08.009,http://www.scopus.com/inward/record.url?eid=2-s2.0-84940765286&partnerID=40&md5=a829e98382cc5d27fc3cfa1034e30f3a,Article,Scopus,2-s2.0-84940765286
"Behzadian, K., Kapelan, Z.",Advantages of integrated and sustainability based assessment for metabolism based strategic planning of urban water systems,keep,Model to test interventions into the UWS against sustianability criteria from its metabolic impacts. WaterMet2 model (mass balance conceptual simulation of water and other resources). Apllied to Northern European city (with population growth etc.). E.g. forecast energy consumption of Oslo water utlity over 30 year horizon under a given intervention,2015,Science of the Total Environment,527-528,,,220,231,,1,10.1016/j.scitotenv.2015.04.097,http://www.scopus.com/inward/record.url?eid=2-s2.0-84929493355&partnerID=40&md5=e64da0a207be8ef1acd424d7b074796c,Article,Scopus,2-s2.0-84929493355
"Venkatesh, G., Brattebø, H., Sægrov, S., Behzadian, K., Kapelan, Z.",Metabolism-modelling approaches to long-term sustainability assessment of urban water services,keep,"Also WaterMet2 – mass balanced based models. In additiona a dynamic metabolism model. Together used in  “holistic Sustainability Assessment Framework”. DMM produces annual aggregated performance measures  (for system-wide indicators). WM2 simulated flows throught the UWS components (to focus on spatial/temporal details). Together¸ can “quantitatively explore and understand the ifnluences of different external drivers and intervention strategies on future perfomrnace profiles linked to any physical, environmental and economic criteria”)",2015,Urban Water Journal,,,,,,12,1,10.1080/1573062X.2015.1057184,http://www.scopus.com/inward/record.url?eid=2-s2.0-84929490535&partnerID=40&md5=0782a360752ded6182c0ce8e6c4056b2,Article in Press,Scopus,2-s2.0-84929490535
"Behzadian, K., Kapelan, Z.",Modelling metabolism based performance of an urban water system using WaterMet2,keep,"Describes concepts and equations of WaterMet2 model. Data requirements include component characteristics (e.g. storage and transport capacity), energy and cost per unit volume of water, water demand profiles, etc.",2015,"Resources, Conservation and Recycling",99,,,84,99,,4,10.1016/j.resconrec.2015.03.015,http://www.scopus.com/inward/record.url?eid=2-s2.0-84928947331&partnerID=40&md5=fe879321669043c38b72a9ae5ba50c95,Article,Scopus,2-s2.0-84928947331
