"Authors","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Page count","Cited by","DOI","Link","Document Type","Source","EID"
"Descoins, N., Deleris, S., Lestienne, R., Trouvé, E., Maréchal, F.","Energy efficiency in waste water treatments plants: Optimization of activated sludge process coupled with anaerobic digestion",2012,"Energy",41,1,,153,164,,12,"10.1016/j.energy.2011.03.078","http://www.scopus.com/inward/record.url?eid=2-s2.0-84860011022&partnerID=40&md5=ff9ed702a32833873dc52f523d485a53","Article","Scopus","2-s2.0-84860011022"
"Dubreuil, A., Assoumou, E., Bouckaert, S., Selosse, S., Maïzi, N.","Water modeling in an energy optimization framework - The water-scarce middle east context",2013,"Applied Energy",101,,,268,279,,16,"10.1016/j.apenergy.2012.06.032","http://www.scopus.com/inward/record.url?eid=2-s2.0-84869865015&partnerID=40&md5=5942aebbd5d95370bbbc736f1b697d2c","Article","Scopus","2-s2.0-84869865015"
"De Gussem, K., Wambecq, T., Roels, J., Fenu, A., De Gueldre, G., Van De Steene, B.","Cost optimisation and minimisation of the environmental impact through life cycle analysis of the waste water treatment plant of Bree (Belgium)",2011,"Water Science and Technology",63,1,,164,170,,6,"10.2166/wst.2011.027","http://www.scopus.com/inward/record.url?eid=2-s2.0-79251491036&partnerID=40&md5=cdb5b69063ca5a8b1e71e16d8ecacbbb","Article","Scopus","2-s2.0-79251491036"
"Zsigraiová, Z., Tavares, G., Semiao, V., Carvalho, M.G.","Integrated waste-to-energy conversion and waste transportation within island communities",2009,"Energy",34,5,,623,635,,15,"10.1016/j.energy.2008.10.015","http://www.scopus.com/inward/record.url?eid=2-s2.0-65549127341&partnerID=40&md5=f791713cbd3e4476e302c3d7552913a3","Article","Scopus","2-s2.0-65549127341"
"Kwak, D.-H., Binns, M., Kim, J.-K.","Integrated design and optimization of technologies for utilizing low grade heat in process industries",2014,"Applied Energy",131,,,307,322,,7,"10.1016/j.apenergy.2014.06.037","http://www.scopus.com/inward/record.url?eid=2-s2.0-84904128819&partnerID=40&md5=24ed6f92cb977ea2eda8630ddcef0432","Article","Scopus","2-s2.0-84904128819"
"Niziolek, A.M., Onel, O., Hasan, M.M.F., Floudas, C.A.","Municipal solid waste to liquid transportation fuels - Part II: Process synthesis and global optimization strategies",2015,"Computers and Chemical Engineering",74,,,184,203,,2,"10.1016/j.compchemeng.2014.10.007","http://www.scopus.com/inward/record.url?eid=2-s2.0-84922571216&partnerID=40&md5=2fea98d82e65100886852ef5d3e6b872","Article","Scopus","2-s2.0-84922571216"
"Gardoni, D., Catenacci, A., Antonelli, M.","Reuse of process water in a waste-to-energy plant: An Italian case of study",2015,"Waste Management",43,,,196,202,,,"10.1016/j.wasman.2015.05.004","http://www.scopus.com/inward/record.url?eid=2-s2.0-84938747171&partnerID=40&md5=088f37c34f6497410e13edb5b37e15bc","Article","Scopus","2-s2.0-84938747171"
"Xiong, B., Chen, L., Meng, F., Sun, F.","Modeling and performance analysis of a two-stage thermoelectric energy harvesting system from blast furnace slag water waste heat",2014,"Energy",77,,,562,569,,3,"10.1016/j.energy.2014.09.037","http://www.scopus.com/inward/record.url?eid=2-s2.0-84909583611&partnerID=40&md5=7cd433976f08e888c359665331eca5fa","Article","Scopus","2-s2.0-84909583611"
"Wang, J., Yan, Z., Wang, M., Dai, Y.","Thermodynamic analysis and optimization of an ammonia-water power system with LNG (liquefied natural gas) as its heat sink",2013,"Energy",50,1,,513,522,,23,"10.1016/j.energy.2012.11.034","http://www.scopus.com/inward/record.url?eid=2-s2.0-84873173924&partnerID=40&md5=650b5e96b222f60dbf68cb3edcccf500","Article","Scopus","2-s2.0-84873173924"
"Béraud, B., Steyer, J.P., Lemoine, C., Latrille, E., Manic, G., Printemps-Vacquier, C.","Towards a global multi objective optimization of wastewater treatment plant based on modeling and genetic algorithms",2007,"Water Science and Technology",56,9,,109,116,,10,"10.2166/wst.2007.592","http://www.scopus.com/inward/record.url?eid=2-s2.0-37349000574&partnerID=40&md5=539eca8b2968269b5ae5347b6d196ccb","Article","Scopus","2-s2.0-37349000574"
