"titles","optimised system(s)","optimised system(s) – details","opt.systems.summary","other systems","integration","type","notes","methods","methods (details)","cat_matches","cat_matches_list","notes","level","level.notes","level_detail","scale","focus"
"Energy efficiency in waste water treatments plants: Optimization of activated sludge process coupled with anaerobic digestion","wastewater",,"single",,"none","plant","plant parameter optimisation`","simulation","simulation",2,"energy, waste","energy efficiency of wastewater treatment","low","e.g. mixture ratios, circulations rates, etc.","process","plant","other"
"Water modeling in an energy optimization framework - The water-scarce middle east context","water","region","single","energy","integrated","system","water, energy","optimisation","linear programming",2,"energy, water","technologies, inputs, outputs, to calculate energy requirements for water, under various scenarios","high","sink/source","regional","region","water n/w integration"
"Cost optimisation and minimisation of the environmental impact through life cycle analysis of the waste water treatment plant of Bree (Belgium)","wastewater",,"single",,"none","plant","lowest cost or lowest LCA","simulation","simulation",3,"energy, various, waste","variety of optimisation strategies for wastewater plant","low","e.g. mixture ratios, circulations rates, etc.","process","plant","other"
"Integrated design and optimization of technologies for utilizing low grade heat in process industries","energy","process industry","single","products","integrated","system","process industry","optimisation","GA",1,"energy","optimisation of heat recovery (for various processes)","medium","component and environmental conditions","site","EIP","energy integration"
"Municipal solid waste to liquid transportation fuels - Part II: Process synthesis and global optimization strategies","fuel production","liquid transportation fuels","single","waste","integrated","system","solid waste, superstructure representation of facilities","optimisation","MINLP",2,"energy, waste","MINLP (economics, emissions)","medium","superstructure with non-generic specifics","refinery","plant","other"
"Thermodynamic analysis and optimization of an ammonia-water power system with LNG (liquefied natural gas) as its heat sink",,,,,,,,,,1,"energy","CUT",,,,,"other"
"Towards a global multi objective optimization of wastewater treatment plant based on modeling and genetic algorithms","wastewater","wastewater quality","single",,"none","plant","plant parameters (e.g. sludge flowrate), quality and energy","optimisation","GA",2,"energy, waste","Mutli-objective GA","medium",,"plant","plant","other"
"Performance prediction and optimization of a waste-to-energy cogeneration plant with combined wet and dry cooling system","energy","energy","single",,"none","plant","WtE cogen parameter optimisation","simulation","simulation with grid-search method",2,"energy, waste","Waste-to-district-heat","low","operating and environmental conditions","plant","plant","other"
"Parametric study and optimization of an ejector-expansion TRCC cycle integrated with a water purification system","energy, water","energy, water","energy, water",,"highly integrated","plant","Paramter optimisation for using waste heat for simultaneous power production and water purification.","optimisation","direct search method",3,"energy, waste, water","waste heat recovery from simultaneous power production and waste heat recovery","low","operating conditions","plant","plant","other"
"Development and optimization of a modified process for producing the battery grade LiOH: Optimization of energy and water consumption","fuel production","LiOH production","single",,"none","plant","Parameter optimisation for energy, water","simulation","simulation",3,"energy, various, water","Plant parameters for LiOH optimal reduction of energy and water","low","e.g. mixture ratios, circulations rates, etc.","plant","plant","other"
"Flow rate optimization of a linear concentrating photovoltaic system",,,,,,,,,,,,"CUT",,,,,"other"
"Degradation of industrial waste waters on Fe/C-fabrics. Optimization of the solution parameters during reactor operation",,,,,,,,,,,,"CUT",,,,,"other"
"Optimization of energy costs in the pretreatment of olive mill wastewaters by electrocoagulation","wastewater","wastewater","single",,"none","plant","parameter optimistion","concrete statistical","CUT – experimental/statistical",2,"energy, waste","optimise energy costs in wastewater","low","operating conditions",,"plant","other"
"Compromising economic cost and air pollutant emissions of municipal solid waste management strategies by fuzzy multiobjective optimization model",,,,,,,,,,,,"CUT",,,,,"other"
"Stochastic, multiobjective, mixed-integer optimization model for wastewater-derived energy","CUT","CUT","CUT",,,,,,,2,"energy, waste","CUT",,,,"plant","other"
"Detailed dynamic pumping energy models for optimization and control of wastewater applications",,,,,,,,,,,,"CUT",,,"can't access full article",,"other"
"Comprehensive River Water Quality Management by Simulation and Optimization Models",,,,,,,,,,,,"CUT",,,,,"other"
"Nutrient and cost optimization of fertilizing strategies for Salix including use of organic waste products","other","crop fertilization strategy","single","waste, commercial fertilizer","integrated","system","to meet nutrient load without exceeding environmeal limits, using commercial ferlizers, and organic wastes","optimisation","MIP",2,"energy, waste","optimise waste-based fertilizer strategy for cultivating energy crops","high","quantities and locations",,"agricultural area","other"
"Experimental and theoretical investigation of Stirling engine heater: Parametrical optimization",,,,,,,,,,,,"CUT",,,,,"other"
"Investigation on the thermal performance and optimization of a heat pump water heater assisted by shower waste water","energy","energy","single",,"none","plant","wastewater, parameter optimistion","simulation","simulation",2,"energy, waste","optimising performance of an energy from waste shower water heat pump","low","operating conditions",,"domestic","other"
"Optimisation of biomass waste to energy conversion systems for rural grid-connected applications","energy","energy","single",,"none","plant","waste, unit parameter optimisation for given herd size","optimisation","tabu search",2,"energy, waste","optimisation of biomass waste to energy","low","size and operating modes",,"plant","other"
"Fuzzy optimization of a waste-to-energy network system in an eco-industrial park","energy","EIP","single","waste, products","integrated","system","from waste in EIP, to maximise enrgy, from a sink-source superstructure","optimisation","Fuzzy MILP",2,"energy, waste","optimisation of waste-to-energy for EIP","high","sink/source","EIP","EIP","energy-* integration"
"HVAC system optimization - Condenser water loop",,,,,,,,,,,,"CUT",,,,,"other"
