"titles","word_matches","cat_matches","cat_matches_list","optim"
"Screening co-digestion of food waste water with manure for biogas production",6,5,"energy, other, various, waste, water",0
"Enhanced hydrolysis and methane yield by applying microaeration pretreatment to the anaerobic co-digestion of brown water and food waste",7,5,"energy, other, various, waste, water",0
"Energy efficiency in waste water treatments plants: Optimization of activated sludge process coupled with anaerobic digestion",6,4,"energy, various, waste, water",1
"The impact of horizontal water velocity on the energy consumption of a full-scale wastewater treatment plant",4,4,"energy, various, waste, water",0
"Heat pump CPCS-RBF predictive control based on multiple boundary conditions in circulating water waste heat recovery system",4,4,"energy, various, waste, water",0
"Waste water treatment plants as regional energy cells - Evaluation of economic and ecologic potentials in Austria",4,4,"energy, various, waste, water",0
"Bioenergy, material, and nutrients recovery from household waste: Advanced material, substance, energy, and cost flow analysis of a waste refinery process",5,4,"energy, other, various, waste",0
"Optimal design for heat-integrated water-using and wastewater treatment networks",6,4,"energy, various, waste, water",1
"Optimization of a microbial fuel cell for wastewater treatment using recycled scrap metals as a cost-effective cathode material",7,4,"energy, other, various, waste",1
"Energy consumption and greenhouse gases emissions from the use of alternative water sources in South East Queensland",5,4,"energy, various, waste, water",0
"Energy recovery from waste food by combustion or gasification with the potential for regenerative dehydration: A case study",6,4,"energy, other, various, waste",0
"Hydrogen and methane production by co-digestion of waste activated sludge and food waste in the two-stage fermentation process: Substrate conversion and energy yield",8,4,"energy, other, various, waste",0
"Recovery of solid fuel from municipal solid waste by hydrothermal treatment using subcritical water",7,4,"energy, various, waste, water",0
"Optimization of biological hydrogen production for anaerobic co-digestion of food waste and wastewater biosolids",7,4,"energy, other, various, waste",1
"Energy potential from the anaerobic digestion of food waste in municipal solid waste stream of urban areas in Vietnam",5,4,"energy, other, various, waste",0
"Analysis of vehicle exhaust waste heat recovery potential using a Rankine cycle",4,4,"energy, other, various, waste",0
"Olive oil mill wastewater treatment by means of electrocoaculation with punts aluminium electrodes | Traitement des margines par électrocoagulation avec des électrodes plates en aluminium",5,4,"energy, other, various, waste",0
