,"flow","subsystem","type","BJ.value","LDN.value","GRU.value","comp.out","comp.in","flow.network"
1,"coal","coalPlant","in",638706858415.842,342068253148.515,13430851485.1485,3,2,"f32"
2,"elec","coalPlant","out",129018785400,69097787136,2713032000,1,3,"f13"
3,"heat","coalPlant","waste",24270860619.802,12998593619.6436,510372356.435644,2,3,"f23"
4,"effluents","coalPlant","waste",0,0,0,5,3,"f53"
5,"irrev","coalPlant","waste",485417212396.04,259971872392.871,10207447128.7129,,,
6,"oil","oilPlant","in",85835451176.4706,4627083960,20518729411.7647,3,2,"f32"
7,"elec","oilPlant","out",29184053400,1573208546.4,6976368000,1,3,"f13"
8,"heat","oilPlant","waste",8523460301.82353,459469437.228,2037509830.58824,2,3,"f23"
9,"effluents","oilPlant","waste",0,0,0,5,3,"f53"
10,"irrev","oilPlant","waste",48127937474.6471,2594405976.372,11504851581.1765,,,
11,"fuel","district","in",364204080,202893300,33807500,3,2,"f32"
12,"elec","district","in",0,0,0,,,
13,"heat","district","out",167533876.8,93330918,15551450,1,3,"f13"
14,"wasteHeat","district","waste",0,0,0,,,
15,"irrev","district","waste",196670203.2,109562382,18256050,,,
16,"fuel","transport","in",0,0,0,,,
17,"heat","transport","waste",0,0,0,,,
18,"irrev","transport","waste",0,0,0,,,
19,"fuel","cement","in",32826490,0,16372870000,6,2,"f62"
20,"cement","cement","out",16413245,0,8186435000,1,6,"f16"
21,"wasteHeat","cement","waste",1313059.6,0,654914800,2,6,"f26"
22,"effluents","cement","waste",5022452.97,0,2505049110,5,6,"f56"
23,"irrev","cement","waste",10044905.94,0,5010098220,,,
24,"fuel","steel","in",666435000000,0,170257500000,6,2,"f62"
25,"steel","steel","out",84626666666.6667,0,21620000000,1,6,"f16"
26,"scrap","steel","waste",126940000000,0,32430000000,5,6,"f56"
27,"exhaust","steel","waste",253880000000,0,64860000000,2,6,"f26"
28,"elec","steel","in",0,0,0,,,
29,"irrev","steel","waste",200988333333.333,0,51347500000,,,
30,"elec","abstraction","in",1732553699.28401,0,0,4,3,"f43"
31,"water","abstraction","out",871128000,0,0,,,
32,"irrev","abstraction","waste",861425699.284009,0,0,,,
33,"dirty","treatmentWater","in",256512.118433871,65439.0915471298,52405.7016155221,4,2,"f42"
34,"clean","treatmentWater","out",47949.5138668325,12232.4537598053,9796.137241611,1,4,"f14"
35,"irrev","treatmentWater","waste",208562.604567039,53206.6377873246,42609.5643739112,,,
36,"wastewater","treatmentWastewater","in",2017917.88178529,62469.4027330792,1461365.47895574,5,1,"f51"
37,"effluent","treatmentWastewater","out",324722.417758553,10052.5475662426,235162.260981384,2,5,"f25"
38,"elec","treatmentWastewater","in",278333.500935902,8616.4693424937,201567.652269757,5,3,"f53"
39,"chlorine","treatmentWastewater","in",23194.4584113252,718.0391118745,16797.3043558131,5,2,"f52"
40,"irrev","treatmentWastewater","waste",1994723.42337397,61751.3636212047,1444568.17459993,,,
41,"organic","landfill","waste",0,0,0,,,
42,"paper","landfill","waste",0,0,0,,,
43,"plastic","landfill","waste",0,0,0,,,
44,"glass","landfill","waste",0,0,0,,,
45,"metal","landfill","waste",0,0,0,,,
46,"other","landfill","waste",24257598750,17550101250,29610405000,,,
47,"irrev","landfill","waste",0,0,0,,,
48,"organic","composting","in",0,0,0,,,
49,"paper","composting","in",0,0,0,,,
50,"plastic","composting","in",0,0,0,,,
51,"glass","composting","in",0,0,0,,,
52,"metal","composting","in",0,0,0,,,
53,"other","composting","in",0,0,0,,,
54,"compost","composting","out",0,0,0,,,
55,"irrev","composting","waste",0,0,0,,,
56,"elecLosses","transferElec","waste",0,0,0,,,
57,"water","hydro","in",62344926000,68524910074.2857,222856200000,3,2,"f32"
58,"elec","hydro","out",43641448200,47967437052,155999340000,1,3,"f13"
59,"irrev","hydro","waste",18703477800,20557473022.2857,66856860000,,,
60,"sun","solar","in",13204282500,0,1937880000,,,
61,"elec","solar","out",5281713000,0,775152000,,,
62,"irrev","solar","waste",7922569500,0,1162728000,,,
