"","flow","subsystem","type","value.BJ","value.LDN","value.GRU","references","comments"
"1","coal","coalPlant","in",638706858415.842,342068253148.515,13430851485.1485,"\citet{Szargut1988, p.140}",""
"2","elec","coalPlant","out",129018785400,69097787136,2713032000,"",""
"3","heat","coalPlant","waste",24270860619.802,12998593619.6436,510372356.435644,"",""
"4","effluents","coalPlant","waste",NA,NA,NA,"",""
"5","irrev","coalPlant","waste",485417212396.04,259971872392.871,10207447128.7129,"",""
"6","oil","oilPlant","in",85835451176.4706,4627083960,20518729411.7647,"\citet{Koroneos2010}","Take values from Table 4 (Part I)."
"7","elec","oilPlant","out",29184053400,1573208546.4,6976368000,"",""
"8","heat","oilPlant","waste",8523460301.82353,459469437.228,2037509830.58824,"",""
"9","effluents","oilPlant","waste",NA,NA,NA,"",""
"10","irrev","oilPlant","waste",48127937474.6471,2594405976.372,11504851581.1765,"",""
"11","fuel","district","in",364204080,202893300,33807500,"\citet{Comakl2004}","Take 46\% efficiency, from Fig. 3 of \citet{Ozgener2005}."
"12","elec","district","in",NA,NA,NA,"\url{http://www.eneff-stadt.info/en/heatingcooling-networks/project/details/exergetic-optimisation-of-the-district-heating-supply-in-ulm/}",""
"13","heat","district","out",167533876.8,93330918,15551450,"\citet{Rosen2005}",""
"14","wasteHeat","district","waste",NA,NA,NA,"",""
"15","irrev","district","waste",196670203.2,109562382,18256050,"",""
"16","fuel","transport","in",NA,NA,NA,"\citet{Koroneos2008} (contains fuel exergies).",""
"17","heat","transport","waste",NA,NA,NA,"",""
"18","irrev","transport","waste",NA,NA,NA,"",""
"19","fuel","cement","in",32826490,NA,16372870000,"\citet{Madlool2012}, Figure 12 for \% exergy input-outputs. Table 2 to say fuel exergy input is 3.23 e3 kJ/kg clinker.","1"
"20","cement","cement","out",16413245,NA,8186435000,"","0.5"
"21","wasteHeat","cement","waste",1313059.6,NA,654914800,"","0.04"
"22","effluents","cement","waste",5022452.97,NA,2505049110,"","0.153"
"23","irrev","cement","waste",10044905.94,NA,5010098220,"","0.306"
"24","fuel","steel","in",6.66435e+11,NA,170257500000,"\citet{Michaelis1998}, \citet{Allwood2012, Figure 8.9, p.120}.","Correctly sums!"
"25","steel","steel","out",84626666666.6667,NA,2.162e+10,"Is there anything in \citet{Szargut1988}?",""
"26","scrap","steel","waste",1.2694e+11,NA,3.243e+10,"",""
"27","exhaust","steel","waste",2.5388e+11,NA,6.486e+10,"",""
"28","elec","steel","in",NA,NA,NA,"",""
"29","irrev","steel","waste",200988333333.333,NA,51347500000,"",""
"30","elec","abstraction","in",1732553699.28401,NA,NA,"\citet{Martinez2010}","Take average pumping efficincy of 50.28\% from Table 1 of \citet{Mora2013}."
"31","water","abstraction","out",871128000,NA,NA,"","Ignoring chemical exergy (potential only). (Taking ground level as reference.)"
"32","irrev","abstraction","waste",861425699.284009,NA,NA,"",""
"33","dirty","treatmentWater","in",256512.118433871,65439.0915471298,52405.7016155221,"\citet{Martinez2010}",""
"34","clean","treatmentWater","out",47949.5138668325,12232.4537598053,9796.13724161095,"",""
"35","irrev","treatmentWater","waste",208562.604567039,53206.6377873246,42609.5643739112,"",""
"36","wastewater","treatmentWastewater","in",2017917.88178529,62469.4027330792,1461365.47895574,"\url{http://www.jstor.org/discover/10.2307/25044841?uid=26089&uid=3738032&uid=2&uid=3&uid=5910784&uid=26085&uid=67&uid=62&sid=21104930725857}",""
"37","effluent","treatmentWastewater","out",324722.417758553,10052.5475662426,235162.260981384,"\citet{Martinez2010}",""
"38","elec","treatmentWastewater","in",278333.500935902,8616.46934249368,201567.652269757,"\url{http://inderscience.metapress.com/content/0476076p61081220/fulltext.pdf, Table 2.}",""
"39","chlorine","treatmentWastewater","in",23194.4584113252,718.039111874473,16797.3043558131,"",""
"40","irrev","treatmentWastewater","waste",1994723.42337397,61751.3636212047,1444568.17459993,"",""
"41","organic","landfill","waste",NA,NA,NA,"",""
"42","paper","landfill","waste",NA,NA,NA,"",""
"43","plastic","landfill","waste",NA,NA,NA,"",""
"44","glass","landfill","waste",NA,NA,NA,"",""
"45","metal","landfill","waste",NA,NA,NA,"",""
"46","other","landfill","waste",24257598750,17550101250,29610405000,"",""
"47","irrev","landfill","waste",NA,NA,NA,"",""
"48","organic","composting","in",NA,NA,NA,"",""
"49","paper","composting","in",NA,NA,NA,"\url{http://www.exergy.se/mei/2005.pdf}",""
"50","plastic","composting","in",NA,NA,NA,"\url{http://publik.tuwien.ac.at/files/PubDat_229164.pdf}",""
"51","glass","composting","in",NA,NA,NA,"",""
"52","metal","composting","in",NA,NA,NA,"\url{http://web.mit.edu/2.813/www/readings/MasiniAyres.pdf}",""
"53","other","composting","in",NA,NA,NA,"",""
"54","compost","composting","out",NA,NA,NA,"\url{http://link.springer.com/article/10.1007%2FBF02214559#page-1}",""
"55","irrev","composting","waste",NA,NA,NA,"",""
"56","elecLosses","transferElec","waste",NA,NA,NA,"","Take value from MC database."
"57","water","hydro","in",62344926000,68524910074.2857,222856200000,"\citet{Rosen2009}","Exergy efficiency is the same as energy efficiency. Take a value (arbitrarily) from \citet{Wang2014}."
"58","elec","hydro","out",43641448200,47967437052,155999340000,"","Same logic as above?"
"59","irrev","hydro","waste",18703477800,20557473022.2857,66856860000,"",""
"60","wind","wind","in",13204282500,0,1937880000,"\citet{Koroneos2003}",""
"61","elec","wind","out",5281713000,0,775152000,"",""
"62","irrev","wind","waste",7922569500,0,1162728000,"",""
