"","City","Year","carbon.footprint","water.footprint","en.eff","en.gdp","water.eff","waste.ineff"
"1","Beijing",2001,53073590117.0425,13130585905.5691,116.772779051776,0.000810115896437508,100,NA
"2","Beijing",2006,69471161391.0833,12106891816.1891,120.264042649604,0.000529997746310903,100,20.9170057312858
"3","Beijing",2011,75231982813.0602,12806232551.7041,152.860978895226,0.000361545863806693,100,28.3187514523337
"4","Buenos Aires",2001,27598285627.7999,836.68238,117.888610525379,0.00111987466298858,NA,NA
"5","Buenos Aires",2006,30781665230.5802,5193707723.80503,117.958680496514,0.000885989147895922,56.8000233377883,NA
"6","Buenos Aires",2011,31133152225.0249,6559582894.84497,171.213537523906,0.000632515232110432,56.8000087794265,NA
"7","Cairo",2001,10110209847.5081,5426640766.05457,94.7467152224352,NA,50.8672031542233,NA
"8","Cairo",2006,19414851511.7933,9241912889.88688,95.2062633821349,NA,69.3397750158759,NA
"9","Cairo",2011,20121637757.6272,12035842010.7741,94.1698708780413,0.00103151544730008,87.3498918940015,0.0173972833090016
"10","Delhi",2001,9188410401.72957,3589215679.2913,104.998467934679,0.000297951357039948,89.6070948498306,NA
"11","Delhi",2006,12923520864.2048,3699596045.98361,101.341379839367,0.000276912556819327,88.9684074855077,NA
"12","Delhi",2011,17900908863.6793,4500674723.40037,120.748027529327,0.000162768647535396,86.6943474300743,139.562577572037
"13","Dhaka",2001,11301318131.3979,952988062.539459,104.527025871985,0.000516027554651754,43.3972602739726,NA
"14","Dhaka",2006,15576214126.318,1429543566.17416,105.296270305464,0.000518299256842487,63.9675324675325,NA
"15","Dhaka",2011,21365933333.7393,2025653719.03498,108.455018753212,0.000414025795347867,66.9302325581395,6.01441812564367
"16","Guangzhou",2001,23025859501.5732,28686000540.6786,123.730810092248,0.000465174934037141,100,15.4184855003046
"17","Guangzhou",2006,46165827662.9802,27344371353.1793,120.546348842647,0.000456054327381884,100,9.29083595662819
"18","Guangzhou",2011,70104571937.1386,23828493952.2484,112.964284745393,0.000389233282828897,100,14.5136265469596
"19","Istanbul",2001,25365467738.9092,1632960561.07332,115.79056981955,0.00217603540230828,NA,NA
"20","Istanbul",2006,19602577266.6824,1826282430.4695,126.158487903045,0.000484027992887053,NA,NA
"21","Istanbul",2011,20368972252.7941,1979674389.40766,143.970567576691,0.000355209560953503,NA,74.1064542375447
"22","Jakarta",2001,17675700424.7364,884049990.20437,122.724086221894,0.000808357020192329,57.8991345356993,NA
"23","Jakarta",2006,42016266302.2281,1127082260.83287,108.264858837031,0.00136948993978816,51.032457738319,NA
"24","Jakarta",2011,12799564857.5658,1647144462.4602,162.915877183152,0.000332608898055697,57.0605218520384,NA
"25","Karachi",2001,NA,618469000,NA,7.23171428571429e-05,NA,NA
"26","Karachi",2006,NA,851625000,NA,7.49253333333333e-05,NA,NA
"27","Karachi",2011,742261147297.424,1081004005.97324,129.930029613906,0.0003945648875,NA,0.19319605513941
"28","Kolkata",2001,530726712.694869,10.4740632,98.3388357750418,NA,NA,NA
"29","Kolkata",2006,1619748569.86241,1493872022.79926,228.333012902457,8.30889559324703e-05,114.479382413858,NA
"30","Kolkata",2011,1995526493.66826,2988914842.59781,246.5712596729,8.34588867609714e-05,287.554540842212,NA
"31","Lagos",2001,NA,NA,NA,NA,NA,NA
"32","Lagos",2006,NA,3286272810,NA,NA,NA,NA
"33","Lagos",2011,7036692322.14452,5584690837.75992,100.954224922669,0.000433952461866953,780.78500700962,NA
"34","London",2001,47203013837.5359,1166188905.60915,111.486005342737,0.000289005364289875,NA,33.2531725785223
"35","London",2006,38261342247.2528,1235143691.70443,123.016932780843,0.000203586293780796,NA,NA
"36","London",2011,36005257060.3066,1265586334.32673,149.353996806149,0.000184389565779271,NA,NA
"37","Los Angeles",2001,15311226147.2345,2180.69136,100,4.35033046630881e-05,NA,NA
"38","Los Angeles",2006,29002739030.0788,1475.4796762,150.717446051635,0.000107004358294561,NA,NA
"39","Los Angeles",2011,81116441205.5944,11640004598.2857,128.027639181515,0.000140500300452044,100,17.6091577662452
"40","Manila",2001,13850313310.2889,3466628485.62009,129.366968629338,0.000847573197623021,38.4353460728879,NA
"41","Manila",2006,14121936286.7335,3203285824.10835,137.03952317595,0.000593449076059994,45.5326618528569,NA
"42","Manila",2011,28514439928217.5,3384054061.64404,175.650085967988,0.000398505613226619,65.6939804020543,1.66764431740508e-05
"43","Mexico City",2001,17565296447.0418,2927.227151,117.554522626213,0.000170243348425138,NA,NA
"44","Mexico City",2006,21018380961.239,192056893.284839,114.718096162014,0.000152452340968648,NA,NA
"45","Mexico City",2011,17693383620.4864,2244802177.73341,125.129110492182,0.000107055553856456,NA,NA
"46","Moscow",2001,NA,5.554e+09,NA,6.00833494845678e-05,NA,NA
"47","Moscow",2006,NA,5.268e+09,NA,4.74608669114313e-05,NA,NA
"48","Moscow",2011,17222602928.3471,2992003945.7809,171.102077664779,6.77414330040243e-05,NA,63.2199384480106
"49","Mumbai",2001,9696597762.36887,229.6380904,57.5549144330781,0.000163895406465845,NA,NA
"50","Mumbai",2006,11378770028.8702,4555246784.42821,65.0673779010483,7.56814413194972e-05,NA,NA
"51","Mumbai",2011,6951348399.36667,6538682123.57182,153.840770210959,9.56280317802028e-05,101.08645401262,NA
"52","New York City",2001,NA,NA,NA,NA,NA,NA
"53","New York City",2006,NA,21833443880,NA,NA,NA,NA
"54","New York City",2011,137157095528.11,13104.7907565,123.367019285096,NA,NA,NA
"55","Osaka",2001,NA,NA,NA,NA,NA,NA
"56","Osaka",2006,NA,NA,NA,NA,NA,NA
"57","Osaka",2011,50999069800.0408,5027551017.87283,164.60782446383,256192.885375494,NA,NA
"58","Paris",2001,45826157650.0367,1250836419.28418,105.183110880857,0.000164973470502825,NA,NA
