,"Indicator","Indicator.short","Type","UM.category","Sub.category","carbon.factor","carbon.factor.noCement","carbon.units","carbon.reference","carbon.conversion","virtual.water","virtual.water.units","virtual.water.conversion","virtual.water.reference","global.hectares","cost","cost.units","cost.multiplier","cost.divider","cost.reference","energy.eff","waste.eff","water.eff","energy.gdp","en.rad","precip.water","energy.pop","energy.area","resEff","envEff"
1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,"Brinkhoff population (2010)","pop.brinkhoff","megacity.definition",,,,,,,"ignore",,,,,,,,,,,,,,,,,,,,
3,"Survey population","pop.survery","megacity.definition",,,,,,,"ignore",,,,,,,,,,,,,,,,,"in",,,
4,"Population growth rate 2001-11","pop.growth","megacity.definition",,,,,,,"ignore",,,,,,,,,,,,,,,,,,,,
5," GDP ","gdp","megacity.definition",,,,,,,"ignore",,,,,,,,,,,,,,,,,,,,
6," GDP (PPP-adjusted US dollars) ","gdp.ppp","megacity.definition",,,,,,,"ignore",,,,,,,,,,,,,,"in",,,,,"out","out"
7," 10-year growth rate in GDP 2001 to 2011 (%) ","gdp.growth","megacity.definition",,,,,,,"ignore",,,,,,,,,,,,,,,,,,,,
8,"Formal gov't for metro area (yes/no)?","govt.metro","megacity.definition",,,,,,,"ignore",,,,,,,,,,,,,,,,,,,,
9,"> 1 coordinating bodies (yes/no)?","coord.bodies","megacity.definition",,,,,,,"ignore",,,,,,,,,,,,,,,,,,,,
10,"Land area (km2)","area.land","biophysical.characteristics",,,,,,,"ignore",,,,,,,,,,,,,,,,,,"in",,
11,"Urbanized area (km2)","area.urbanised","biophysical.characteristics",,,,,,,"ignore",,,,,,,,,,,,,,,,,,,,
12,"Urban population density--persons/km2 (survey)","pop.density.survey","biophysical.characteristics",,,,,,,"ignore",,,,,,,,,,,,,,,,,,,,
13,"Urban population density--persons/km2 (World Bank, 2013)","pop.density.worldbank","biophysical.characteristics",,,,,,,"ignore",,,,,,,,,,,,,,,,,,,,
14,"Heating degree days","degreeDays.heating","biophysical.characteristics",,,,,,,"ignore",,,,,,,,,,,,,,,,,,,,
15,"Cooling degree days","degreeDays.cooling","biophysical.characteristics",,,,,,,"ignore",,,,,,,,,,,,,,,,,,,,
16,"Annnual precipitation (mm)","precip.annual","biophysical.characteristics",,,,,,,"ignore",,,,,,,,,,,,,,,,"in",,,,
17,"Annual solar radiation (k Wh/m2)","solarRad.annual","biophysical.characteristics",,,,,,,"ignore",,,,,,,,,,,,,,,"in",,,,,
18,"Building gross floor area (m2)","area.floor.gross","biophysical.characteristics",,,,,,,"ignore",,,,,,,,,,,,,,,,,,,,
19,"residential","area.floor.residential","biophysical.characteristics",,,,,,,"ignore",,,,,,,,,,,,,,,,,,,,
20,"commercial & institutional","area.floor.commercial","biophysical.characteristics",,,,,,,"ignore",,,,,,,,,,,,,,,,,,,,
21,"industrial","area.floor.industrial","biophysical.characteristics",,,,,,,"ignore",,,,,,,,,,,,,,,,,,,,
22,"Electricity consumption (GWh) - renewable","elec.renewable","urban.metabolism","Energy.stationary",,,,,,"ignore",,,,,,"NA",,,,,,,,,,,,,,
23,"Electricity consumption (GWh) - grid","elec.grid","urban.metabolism","Energy.stationary",,,,,,"ignore",,,,,,"NA",,,,,,,,,,,,,,
24,"Electrical line losses (GWh)","elec.losses","urban.metabolism","Energy.stationary",,,,,,"ignore",,,,,,"NA",,,,,,,,,,,,,,
25,"Total electricity consumption (GWh)","elec.total.Gwh","urban.metabolism","Energy.stationary",,,,,,"ignore",,,,,,"NA",,,,,,,,,,,,,,
26,"Total electricity consumption (TJ)","elec.total.TJ","urban.metabolism","Energy.stationary",,,,,,"ignore",,,,,,"NA",,,,,"out",,,,,,,,,
27,"10-year growth rate 2001-2011 (%)","elec.growth","urban.metabolism","Energy.stationary",,,,,,"ignore",,,,,,"NA",,,,,,,,,,,,,,
28,"Natural gas (TJ)","gas","urban.metabolism","Energy.stationary",,0.18521,0.18521,"kgCO2e/kWh","Table 1c",277777.777778,0.11,"m3/GJ",0.001,"http://www.waterfootprint.org/",,4.088,"$/MBTU",947.8,,"Wolfram Alpha","in",,,,,,,,,
29,"Fuel oil (TJ)","oil","urban.metabolism","Energy.stationary",,0.26826,0.26826,"kgCO2e/kWh","Table 1c",277777.777778,1.06,"m3/GJ",0.001,"http://www.waterfootprint.org/",,68.27,"$/bbl",163.456,,"Wolfram Alpha","in",,,,,,,,,
30,"Coal (TJ)","coal","urban.metabolism","Energy.stationary",,0.32648,0.32648,"kgCO2e/kWh","Table 1c",277777.777778,0.16,"m3/GJ",0.001,"http://www.waterfootprint.org/",,53.1,"$/tonne",0.0293,,"Wolfram Alpha","in",,,,,,,,,
31,"Biomass/biofuels (TJ)","bio","urban.metabolism","Energy.stationary",,0.01599,0.01599,"kgCO2e/kWh","Table 9c (wood chips)",277777.777778,70,"m3/GJ",0.001,"http://www.waterfootprint.org/ (range: 10-250)",,4.4,"p/kWh",277777.78,,"Woodchips value from http://www.biomassenergycentre.org.uk/portal/page?_pageid=75,59188&_dad=portal","in",,,,,,,,,
32,"other.steam","other.stat.steam","urban.metabolism","Energy.stationary",,,,,,"ignore",,,,,,,,,,,"in",,,,,,,,,
33,"other.oilProducts","other.stat.oilProducts","urban.metabolism","Energy.stationary",,0.26826,0.26826,"kgCO2e/kWh","Table 1c",277777.777778,1.06,,0.001,,,68.27,"$/bbl",163.456,,,"in",,,,,,,,,
34,"other.kerosene","other.stat.kerosene","urban.metabolism","Energy.stationary",,0.24591,0.24591,"kgCO2e/kWh","Table 1c (refinery misc.)",277777.777778,,,,,,295.5,"c/gallon",7032.34,,"New York Statewide value from http://www.nyserda.ny.gov/Energy-Data-and-Prices-Planning-and-Policy/Energy-Prices-Data-and-Reports/Energy-Prices/Kerosene/Average-Kerosene-Prices.aspx","in",,,,,,,,,
35,"other.LPG","other.stat.LPG","urban.metabolism","Energy.stationary",,0.21455,0.21455,"kgCO2e/kWh","Table 1c",277777.777778,,,,,,0.74,"ﾣ/l",70897.737365,,,"in",,,,,,,,,
36,"other.crudeOil","other.stat.crudeOil","urban.metabolism","Energy.stationary",,"FIND ELSEWHERE","FIND ELSEWHERE",,,277777.777778,1.06,,0.001,,,68.27,"$/bbl",163.456,,,"in",,,,,,,,,
37,"other.totalNonElectric","other.stat.totalNonElectric","urban.metabolism","Energy.stationary",,0.24591,0.24591,"kgCO2e/kWh","Table 1c (refinery misc.)",277777.777778,,,,,,"MAKE ASSUMPTION",,,,,"in",,,,,,,,,
38,"other: kerosene coal LPG waste oil","other.stat.misc","urban.metabolism","Energy.stationary",,0.24591,0.24591,"kgCO2e/kWh","Table 1c (refinery misc.)",277777.777778,,,,,,"MAKE ASSUMPTION",,,,,"in",,,,,,,,,
