"","City","Year","Var.3","area.floor.commercial","area.floor.gross","area.floor.industrial","area.floor.residential","area.land","area.urbanised","bio","building.al.consume","building.al.import","building.al.prod","building.bricksAndOthers.consume","building.bricksAndOthers.import","building.bricksAndOthers.prod","building.cement.consume","building.cement.import","building.cement.prod","building.other.2.consume","building.other.2.imports","building.other.2.prod","building.steel.consume","building.steel.import","building.steel.prod","cereals.consume","cereals.import","cereals.prod","coal","coord.bodies","dairy.import","dairy.prod","degreeDays.cooling","degreeDays.heating","diary.consume","diesel","districtHeating.number","districtHeating.ownership","districtHeating.percentage","elec.buildings.PV","elec.coal","elec.consumption.agriculture","elec.consumption.bulkSupply","elec.consumption.comm","elec.consumption.energyIndustry","elec.consumption.exports","elec.consumption.govtAgriculture","elec.consumption.ind","elec.consumption.insitutional","elec.consumption.licenses","elec.consumption.losses","elec.consumption.other","elec.consumption.publicLIghting","elec.consumption.res","elec.consumption.social","elec.consumption.stat.comm","elec.consumption.stat.ind","elec.consumption.stat.res","elec.consumption.stat.resCom","elec.consumption.stat.transp","elec.consumption.transportation","elec.consumption.waterWorks","elec.distributers.dominant","elec.distributers.number","elec.distributers.ownership","elec.emissionsFactor","elec.emissionsFactor.gas","elec.feedInTarrifs","elec.gas","elec.grid","elec.growth","elec.hydro","elec.incentives","elec.independentGeneration","elec.losses","elec.nuclear","elec.oil","elec.other","elec.regulator","elec.renewable","elec.solar","elec.suppliers.dominant","elec.suppliers.number","elec.suppliers.ownership","elec.total.Gwh","elec.total.TJ","elec.vehicles.charging","elec.vehicles.number","elec.wind","energy.stat.heating.fuel","energy.stat.res.comm.heating","energy.total","energy.total.2001","energy.total.2006","energy.total.2011","energy.total.growth","energy.transp","energy.transp.growth","food.consume","food.import","food.prod","fruit.consume","fruit.import","fruit.prod","fuel.jet","fuel.marine","gas","gas.distributors.number","gas.distributors.ownership","gasoline","gas.regulator","gas.vehicles.number","gdp","gdp.growth","gdp.ppp","govt.metro","ict.internet","ict.mobiles","maize.consume","maize.import","maize.prod","meat.consume","meat.import","meat.prod","oil","other.CNG","other.consumption.stat.institutional","other.mobile.aviationGasoline","other.mobile.biodiesel","other.mobile.compressedNaturalGas","other.mobile.dieselOil","other.mobile.electricity","other.mobile.electricityMetro","other.mobile.electricTraction","other.mobile.ethanol","other.mobile.fuelOil","other.mobile.kerosene","other.mobile.LPG","other.mobile.LPGauto","other.mobile.mazut","other.mobile.naturalGas","other.mobile.oil","other.mobile.oilProducts","other.stat.coalProducts","other.stat.crudeOil","other.stat.diesel","other.stat.fuelOil","other.stat.furnaceOil","other.stat.greases","other.stat.heat","other.stat.kerosene","other.stat.LPG","other.stat.LPG.bulked.packed","other.stat.mineralOil","other.stat.misc","other.stat.oilProducts","other.stat.steam","other.stat.totalNonElectric","other.stat.townGas","paper.consume","paper.import","paper.prod","plastic.consume","plastic.import","plastic.prod","pop.brinkhoff","pop.density.survey","pop.density.worldbank","pop.growth","pop.survery","precip.annual","preparedFoods.consume","preparedFoods.import","preparedFoods.prod","pulses.consume","pulses.import","pulses.prod","random.consume","random.import","random.prod","rice.consume","rice.import","rice.prod","sawi.consume","sawi.import","sawi,prod","service.hoursNoElec","service.noDrinking","service.noGrid","service.noSewerage","service.noWasteCollection","service.noWater","service.wastewaterTreatment","snacks.consume","snacks.import","snacks.prod","solarRad.annual","solidFats.consume","solidFats,import","solidFats.prod","soybean.consume","soybean.import","soybean.prod","spinach.consume","spinach.import","spinach,prod","transportation (%)","unclear.consume","unclear.import","unclear.prod","veg.consume","veg.import","veg.prod","waste.growth","waste.incineration","waste.landfill","waste.other","waste.total","wastewater.collectors.number","wastewater.load","wastewater.ownership","wastewater.vol","water","water.distributors.number","water.distributors.ownership","water.growth","water.loss","water.loss.exc","water.loss.inc","water.loss.percent","water.production","water.production.ground","water.production.surface","water.regulator","waterSpinach.consume","waterSpinach.import","water.Spinach.prod","wheat.consume","wheat.import","wheat.prod"
"1","Beijing",2001,"","176070000","377165000","","201095000","16411","","","","","","","","","","","7273","","","","","","8090","","","","","","","","","","","43940.89","","","","","89.51","","","","","","","","","","","","","","","","","","","","","","","","","952.86","","","0.23","36319","122.16","3.8","","","3511","0","6.46","","","","","","","","36319","130748.4","","","0","622978.85","","910275.68","910275.69","","","53.69","156548.43","191.4","","","","","","","","","","","","59375.28","","","370800000000","244.37","112363636364","","","","","","","","","","","","","","","","","","","","","","53232.27","","","","","","","","","","","","","","","","","","","","","622978.85","","","","","","","","","","","","13851000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","#DIV/0!","","","","","","170","","865415","3890000","","","-7.46","595170","3890000","4485170","0.153","3890000","2720000","1170000","","","","","","",""
"2","Beijing",2006,NA,"244040000","570690000",NA,"326650000","16411",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"10163",NA,NA,NA,NA,NA,"12694",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"75285.05",NA,NA,NA,NA,"62.29",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"748.8",NA,NA,"0","57535",NA,"21.07",NA,NA,"4364","0","14.09",NA,NA,NA,NA,NA,NA,NA,"57535","207126",NA,NA,"2.55","728408.16",NA,"1229261.63",NA,"1229261.63",NA,NA,"293727.47",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"119372.81",NA,NA,"8.1178e+11",NA,"231937142857",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"99069.61",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"728408.16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"16010000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"98","4683","196","4781",NA,"109.87",NA,"1292100","3430000",NA,NA,NA,"524790","3430000","3954790","0.153","3430000","2220000","570000",NA,NA,NA,NA,NA,NA,NA
"3","Beijing",2011,"","368730000","809860000","","441130000","16411","3377.15","","","","","","","","","","9232.9","","","","","","2895.8","","","","","Y","","","218","2955","","102603.65","1-2","public","unknown","unknown","43.54","","","11.34","","","","29.8","","","","","","17.9","","13.2","32","32.1","","","","","Y","1-2","public","608.51","","","27.8","80686","","12.29","Y","unknown","4682","0","9.84","","Y","","","Y","1-2","public","80686","290469.6","1274","21628","6.16","652342.88","295511.33","1399001.72","","","1399001.73","","456189.24","","4596","?","6376","","","","","","","1-2","public","167783.49","Y","unknown","1625190000000","","386950000000","Y","95","97.5","","","","","","","","","","","","","","","","","","62.72","185739.38","","","","","","","","","","","","","","","","","","","","","652342.88","","","","","","","","13600000","5977","14505","45.74","20186000","720.6","","","","","","","","","","","","","","","","8","0","0","5","0","0.27","5","","","","","","","","","","","","","","7.7","","","","","","","","944.6","4295.7","991","5240.3",">5","193.2","mix","1455430","3600000","1-2","public","","550800","3600000","4150800","0.153","3600000","1880000","480000","Y","","","","","",""
"4","Buenos Aires",2001,"","","","","","","","0","","","","","","","","","","","","","","","","","","","0","","","","","","","87158","","","","","0.71","","","","","","","","","","","","","","","","","","","","","","","","","","","","45.92","24555","39.16","43.02","","","","9.35","1.01","","","0","0","","","","24555","88398","","","0","355806","","582556","582556","","","18.23","138352","-16.31","","","","","","","","","355806","","","51194","","","41615800000","109.33","52019750000","","","","","","","","","","na","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11460575","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.09","0","4527","","4527","","na","","na","","","","#DIV/0!","","0","0","","na","na","na","","","","","","",""
"5","Buenos Aires",2006,"","","","","","","","0","","","","","","","","","","","","","","","","","","","0","","","","","","","67415","","","","","1.14","","","","","","","","","","","","","","","","","","","","","","","","","515","","","46.55","28164","","37.46","","","","7.68","7.17","","","0","0","","","","28164","101390.4","","","0","453763","","665966.4","","665966.4","","","110813","","","","","","","","","","453763","","","43398","","","105233000000","","75166428571","","","","","","","","","","na","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","na","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","4081","","4081","","na","","na","1148764","","","","873708","1148764","2022472","0.761","2022471","64393","1559012","","","","","","",""
"6","Buenos Aires",2011,"","324000","","60000","2826000","3209","2477","0","","","","","","","","","","","","","","","","","","","0","Y","","","199","1174","","61474","na","na","na","unknown","2.186","","","27.5","","","","18.7","","","","","","40.7","","7.8","37.8","54.4","","","","","N","3-5","private","54","","N","50.794","34170","","30.806","N","unknown","","6.253","9.948","","N","0","0.001","N",">5","mix","34170","123012","0","0","0.012","449961","279875.74","688758","","","688758","","115785","","","","","","","","","","439663","3-5","public","54311","N","283958","283119000000","","108891923077","N","58.3","86.25","","","","","","","10298","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13300000","5170","5966","11.75","12806866","1195.04","","","","","","","","","","","","","","","","","10.56","0","13.75","5","10.64","41.96","","","","1680","","","","","","","","","","1.1","","","","","","","","0","4531","","4531","1-2","na","public","943543","1242177","1-2","public","","944754","1242177","2186931","0.761","2186931","91169","1652498","Y","","","","","",""
"7","Cairo",2001,"","","","","","","","13926.3","","","","","","","","","","","","","","","","","","","213.4","","","","","","","7955.9","","","","","0.06","","","","","","","","","","","","","","","","","","","","","","","","","","","","33.69","19762.6","4.07","4.95","","","","na","61.24","","","318.32","na","","","","20080.92","72291.31","","","0.05","80878.9","","166255.69","166255.7","","","107.85","13085.48","48.05","","","","","","","81509.45","","62329.3","","","5129.58","","","","#DIV/0!","","","","","","","","","","","4409.9","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","16506701","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","62.37","2111.24","3776.93","","5888.16","","na","","438000","1257882.35","","","122.41","","1257882.35","1257882.35","","2472875","105397.4","1965981.5","","","","","","",""
"8","Cairo",2006,"","","","","","","","15277.8","","","","","","","","","","","","","","","","","","","257.3","","","","","","","9551","","","","","0.04","","","","","","","","","","","","","","","","","","","","","","","","","","","","43.65","22044.6","","4.28","","","3440.4","na","51.85","","","532.84","na","","","","22577.44","81278.78","","","0.18","237330.4","","334013.6","","334013.6","","","15404.42","","","","","","","","98096.72","","216581","","","5853.42","","","","","","","","","","","","","","","5214.3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","19109760","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2872","4662.88","","7534.87","","na","","2664500","1910830.85","","","","","1910830.85","1910830.85","","2755750","109114.6","2330981.3","","","","","","",""
"9","Cairo",2011,"","586169","3085100","462765","2036166","17393","1573.4","16686.8","","","","","","","","","37063","","","","","","5382","","","","275.1","Y","","","574","440","","11921.3","na","na","na","unknown","0.03","","","8","","","9.1","31.4","","","","","","42.3","","","","","","","","","Y",">5","public","","","Y","49.4","19374.1","","3.95","N","unknown","3482.8","na","48.05","","","1523.37","219 GWh","Y",">5","public","20897.47","75230.89","unknown","unknown","0.21","250964.1","","345567.99","","","345568","","19373","","","","54912572","","","","96625.27","","232860",">5","mix","7451.7","","50247","","","33501000000","Y","44.1","112.81 per 100 pop","","","","","","","1142.2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","15200000","13026","8718","24.16","20495461","26","","","","","","","","","","","","","","","","","7.6","na","22.8","na","19.1","5.5","","","","2600","","","","","","","","","","9.4","","","","","","","","3025.32","6535.37","","9560.68","1-2","na","public","3066000","2797707.85","1-2","public","","171550","2797707.85","2969257.85","0.061","3202875","141893.8","2695981.3","","","","","","",""
"10","Delhi",2001,"","","","","","","","~0","","","","","","","","","","","","","","","","","","","~0","","","","","","","48040.6","","","","","38.46","","","","","","","","","","","","","","","","","","","","","","","","","","","","61.53","9713","123.41","0","","","372.97","0","~0","","","0","0","","","","9713","34966.8","","","0","36708.09","","146491.29","146491.29","","","57.16","74816.4","32.96","","","","","","","27993.07","0","na","","","26775.8","","","668660000000","187.68","49166176471","","","","","","","","","","","","","","","","","","na","","","","","","","","na","","","","","2774.55","","174.31","177.68","","9225.14","","23284.96","1071.44","","","","","","","","","","","","","","","","13850507","","","","","","","","","","","","","data are doubtful","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","86.32","","2233","","2233","","112.42","","842730.2","781142.86","","","28.79","312457.14","781142.86","1093600","0.4","871742.2","111903.5","759838.7","","","","","","",""
