"","City","Year","en.out.in","en.out.gdp","en.out.pop","water.out.in","waste.out.in","resEff.gdp.res","envEff.gdp.waste","CF","CF.noCement","WF","bl.en.rad"
"1","Beijing",2001,1.16772779051776,8.10115896437508e-06,0.0657191307486824,0.867302688638335,NA,Inf,Inf,203830.0732039,196920.7232039,13130585905.5691,Inf
"2","Beijing",2006,1.20264042649604,5.29997746310903e-06,0.076780863835103,0.867302688638335,Inf,Inf,48512265.8140556,268914.8272303,259259.9772303,12106891816.1891,Inf
"3","Beijing",2011,1.52860978895226,3.61545863806693e-06,0.0693055444367383,0.867302688638335,Inf,Inf,73841192.2981509,281713.3725824,272942.1175824,12806232551.7041,Inf
"4","Buenos Aires",2001,1.17888610525379,1.11987466298858e-05,0.0508313064571368,NA,Inf,Inf,11490998.4537221,99362.8358466,99362.8358466,836.68238,0.108058436836872
"5","Buenos Aires",2006,1.17958680496514,8.85989147895922e-06,Inf,0.567999952533335,Inf,Inf,18418629.8875276,110824.9119669,110824.9119669,5193707723.80503,0.123530249744024
"6","Buenos Aires",2011,1.71213537523906,6.32515232110432e-06,0.0537803706230705,0.568000087794265,Inf,Inf,24032646.8940631,112092.1379025,112092.1379025,6559582894.84497,0.127757868494858
"7","Cairo",2001,0.947467152224352,Inf,0.0100720119665341,1,Inf,NA,0,36419.4430071,36419.4430071,5426640766.05457,0.00367645007496384
"8","Cairo",2006,0.952062633821349,Inf,0.0174786915167956,1,Inf,NA,0,69915.4721991,69915.4721991,9241912889.88688,0.00738611908415852
"9","Cairo",2011,0.941698708780413,1.03151544730008e-05,0.0168607083295174,0.942224620202654,Inf,Inf,3504039.46162825,111544.8349888,76334.9849888,12035842010.7741,0.00764162395128013
"10","Delhi",2001,1.04998467934679,2.97951357039948e-06,0.0105766012753179,0.714285716898317,Inf,Inf,22017992.1500224,33102.2298383,33102.2298383,3589215679.2913,0.055118361113667
"11","Delhi",2006,1.01341379839367,2.76912556819327e-06,0.0116903518518519,0.714285713008493,Inf,Inf,27994742.7191977,46548.6219469,46548.6219469,3699596045.98361,0.0712569270544507
"12","Delhi",2011,1.20748027529327,1.62768647535396e-06,0.0137419364081027,0.714285715299965,1.39628150484948,47468260.7212135,33996196.7241918,70692.7631432,60425.3151432,4500674723.40037,0.0866225785116025
