variable,City,Year,value,Indicator,Type,UM.category,Sub.category
bio,Beijing,2011,NA,Biomass/biofuels (TJ),urban.metabolism,Energy.stationary,
bio,Manila,2011,212179,Biomass/biofuels (TJ),urban.metabolism,Energy.stationary,
bio,Mexico City,2001,2805.29,Biomass/biofuels (TJ),urban.metabolism,Energy.stationary,
bio,Buenos Aires,2001,0,Biomass/biofuels (TJ),urban.metabolism,Energy.stationary,
bio,Manila,2006,221528,Biomass/biofuels (TJ),urban.metabolism,Energy.stationary,
bio,Buenos Aires,2011,0,Biomass/biofuels (TJ),urban.metabolism,Energy.stationary,
bio,Cairo,2001,13926.3,Biomass/biofuels (TJ),urban.metabolism,Energy.stationary,
bio,Cairo,2006,15277.8,Biomass/biofuels (TJ),urban.metabolism,Energy.stationary,
bio,Cairo,2011,16686.8,Biomass/biofuels (TJ),urban.metabolism,Energy.stationary,
bio,Delhi,2001,NA,Biomass/biofuels (TJ),urban.metabolism,Energy.stationary,
bio,Delhi,2006,NA,Biomass/biofuels (TJ),urban.metabolism,Energy.stationary,
bio,Delhi,2011,NA,Biomass/biofuels (TJ),urban.metabolism,Energy.stationary,
bio,Dhaka,2001,NA,Biomass/biofuels (TJ),urban.metabolism,Energy.stationary,
bio,Dhaka,2006,NA,Biomass/biofuels (TJ),urban.metabolism,Energy.stationary,
bio,Dhaka,2011,NA,Biomass/biofuels (TJ),urban.metabolism,Energy.stationary,
bio,Guangzhou,2001,NA,Biomass/biofuels (TJ),urban.metabolism,Energy.stationary,
bio,Guangzhou,2006,NA,Biomass/biofuels (TJ),urban.metabolism,Energy.stationary,
bio,Guangzhou,2011,NA,Biomass/biofuels (TJ),urban.metabolism,Energy.stationary,
bio,Istanbul,2001,NA,Biomass/biofuels (TJ),urban.metabolism,Energy.stationary,
bio,Istanbul,2006,26109,Biomass/biofuels (TJ),urban.metabolism,Energy.stationary,
bio,Istanbul,2011,28200,Biomass/biofuels (TJ),urban.metabolism,Energy.stationary,
bio,Jakarta,2001,NA,Biomass/biofuels (TJ),urban.metabolism,Energy.stationary,
bio,Jakarta,2006,NA,Biomass/biofuels (TJ),urban.metabolism,Energy.stationary,
bio,Jakarta,2011,NA,Biomass/biofuels (TJ),urban.metabolism,Energy.stationary,
bio,Karachi,2001,NA,Biomass/biofuels (TJ),urban.metabolism,Energy.stationary,
bio,Karachi,2006,NA,Biomass/biofuels (TJ),urban.metabolism,Energy.stationary,
bio,Karachi,2011,113505.85,Biomass/biofuels (TJ),urban.metabolism,Energy.stationary,
