source,target,value
coal.coal.in,coal.elec.out,129018785400
coal.coal.in,coal.heat.waste,274795879388.732
oil.oil.in,oil.elec.out,29184053400
oil.oil.in,oil.heat.waste,56651397776.4706
district.fuel.in,district.heat.out,167533876.8
district.fuel.in,district.irrev.waste,196670203.2
cement.fuel.in,cement.cement.out,16413245
cement.fuel.in,cement.wasteHeat.waste,1313059.6
cement.fuel.in,cement.effluents.waste,5022452.97
cement.fuel.in,cement.irrev.waste,10044905.94
steel.fuelElec.in,steel.steel.out,84626666666.6667
steel.fuelElec.in,steel.scrap.waste,126940000000
steel.fuelElec.in,steel.exhaust.waste,253880000000
steel.fuelElec.in,steel.irrev.waste,200988333333.333
abstraction.elec.in,abstraction.water.out,871128000
abstraction.elec.in,abstraction.irrev.waste,861425699.284009
treatmentWater.dirty.in,treatmentWater.clean.out,47949.5138668325
treatmentWater.dirty.in,treatmentWater.irrev.waste,208562.604567039
treatmentWastewaterElecChlorine.wastewater.in,treatmentWasteWater.effluent.out,324722.417758553
treatmentWastewater.wastewaterElecChlorine.in,treatmentWasteWater.irrev.waste,278333.500935902
hydro.water.in,hydro.elec.out,23194.4584113252
hydro.water.in,hydro.irrev.waste,1994723.42337397
