database_name,plot_name
algae,algae
algaeDry,algae
ash,ash
biodiesel,biodiesel
biogas,biogas
biomass,biomass
biomassAgriWaste,biomass
biooil,biooil
butanol,butanol
CO2,CO2
coal,coal
coke,coal
consumption,REMOVE
cooling,cooling
diesel,diesel
digestate,digestate
DME,DME
effluent,effluent
elec,electricity
ethanol,ethanol
fertilizer,fertilizer
foodWaste,"food waste"
fuel,fuel
fuelOil,fuel
gasLandfill,gas
gasNatural,gas
gasoline,gasoline
gasWaste,gasoline
groundWater,water
groundWaterPumped,water
heat,heat
heatCooking,heat
hydrogen,hydrogen
leachate,leachate
liquidFuel,fuel
LPG,fuel
manure,manure
metal,metal
methane,methane
methanol,methanol
MSW,MSW
nuclearFuelSpent,"spent fuel"
oil,oil
oilUsed,oil
propane,propane
seawater,water
slag,slag
sludge,sludge
solar,solar
surfaceWater,water
syngas,gasoline
uranium,uranium
vegWaste,waste
waste,waste
wastewater,wastewater
water,water
waterBrackish,water
waterHot,water
waterIrrigation,water
waterNonPotable,water
waterPotable,water
wind,wind
wood,wood
