"","process","process.name","capacity","TRL","resource","unit","value","sign","mainOutput"
"1","algae-cultivation","algae-cultivation-0.00405","0.00405","c","elec","MJ",-9.785714,"Input","algae"
"3","algae-cultivation","algae-cultivation-0.00405","0.00405","c","water","kg",-982.1429,"Input","algae"
"5","algae-cultivation","algae-cultivation-0.00405","0.00405","c","algae","kg",1,"Output","algae"
"7","algae-cultivation","algae-cultivation-0.00405","0.00405","c","CO2","kg",-1.8,"Input","algae"
"9","algae-production-pond","algae-production-pond-0.00405","0.00405","c","algae","kg",1,"Output","algae"
"11","algae-production-pond","algae-production-pond-0.00405","0.00405","c","water","kg",-2857.184,"Input","algae"
"13","algae-production-pond","algae-production-pond-0.00405","0.00405","c","elec","MJ",-3.7845,"Input","algae"
"15","algae-production-pond","algae-production-pond-0.00405","0.00405","c","CO2","kg",-1.8,"Input","algae"
"17","algae-production-photobioreactor-flatPlat","algae-production-photobioreactor-flatPlat-0.00000295","0.00000295","m","algae","kg",1,"Output","algae"
"18","algae-production-photobioreactor-flatPlat","algae-production-photobioreactor-flatPlat-0.00000295","0.00000295","m","water","kg",-370.3655,"Input","algae"
"19","algae-production-photobioreactor-flatPlat","algae-production-photobioreactor-flatPlat-0.00000295","0.00000295","m","elec","MJ",6.9894,"Output","algae"
"20","algae-production-photobioreactor-flatPlat","algae-production-photobioreactor-flatPlat-0.00000295","0.00000295","m","CO2","kg",-1.8,"Input","algae"
"21","algae-production-photobioreactor-tubular","algae-production-photobioreactor-tubular-0.00000295","0.00000295","m","algae","kg",1,"Output","algae"
"22","algae-production-photobioreactor-tubular","algae-production-photobioreactor-tubular-0.00000295","0.00000295","m","water","kg",-178.485,"Input","algae"
"23","algae-production-photobioreactor-tubular","algae-production-photobioreactor-tubular-0.00000295","0.00000295","m","elec","MJ",-158.958,"Input","algae"
"24","algae-production-photobioreactor-tubular","algae-production-photobioreactor-tubular-0.00000295","0.00000295","m","CO2","kg",-1.8,"Input","algae"
"25","AnMBR-reverseOsmosis_wastewater","AnMBR-reverseOsmosis_wastewater-555.6","555.6","m","wastewater","kg",-1,"Input","effluent"
"27","AnMBR-reverseOsmosis_wastewater","AnMBR-reverseOsmosis_wastewater-555.6","555.6","m","elec","MJ",-0.0216,"Input","effluent"
"29","AnMBR-reverseOsmosis_wastewater","AnMBR-reverseOsmosis_wastewater-555.6","555.6","m","methane","kg",4.4e-05,"Output","effluent"
"31","AnMBR-reverseOsmosis_wastewater","AnMBR-reverseOsmosis_wastewater-555.6","555.6","m","CO2","kg",2.26e-05,"Output","effluent"
"33","AnMBR-reverseOsmosis_wastewater","AnMBR-reverseOsmosis_wastewater-555.6","555.6","m","effluent","kg",1,"Output","effluent"
"35","biochemical_cornStover_ethanol","biochemical_cornStover_ethanol-18.248","18.248","c","biomass","kg",-1.493435,"Input","elec"
"37","biochemical_cornStover_ethanol","biochemical_cornStover_ethanol-18.248","18.248","c","water","kg",-2.841672,"Input","elec"
"39","biochemical_cornStover_ethanol","biochemical_cornStover_ethanol-18.248","18.248","c","CO2","kg",1.305745,"Output","elec"
"41","biochemical_cornStover_ethanol","biochemical_cornStover_ethanol-18.248","18.248","c","ethanol","kg",0.3486149,"Output","elec"
"43","biochemical_cornStover_ethanol","biochemical_cornStover_ethanol-18.248","18.248","c","elec","MJ",1,"Output","elec"
"45","biochemical_cornStover_ethanol","biochemical_cornStover_ethanol-18.248","18.248","c","waste","kg",0.1036497,"Output","elec"
"47","biochemical_wastePaper_ethanol","biochemical_wastePaper_ethanol-22.989","22.989","c","biomass","kg",-1.194811,"Input","elec"
"49","biochemical_wastePaper_ethanol","biochemical_wastePaper_ethanol-22.989","22.989","c","water","kg",-2.792652,"Input","elec"
"51","biochemical_wastePaper_ethanol","biochemical_wastePaper_ethanol-22.989","22.989","c","CO2","kg",0.9495725,"Output","elec"
"53","biochemical_wastePaper_ethanol","biochemical_wastePaper_ethanol-22.989","22.989","c","ethanol","kg",0.2971107,"Output","elec"
"55","biochemical_wastePaper_ethanol","biochemical_wastePaper_ethanol-22.989","22.989","c","elec","MJ",1,"Output","elec"
"57","biochemical_wastePaper_ethanol","biochemical_wastePaper_ethanol-22.989","22.989","c","waste","kg",0.08226156,"Output","elec"
"59","biochemical_wheatStraw_ethanol","biochemical_wheatStraw_ethanol-20.299","20.299","c","biomass","kg",-1.268481,"Input","elec"
"61","biochemical_wheatStraw_ethanol","biochemical_wheatStraw_ethanol-20.299","20.299","c","water","kg",-2.655057,"Input","elec"
"63","biochemical_wheatStraw_ethanol","biochemical_wheatStraw_ethanol-20.299","20.299","c","CO2","kg",1.319893,"Output","elec"
"65","biochemical_wheatStraw_ethanol","biochemical_wheatStraw_ethanol-20.299","20.299","c","ethanol","kg",0.2664335,"Output","elec"
"67","biochemical_wheatStraw_ethanol","biochemical_wheatStraw_ethanol-20.299","20.299","c","elec","MJ",1,"Output","elec"
"69","biochemical_wheatStraw_ethanol","biochemical_wheatStraw_ethanol-20.299","20.299","c","waste","kg",0.09316277,"Output","elec"
"71","biochemical_woodChips_ethanol","biochemical_woodChips_ethanol-19.543","19.543","c","biomass","kg",-2.36895,"Input","elec"
"73","biochemical_woodChips_ethanol","biochemical_woodChips_ethanol-19.543","19.543","c","water","kg",-1.807496,"Input","elec"
"75","biochemical_woodChips_ethanol","biochemical_woodChips_ethanol-19.543","19.543","c","CO2","kg",1.586629,"Output","elec"
"77","biochemical_woodChips_ethanol","biochemical_woodChips_ethanol-19.543","19.543","c","ethanol","kg",0.3224513,"Output","elec"
"79","biochemical_woodChips_ethanol","biochemical_woodChips_ethanol-19.543","19.543","c","elec","MJ",1,"Output","elec"
"81","biochemical_woodChips_ethanol","biochemical_woodChips_ethanol-19.543","19.543","c","waste","kg",0.07878638,"Output","elec"
"83","biodiesel_boiler","biodiesel_boiler-0.512","0.512","c","biodiesel","kg",-0.03443333,"Input","heat"
"85","biodiesel_boiler","biodiesel_boiler-0.512","0.512","c","heat","MJ",1,"Output","heat"
"87","biodiesel-CHP","biodiesel-CHP-CHECK-REFERENCE","CHECK-REFERENCE","c","biodiesel","MJ",-1.769231,"Input","elec"
"88","biodiesel-CHP","biodiesel-CHP-CHECK-REFERENCE","CHECK-REFERENCE","c","elec","MJ",1,"Output","elec"
"89","biodiesel-CHP","biodiesel-CHP-CHECK-REFERENCE","CHECK-REFERENCE","c","heat","MJ",1.169231,"Output","elec"
"90","biodiesel-CHP","biodiesel-CHP-CHECK-REFERENCE","CHECK-REFERENCE","c","CO2","kg",0.05116923,"Output","elec"
"91","biodiesel-cookingOil","biodiesel-cookingOil-0.12","0.12","c","oilUsed","kg",-1.054545,"Input","biodiesel"
"93","biodiesel-cookingOil","biodiesel-cookingOil-0.12","0.12","c","elec","MJ",-0.05318182,"Input","biodiesel"
"95","biodiesel-cookingOil","biodiesel-cookingOil-0.12","0.12","c","methanol","kg",-0.0967375,"Input","biodiesel"
"97","biodiesel-cookingOil","biodiesel-cookingOil-0.12","0.12","c","biodiesel","kg",1,"Output","biodiesel"
"99","biodiesel-cookingOil","biodiesel-cookingOil-0.12","0.12","c","water","kg",0.01136364,"Output","biodiesel"
"101","biogas-CHP","biogas-CHP-300","300","c","biogas","kg",-0.0003123362,"Input","elec"
"103","biogas-CHP","biogas-CHP-300","300","c","elec","MJ",1,"Output","elec"
"105","biogas-CHP","biogas-CHP-300","300","c","heat","MJ",1.032583,"Output","elec"
"107","biogas-CHP","biogas-CHP-300","300","c","CO2","kg",0,"Input","elec"
"109","biogas-MSW-food","biogas-MSW-food-4.439","4.439","c","foodWaste","kg",6.923098,"Output","elec"
"111","biogas-MSW-food","biogas-MSW-food-4.439","4.439","c","methane","kg",-1.453851,"Input","elec"
"113","biogas-MSW-food","biogas-MSW-food-4.439","4.439","c","heat","MJ",1.993852,"Output","elec"
"115","biogas-MSW-food","biogas-MSW-food-4.439","4.439","c","elec","MJ",1,"Output","elec"
"117","biogas-MSW-food","biogas-MSW-food-4.439","4.439","c","CO2","kg",-2.250007,"Input","elec"
"119","biogas-MSW-food","biogas-MSW-food-4.439","4.439","c","digestate","kg",-2.076929,"Input","elec"
"121","biogas-UPGRADE-methane-AwR","biogas-UPGRADE-methane-AwR-0.24","0.24","c","elec","MJ",-0.4743552,"Input","methane"
"123","biogas-UPGRADE-methane-AwR","biogas-UPGRADE-methane-AwR-0.24","0.24","c","water","kg",-21.37563,"Input","methane"
"125","biogas-UPGRADE-methane-AwR","biogas-UPGRADE-methane-AwR-0.24","0.24","c","biogas","kg",-3.018974,"Input","methane"
"127","biogas-UPGRADE-methane-AwR","biogas-UPGRADE-methane-AwR-0.24","0.24","c","methane","kg",1,"Output","methane"
"129","biogas-UPGRADE-methane-BABIU","biogas-UPGRADE-methane-BABIU-0.24","0.24","c","elec","MJ",-0.9184509,"Input","methane"
"131","biogas-UPGRADE-methane-BABIU","biogas-UPGRADE-methane-BABIU-0.24","0.24","c","water","kg",0,"Input","methane"
