"conversion","added.conversion","resources","transport","added.transport"
"1","dam",3,1,"cable"
"2","treatment_livestock",5,2,"pipe_livestock"
"3","treatment_domestic",7,2,
"4","irrigation_from_source",8,3,"pipe_irrig"
"5","pump",9,4,"pipe"
"6","agriculture",17,8,"manure_wagon, manure_green_wagon, petrol_tanker, veg_cart"
"7","livestock",18,9,"meat_cart"
"8","heating_stove",20,10,"biomass_wagon"
"9","biomass_drying_medium",20,10,
"10","biomass_drying_wet",20,10,
"11","aquaculture",21,12,"fish_cart, fishFeed_cart"
"12","cooking",24,12,
"13","agriMachine",24,12,
"14","domesticApps",25,12,
"15","heating_domestic",26,12,
"16","heating_domesticHotWater",27,12,
