"resource","season","zone","imports","exports","scenario"
"algae","wint","dormitories",0,0,"Grid case (min. cost)"
"algae","sum","dormitories",0,0,"Grid case (min. cost)"
"algae","shoulder","dormitories",0,0,"Grid case (min. cost)"
"algae","wint","energyIsland",0,0,"Grid case (min. cost)"
"algae","sum","energyIsland",0,0,"Grid case (min. cost)"
"algae","shoulder","energyIsland",0,0,"Grid case (min. cost)"
"algae","wint","factory",0,0,"Grid case (min. cost)"
"algae","sum","factory",0,0,"Grid case (min. cost)"
"algae","shoulder","factory",0,0,"Grid case (min. cost)"
"algae","wint","factory_assembly",0,0,"Grid case (min. cost)"
"algae","sum","factory_assembly",0,0,"Grid case (min. cost)"
"algae","shoulder","factory_assembly",0,0,"Grid case (min. cost)"
"algae","wint","factory_blades",0,0,"Grid case (min. cost)"
"algae","sum","factory_blades",0,0,"Grid case (min. cost)"
"algae","shoulder","factory_blades",0,0,"Grid case (min. cost)"
"algae","wint","hospital",0,0,"Grid case (min. cost)"
"algae","sum","hospital",0,0,"Grid case (min. cost)"
"algae","shoulder","hospital",0,0,"Grid case (min. cost)"
"algae","wint","multifunction",0,0,"Grid case (min. cost)"
"algae","sum","multifunction",0,0,"Grid case (min. cost)"
"algae","shoulder","multifunction",0,0,"Grid case (min. cost)"
"algae","wint","northDistrict",0,0,"Grid case (min. cost)"
"algae","sum","northDistrict",0,0,"Grid case (min. cost)"
"algae","shoulder","northDistrict",0,0,"Grid case (min. cost)"
"algae","wint","quality",0,0,"Grid case (min. cost)"
"algae","sum","quality",0,0,"Grid case (min. cost)"
"algae","shoulder","quality",0,0,"Grid case (min. cost)"
"algae","wint","reserved",0,0,"Grid case (min. cost)"
"algae","sum","reserved",0,0,"Grid case (min. cost)"
"algae","shoulder","reserved",0,0,"Grid case (min. cost)"
"algae","wint","residential",0,0,"Grid case (min. cost)"
"algae","sum","residential",0,0,"Grid case (min. cost)"
"algae","shoulder","residential",0,0,"Grid case (min. cost)"
"algae","wint","school",0,0,"Grid case (min. cost)"
"algae","sum","school",0,0,"Grid case (min. cost)"
"algae","shoulder","school",0,0,"Grid case (min. cost)"
"algae","wint","tech",0,0,"Grid case (min. cost)"
"algae","sum","tech",0,0,"Grid case (min. cost)"
"algae","shoulder","tech",0,0,"Grid case (min. cost)"
"algaeDry","wint","dormitories",0,0,"Grid case (min. cost)"
"algaeDry","sum","dormitories",0,0,"Grid case (min. cost)"
"algaeDry","shoulder","dormitories",0,0,"Grid case (min. cost)"
"algaeDry","wint","energyIsland",0,0,"Grid case (min. cost)"
"algaeDry","sum","energyIsland",0,0,"Grid case (min. cost)"
"algaeDry","shoulder","energyIsland",0,0,"Grid case (min. cost)"
"algaeDry","wint","factory",0,0,"Grid case (min. cost)"
"algaeDry","sum","factory",0,0,"Grid case (min. cost)"
"algaeDry","shoulder","factory",0,0,"Grid case (min. cost)"
"algaeDry","wint","factory_assembly",0,0,"Grid case (min. cost)"
"algaeDry","sum","factory_assembly",0,0,"Grid case (min. cost)"
"algaeDry","shoulder","factory_assembly",0,0,"Grid case (min. cost)"
"algaeDry","wint","factory_blades",0,0,"Grid case (min. cost)"
"algaeDry","sum","factory_blades",0,0,"Grid case (min. cost)"
"algaeDry","shoulder","factory_blades",0,0,"Grid case (min. cost)"
"algaeDry","wint","hospital",0,0,"Grid case (min. cost)"
"algaeDry","sum","hospital",0,0,"Grid case (min. cost)"
"algaeDry","shoulder","hospital",0,0,"Grid case (min. cost)"
"algaeDry","wint","multifunction",0,0,"Grid case (min. cost)"
"algaeDry","sum","multifunction",0,0,"Grid case (min. cost)"
"algaeDry","shoulder","multifunction",0,0,"Grid case (min. cost)"
"algaeDry","wint","northDistrict",0,0,"Grid case (min. cost)"
"algaeDry","sum","northDistrict",0,0,"Grid case (min. cost)"
"algaeDry","shoulder","northDistrict",0,0,"Grid case (min. cost)"
"algaeDry","wint","quality",0,0,"Grid case (min. cost)"
"algaeDry","sum","quality",0,0,"Grid case (min. cost)"
"algaeDry","shoulder","quality",0,0,"Grid case (min. cost)"
"algaeDry","wint","reserved",0,0,"Grid case (min. cost)"
"algaeDry","sum","reserved",0,0,"Grid case (min. cost)"
"algaeDry","shoulder","reserved",0,0,"Grid case (min. cost)"
"algaeDry","wint","residential",0,0,"Grid case (min. cost)"
"algaeDry","sum","residential",0,0,"Grid case (min. cost)"
"algaeDry","shoulder","residential",0,0,"Grid case (min. cost)"
"algaeDry","wint","school",0,0,"Grid case (min. cost)"
"algaeDry","sum","school",0,0,"Grid case (min. cost)"
"algaeDry","shoulder","school",0,0,"Grid case (min. cost)"
"algaeDry","wint","tech",0,0,"Grid case (min. cost)"
"algaeDry","sum","tech",0,0,"Grid case (min. cost)"
"algaeDry","shoulder","tech",0,0,"Grid case (min. cost)"
"ash","wint","dormitories",0,0,"Grid case (min. cost)"
"ash","sum","dormitories",0,0,"Grid case (min. cost)"
"ash","shoulder","dormitories",0,0,"Grid case (min. cost)"
"ash","wint","energyIsland",0,0,"Grid case (min. cost)"
"ash","sum","energyIsland",0,0,"Grid case (min. cost)"
"ash","shoulder","energyIsland",0,0,"Grid case (min. cost)"
"ash","wint","factory",0,0,"Grid case (min. cost)"
"ash","sum","factory",0,0,"Grid case (min. cost)"
"ash","shoulder","factory",0,0,"Grid case (min. cost)"
"ash","wint","factory_assembly",0,0,"Grid case (min. cost)"
"ash","sum","factory_assembly",0,0,"Grid case (min. cost)"
"ash","shoulder","factory_assembly",0,0,"Grid case (min. cost)"
"ash","wint","factory_blades",0,0,"Grid case (min. cost)"
"ash","sum","factory_blades",0,0,"Grid case (min. cost)"
"ash","shoulder","factory_blades",0,0,"Grid case (min. cost)"
"ash","wint","hospital",0,0,"Grid case (min. cost)"
"ash","sum","hospital",0,0,"Grid case (min. cost)"
"ash","shoulder","hospital",0,0,"Grid case (min. cost)"
"ash","wint","multifunction",0,0,"Grid case (min. cost)"
"ash","sum","multifunction",0,0,"Grid case (min. cost)"
"ash","shoulder","multifunction",0,0,"Grid case (min. cost)"
"ash","wint","northDistrict",0,0,"Grid case (min. cost)"
"ash","sum","northDistrict",0,0,"Grid case (min. cost)"
"ash","shoulder","northDistrict",0,0,"Grid case (min. cost)"
"ash","wint","quality",0,0,"Grid case (min. cost)"
"ash","sum","quality",0,0,"Grid case (min. cost)"
"ash","shoulder","quality",0,0,"Grid case (min. cost)"
"ash","wint","reserved",0,0,"Grid case (min. cost)"
"ash","sum","reserved",0,0,"Grid case (min. cost)"
"ash","shoulder","reserved",0,0,"Grid case (min. cost)"
"ash","wint","residential",0,0,"Grid case (min. cost)"
"ash","sum","residential",0,0,"Grid case (min. cost)"
"ash","shoulder","residential",0,0,"Grid case (min. cost)"
"ash","wint","school",0,0,"Grid case (min. cost)"
"ash","sum","school",0,0,"Grid case (min. cost)"
"ash","shoulder","school",0,0,"Grid case (min. cost)"
"ash","wint","tech",0,0,"Grid case (min. cost)"
"ash","sum","tech",0,0,"Grid case (min. cost)"
"ash","shoulder","tech",0,0,"Grid case (min. cost)"
"biodiesel","wint","dormitories",0,0,"Grid case (min. cost)"
"biodiesel","sum","dormitories",0,0,"Grid case (min. cost)"
"biodiesel","shoulder","dormitories",0,0,"Grid case (min. cost)"
"biodiesel","wint","energyIsland",0,0,"Grid case (min. cost)"
"biodiesel","sum","energyIsland",0,0,"Grid case (min. cost)"
"biodiesel","shoulder","energyIsland",0,0,"Grid case (min. cost)"
"biodiesel","wint","factory",0,0,"Grid case (min. cost)"
"biodiesel","sum","factory",0,0,"Grid case (min. cost)"
"biodiesel","shoulder","factory",0,0,"Grid case (min. cost)"
"biodiesel","wint","factory_assembly",0,0,"Grid case (min. cost)"
"biodiesel","sum","factory_assembly",0,0,"Grid case (min. cost)"
"biodiesel","shoulder","factory_assembly",0,0,"Grid case (min. cost)"
"biodiesel","wint","factory_blades",0,0,"Grid case (min. cost)"
"biodiesel","sum","factory_blades",0,0,"Grid case (min. cost)"
"biodiesel","shoulder","factory_blades",0,0,"Grid case (min. cost)"
"biodiesel","wint","hospital",0,0,"Grid case (min. cost)"
"biodiesel","sum","hospital",0,0,"Grid case (min. cost)"
"biodiesel","shoulder","hospital",0,0,"Grid case (min. cost)"
"biodiesel","wint","multifunction",0,0,"Grid case (min. cost)"
"biodiesel","sum","multifunction",0,0,"Grid case (min. cost)"
"biodiesel","shoulder","multifunction",0,0,"Grid case (min. cost)"
"biodiesel","wint","northDistrict",0,0,"Grid case (min. cost)"
"biodiesel","sum","northDistrict",0,0,"Grid case (min. cost)"
"biodiesel","shoulder","northDistrict",0,0,"Grid case (min. cost)"
"biodiesel","wint","quality",0,0,"Grid case (min. cost)"
"biodiesel","sum","quality",0,0,"Grid case (min. cost)"
"biodiesel","shoulder","quality",0,0,"Grid case (min. cost)"
"biodiesel","wint","reserved",0,0,"Grid case (min. cost)"
"biodiesel","sum","reserved",0,0,"Grid case (min. cost)"
"biodiesel","shoulder","reserved",0,0,"Grid case (min. cost)"
"biodiesel","wint","residential",0,0,"Grid case (min. cost)"
"biodiesel","sum","residential",0,0,"Grid case (min. cost)"
"biodiesel","shoulder","residential",0,0,"Grid case (min. cost)"
"biodiesel","wint","school",0,0,"Grid case (min. cost)"
"biodiesel","sum","school",0,0,"Grid case (min. cost)"
"biodiesel","shoulder","school",0,0,"Grid case (min. cost)"
"biodiesel","wint","tech",0,0,"Grid case (min. cost)"
"biodiesel","sum","tech",0,0,"Grid case (min. cost)"
"biodiesel","shoulder","tech",0,0,"Grid case (min. cost)"
"biogas","wint","dormitories",0,0,"Grid case (min. cost)"
"biogas","sum","dormitories",0,0,"Grid case (min. cost)"
"biogas","shoulder","dormitories",0,0,"Grid case (min. cost)"
"biogas","wint","energyIsland",0,0,"Grid case (min. cost)"
"biogas","sum","energyIsland",0,0,"Grid case (min. cost)"
"biogas","shoulder","energyIsland",0,0,"Grid case (min. cost)"
"biogas","wint","factory",0,0,"Grid case (min. cost)"
"biogas","sum","factory",0,0,"Grid case (min. cost)"
"biogas","shoulder","factory",0,0,"Grid case (min. cost)"
"biogas","wint","factory_assembly",0,0,"Grid case (min. cost)"
"biogas","sum","factory_assembly",0,0,"Grid case (min. cost)"
"biogas","shoulder","factory_assembly",0,0,"Grid case (min. cost)"
"biogas","wint","factory_blades",0,0,"Grid case (min. cost)"
"biogas","sum","factory_blades",0,0,"Grid case (min. cost)"
"biogas","shoulder","factory_blades",0,0,"Grid case (min. cost)"
"biogas","wint","hospital",0,0,"Grid case (min. cost)"
"biogas","sum","hospital",0,0,"Grid case (min. cost)"
"biogas","shoulder","hospital",0,0,"Grid case (min. cost)"
"biogas","wint","multifunction",0,0,"Grid case (min. cost)"
