"zone.number","zone.region","zone","resource","season","value.doc","units.doc","reference","assump.redist","value.redist","units.redist","notes.conv","value.conv","units.conv"
0,"NA","general","heat","wint",0,"kW","NA","NA",0,"kW","from kW to MW",0,"MW"
1,"south","factory","heat","wint",6000,"kW","[6] Slide 20","NA",6000,"kW","from kW to MW",6,"MW"
2,"south","factory_assembly","heat","wint",5600,"kW","[6] Slide 20","NA",5600,"kW","from kW to MW",5.6,"MW"
3,"production","northDistrict","heat","wint",0,"kW","[6] Slide 20","NA",0,"kW","from kW to MW",0,"MW"
4,"production","multifunction","heat","wint",0,"kW","[6] Slide 20","NA",0,"kW","from kW to MW",0,"MW"
5,"production","factory_blades","heat","wint",0,"kW","[6] Slide 20","NA",0,"kW","from kW to MW",0,"MW"
6,"production","tech","heat","wint",0,"kW","[6] Slide 20","NA",0,"kW","from kW to MW",0,"MW"
7,"production","quality","heat","wint",0,"kW","[6] Slide 20","NA",0,"kW","from kW to MW",0,"MW"
8,"production","dormitories","heat","wint",0,"kW","[6] Slide 20","NA",0,"kW","from kW to MW",0,"MW"
9,"residential","residential","heat","wint",13220,"kW","[6] Slide 20","NA",13220,"kW","from kW to MW",13.22,"MW"
10,"residential","hospital","heat","wint",0,"kW","[6] Slide 20","NA",0,"kW","from kW to MW",0,"MW"
11,"residential","school","heat","wint",0,"kW","[6] Slide 20","NA",0,"kW","from kW to MW",0,"MW"
12,"energyIsland","energyIsland","heat","wint",50,"kW","[6] Slide 20","NA",50,"kW","from kW to MW",0.05,"MW"
13,"NA","reserved","heat","wint",2400,"kW","[6] Slide 20","NA",2400,"kW","from kW to MW",2.4,"MW"
0,"NA","general","heat","sum",0,"kW","NA","NA","NA","NA","NA","NA","NA"
1,"south","factory","heat","sum",0,"kW","[6] Slide 20","NA","NA","NA","NA","NA","NA"
2,"south","factory_assembly","heat","sum",0,"kW","[6] Slide 20","NA","NA","NA","NA","NA","NA"
3,"production","northDistrict","heat","sum",0,"kW","[6] Slide 20","NA","NA","NA","NA","NA","NA"
4,"production","multifunction","heat","sum",0,"kW","[6] Slide 20","NA","NA","NA","NA","NA","NA"
5,"production","factory_blades","heat","sum",0,"kW","[6] Slide 20","NA","NA","NA","NA","NA","NA"
6,"production","tech","heat","sum",0,"kW","[6] Slide 20","NA","NA","NA","NA","NA","NA"
7,"production","quality","heat","sum",0,"kW","[6] Slide 20","NA","NA","NA","NA","NA","NA"
8,"production","dormitories","heat","sum",0,"kW","[6] Slide 20","NA","NA","NA","NA","NA","NA"
9,"residential","residential","heat","sum",0,"kW","[6] Slide 20","NA","NA","NA","NA","NA","NA"
10,"residential","hospital","heat","sum",0,"kW","[6] Slide 20","NA","NA","NA","NA","NA","NA"
11,"residential","school","heat","sum",0,"kW","[6] Slide 20","NA","NA","NA","NA","NA","NA"
12,"energyIsland","energyIsland","heat","sum",0,"kW","[6] Slide 20","NA","NA","NA","NA","NA","NA"
13,"NA","reserved","heat","sum",0,"kW","[6] Slide 20","NA","NA","NA","NA","NA","NA"
0,"NA","general","heat","shoulder",0,"kW","NA","NA",0,"kW","from kW to MW",0,"MW"
1,"south","factory","heat","shoulder",0,"kW","[6] Slide 20","Half of winter value",3000,"kW","from kW to MW",3,"MW"
2,"south","factory_assembly","heat","shoulder",0,"kW","[6] Slide 20","Half of winter value",2800,"kW","from kW to MW",2.8,"MW"
3,"production","northDistrict","heat","shoulder",0,"kW","[6] Slide 20","NA",0,"kW","from kW to MW",0,"MW"
4,"production","multifunction","heat","shoulder",0,"kW","[6] Slide 20","NA",0,"kW","from kW to MW",0,"MW"
5,"production","factory_blades","heat","shoulder",0,"kW","[6] Slide 20","NA",0,"kW","from kW to MW",0,"MW"
6,"production","tech","heat","shoulder",0,"kW","[6] Slide 20","NA",0,"kW","from kW to MW",0,"MW"
7,"production","quality","heat","shoulder",0,"kW","[6] Slide 20","NA",0,"kW","from kW to MW",0,"MW"
8,"production","dormitories","heat","shoulder",0,"kW","[6] Slide 20","NA",0,"kW","from kW to MW",0,"MW"
9,"residential","residential","heat","shoulder",0,"kW","[6] Slide 20","Half of winter value",6610,"kW","from kW to MW",0,"MW"
