"resource","cost","winter_import_min","winter_import_max","winter_export_min","winter_export_max","summer_import_min","summer_import_max","summer_export_min","summer_export_max","shoulder_import_min","shoulder_import_max","shoulder_export_min","shoulder_export_max","emissions","num_zones_imports","num_zones_exports","notes","cost","currency","notes","converstion notes","cost.converted","unit.flow","exergy","emissions.random","emissions.scope.two.three"
"heat",0.0002191057,0,0,0,"1000",0,0,0,"1000",0,0,0,"1000",,0,13,,"NA",,,,,,,0.6077173688,0
"cool",0.0006951543,0,0,0,"1000",0,0,0,"1000",0,0,0,"1000",,0,13,,"NA",,,,,,,0.9222645951,0
"hot_primary_feed",0.0007898364,0,0,0,"1000",0,0,0,"1000",0,0,0,"1000",,0,13,,"NA",,,,,,,0.8911855537,0
"hot_primary_return",0.000162906,0,0,0,"1000",0,0,0,"1000",0,0,0,"1000",,0,13,,"NA",,,,,,,0.1109193994,0
"hot_secondary_feed",0.0005705336,0,0,0,"1000",0,0,0,"1000",0,0,0,"1000",,0,13,,"NA",,,,,,,0.801170113,0
"hot_secondary_return",0.0002538971,0,0,0,"1000",0,0,0,"1000",0,0,0,"1000",,0,13,,"NA",,,,,,,0.6286372847,0
"cold_primary_feed",0.0008632851,0,0,0,"1000",0,0,0,"1000",0,0,0,"1000",,0,13,,"NA",,,,,,,0.4165789688,0
"cold_primary_return",0.0007869988,0,0,0,"1000",0,0,0,"1000",0,0,0,"1000",,0,13,,"NA",,,,,,,0.280425922,0
"cold_secondary_feed",0.0008890993,0,0,0,"1000",0,0,0,"1000",0,0,0,"1000",,0,13,,"NA",,,,,,,0.174941093,0
"cold_secondary_return",0.0002921841,0,0,0,"1000",0,0,0,"1000",0,0,0,"1000",,0,13,,"NA",,,,,,,0.3764860397,0
"gasNatural",0.0007296636,0,100,0,"1000",0,100,0,"1000",0,100,0,"1000",,1,13,,"TODO","5 cents/kWh","Estimated from http://shrinkthatfootprint.com/average-natural-gas-prices-compare","55.5 MJ/kg",0.78,"per kg",,0.3876714087,
"elec",0.0007658117,0,100,0,"1000",0,100,0,"1000",0,100,0,"1000",,1,13,,"TODO","10 cents/kWh","Estimated from http://www.npr.org/sections/money/2011/10/27/141766341/the-price-of-electricity-in-your-state",,0.028,"per MJ",,0.4644957075,
"wastewater",0.0006655962,0,0,0,"1000",0,0,0,"1000",0,0,0,"1000",,0,13,,"NA",,,,,,,0.4459190248,
"waste_organic",0.0009032526,0,0,0,"1000",0,0,0,"1000",0,0,0,"1000",,0,13,,"NA",,,,,,,0.2853973417,
"water",0.0006383517,0,100,0,"1000",0,100,0,"1000",0,100,0,"1000",,1,13,,"TODO","0.1 cents/gallon","http://www.nrdc.org/water/drinking/bw/chap2.asp","1 gallon = 3.79 kg of water",0.0003,"per kg",,0.5464939508,
"waterPotable",0.0009160569,0,0,0,"1000",0,0,0,"1000",0,0,0,"1000",,0,13,,"NA",,,,,,,0.0370612224,
