"process","capital.test","capital.test.update","recosted.process","recosted.cost","max_num"
"activated-sludge-l",3811830.85097087,3811830.85,"activated-sludge-l",1134558.0576,2
"activated-sludge-ozone-l",3811830.85097087,3811830.85,"activated-sludge-ozone-l",1134558.0576,2
"activated-sludge-ozone-s",1198.2991293025,1198.3,"activated-sludge-ozone-s",661.97952,150
"activated-sludge-s",1198.2991293025,1198.3,"activated-sludge-s",661.97952,150
"airCon_central",9623,9623,"airCon_central",1202.875,150
"airCon_split",9623,9623,"airCon_split",1202.875,150
"algae-cultivation-l",646691.860686016,646691.86,"algae-cultivation-l",163482.624,2
"algae-cultivation-s",0.6466918607,0.65,"algae-cultivation-s",0.163482624,150
"algae-production-pond-l",646691.860686016,646691.86,"algae-production-pond-l",163482.624,2
"algae-production-pond-s",0.6466918607,0.65,"algae-production-pond-s",0.163482624,150
"anaerobic-digester-annamox-l",2302443.36,2302443.36,"anaerobic-digester-annamox-l",2086,2
"anaerobic-digester-annamox-s",179250.624,179250.62,"anaerobic-digester-annamox-s",89625.312,150
"anaerobicDigestion_sludge-l",27752941440,27752941440,"anaerobicDigestion_sludge_manure-l",25149054,2
"anaerobicDigestion_sludge_manure-l",27752941440,27752941440,"anaerobicDigestion_sludge_manure-s",89625.312,2
"anaerobicDigestion_sludge_manure-s",179250.624,179250.62,"anaerobicDigestion_sludge_usedOil-l",25149054,150
"anaerobicDigestion_sludge-s",179250.624,179250.62,"anaerobicDigestion_sludge_usedOil-s",89625.312,150
"anaerobicDigestion_sludge_usedOil-l",27752941440,27752941440,"anaerobicDigestion_sludge-l",25149054,2
"anaerobicDigestion_sludge_usedOil-s",179250.624,179250.62,"anaerobicDigestion_sludge-s",89625.312,150
"anaerobicDigestion_wastewater-l",8591667840,8591667840,"anaerobicDigestion_wastewater-l",7778400,2
"anaerobicDigestion_wastewater-s",179250.624,179250.62,"anaerobicDigestion_wastewater-s",89625.312,150
"anaerobicFermentation",17878704480,17878704480,"anaerobicFermentation",5865309684,150
"biochemical_cornStover_ethanol-l",706406400,706406400,"biochemical_cornStover_ethanol-l",281174118.2208,2
"biochemical_cornStover_ethanol-s",270421.2,270421.2,"biochemical_cornStover_ethanol-s",159433.843104,150
"biochemical_wastePaper_ethanol-l",761594400,761594400,"biochemical_wastePaper_ethanol-l",301447143.0432,2
"biochemical_wastePaper_ethanol-s",281458.8,281458.8,"biochemical_wastePaper_ethanol-s",159197.165424,150
"biochemical_wheatStraw_ethanol-l",739834560,739834560,"biochemical_wheatStraw_ethanol-l",238391585.9136,2
"biochemical_wheatStraw_ethanol-s",589723200,589723200,"biochemical_wheatStraw_ethanol-s",158997.069504,150
"biochemical_woodChips_ethanol-l",669067776,669067776,"biochemical_woodChips_ethanol-l",277831668.0384,2
"biochemical_woodChips_ethanol-s",270200.448,270200.45,"biochemical_woodChips_ethanol-s",159020.91072,150
"biodiesel_boiler-l",300032,300032,"biodiesel_boiler-l",123648,2
"biodiesel_boiler-s",8790,8790,"biodiesel_boiler-s",8612.5,150
"biodiesel-cookingOil-l",4541184,4541184,"biodiesel-cookingOil-l",675771.428571426,2
"biodiesel-cookingOil-s",730373.76,730373.76,"biodiesel-cookingOil-s",434746.285714286,150
"biogas-CHP-l",675000000,675000000,"biogas-CHP-l",180000000,2
"biogas-CHP-s",1125000,1125000,"biogas-CHP-s",825000,150
"biogas-MSW-agri-l",68594268.96,68594268.96,"biogas-MSW-agri-l",16903587.708,2
"biogas-MSW-agri-s",3924970.56,3924970.56,"biogas-MSW-agri-s",1287630.648,150
