"zone","resource","season","value.conv","units.conv"
"factory","heat","wint",6,"MW"
"factory","heat","shoulder",3,"MW"
"factory","elec","wint",12.75,"MW"
"factory","elec","sum",12.75,"MW"
"factory","elec","shoulder",12.75,"MW"
"factory","waterPotable","wint",4.44,"kg/s"
"factory","waterPotable","sum",4.44,"kg/s"
"factory","waterPotable","shoulder",4.44,"kg/s"
"factory","wastewater","wint",-4.63,"kg/s"
"factory","wastewater","sum",-4.63,"kg/s"
"factory","wastewater","shoulder",-4.63,"kg/s"
"factory","waste","wint",-0.003,"kg/s"
"factory","waste","sum",-0.003,"kg/s"
"factory","waste","shoulder",-0.003,"kg/s"
"factory","waste_organic","wint",-0.004,"kg/s"
"factory","waste_organic","sum",-0.004,"kg/s"
"factory","waste_organic","shoulder",-0.004,"kg/s"
"factory","waterNonPotable","wint",2.31,"kg/s"
"factory","waterNonPotable","sum",2.31,"kg/s"
"factory","waterNonPotable","shoulder",2.31,"kg/s"
"factory_assembly","heat","wint",5.6,"MW"
"factory_assembly","heat","shoulder",2.8,"MW"
"factory_assembly","cool","sum",1.985,"MW"
"northDistrict","waterPotable","wint",5.07,"kg/s"
"northDistrict","waterPotable","sum",5.07,"kg/s"
"northDistrict","waterPotable","shoulder",5.07,"kg/s"
"northDistrict","wastewater","wint",-4.63,"kg/s"
"northDistrict","wastewater","sum",-4.63,"kg/s"
"northDistrict","wastewater","shoulder",-4.63,"kg/s"
"northDistrict","waste","wint",-0.003,"kg/s"
"northDistrict","waste","sum",-0.003,"kg/s"
"northDistrict","waste","shoulder",-0.003,"kg/s"
"northDistrict","waste_organic","wint",-0.004,"kg/s"
"northDistrict","waste_organic","sum",-0.004,"kg/s"
"northDistrict","waste_organic","shoulder",-0.004,"kg/s"
"northDistrict","waterNonPotable","wint",2.31,"kg/s"
"northDistrict","waterNonPotable","sum",2.31,"kg/s"
"northDistrict","waterNonPotable","shoulder",2.31,"kg/s"
"multifunction","cool","sum",0.304,"MW"
"factory_blades","cool","sum",0.4,"MW"
"tech","cool","sum",0.4,"MW"
"quality","cool","sum",0.288,"MW"
"dormitories","cool","sum",0.94,"MW"
"residential","heat","wint",13.22,"MW"
"residential","cool","sum",17.28,"MW"
"residential","elec","wint",6.85,"MW"
"residential","elec","sum",6.85,"MW"
"residential","elec","shoulder",6.85,"MW"
"residential","waterPotable","wint",10.6,"kg/s"
"residential","waterPotable","sum",10.6,"kg/s"
"residential","waterPotable","shoulder",10.6,"kg/s"
"residential","wastewater","wint",-4.63,"kg/s"
"residential","wastewater","sum",-4.63,"kg/s"
"residential","wastewater","shoulder",-4.63,"kg/s"
"residential","waste","wint",-0.003,"kg/s"
"residential","waste","sum",-0.003,"kg/s"
"residential","waste","shoulder",-0.003,"kg/s"
"residential","waste_organic","wint",-0.004,"kg/s"
"residential","waste_organic","sum",-0.004,"kg/s"
"residential","waste_organic","shoulder",-0.004,"kg/s"
"residential","waterNonPotable","wint",2.31,"kg/s"
"residential","waterNonPotable","sum",2.31,"kg/s"
"residential","waterNonPotable","shoulder",2.31,"kg/s"
"hospital","heat","shoulder",6.61,"MW"
"hospital","cool","sum",0.272,"MW"
"school","cool","sum",0.73,"MW"
"energyIsland","heat","wint",0.05,"MW"
"energyIsland","heat","shoulder",0.025,"MW"
"energyIsland","cool","sum",0.1,"MW"
"reserved","heat","wint",2.4,"MW"
"reserved","heat","shoulder",1.2,"MW"
