"zone","factory","factory_assembly","northDistrict","multifunction","factory_blades","tech","quality","dormitories","residential","hospital","school","energyIsland","reserved"
"factory","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"factory_assembly",10,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"northDistrict",10,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"multifunction","NA","NA",10,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"factory_blades","NA","NA",10,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"tech","NA","NA",10,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"quality","NA","NA",10,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"dormitories","NA","NA",10,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"residential","NA","NA",10,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"hospital","NA","NA","NA","NA","NA","NA","NA","NA",10,"NA","NA","NA","NA"
"school","NA","NA","NA","NA","NA","NA","NA","NA",10,"NA","NA","NA","NA"
"energyIsland","NA","NA",10,"NA","NA","NA","NA","NA",10,"NA","NA","NA","NA"
"reserved","NA","NA","NA","NA","NA","NA","NA","NA",10,"NA","NA","NA","NA"
