"resource","season","zone","imports","exports"
"CO2","wint","factory_assembly",0,0.8
"CO2","sum","factory_assembly",0,0.28
"CO2","shoulder","factory_assembly",0,0.8
"CO2","wint","residential",0,2.19
"CO2","sum","residential",0,2.41
"CO2","shoulder","residential",0,1.1
"elec","wint","dormitories",1.82,0
"elec","sum","dormitories",4.29,0
"elec","shoulder","dormitories",8.04,0
"gasNatural","wint","factory",1.04,0
"gasNatural","sum","factory",0.94,0
"gasNatural","shoulder","factory",0.66,0
"wastewater","wint","energyIsland",0,6.03
"wastewater","sum","energyIsland",0,6.03
"wastewater","shoulder","energyIsland",0,6.03
"wastewater","wint","factory",0,2.32
"wastewater","sum","factory",0,2.32
"wastewater","shoulder","factory",0,2.32
"wastewater","wint","northDistrict",0,2.32
"wastewater","sum","northDistrict",0,2.32
"wastewater","shoulder","northDistrict",0,2.32
"wastewater","wint","residential",0,2.32
"wastewater","sum","residential",0,2.32
"wastewater","shoulder","residential",0,2.32
"water_pure","wint","energyIsland",0,4.02
"water_pure","sum","energyIsland",0,4.02
"water_pure","shoulder","energyIsland",0,4.02
"water","wint","residential",30.17,0
"water","sum","residential",30.17,0
"water","shoulder","residential",30.17,0
