"resource","quality","season","zone","value"
"algae","mass","wint","dormitories",0.00
"algae","mass","sum","dormitories",0.00
"algae","mass","shoulder","dormitories",0.00
"algae","mass","wint","energyIsland",0.00
"algae","mass","sum","energyIsland",0.00
"algae","mass","shoulder","energyIsland",0.00
"algae","mass","wint","factory",0.00
"algae","mass","sum","factory",0.00
"algae","mass","shoulder","factory",0.00
"algae","mass","wint","factory_assembly",0.00
"algae","mass","sum","factory_assembly",0.00
"algae","mass","shoulder","factory_assembly",0.00
"algae","mass","wint","factory_blades",0.00
"algae","mass","sum","factory_blades",0.00
"algae","mass","shoulder","factory_blades",0.00
"algae","mass","wint","hospital",0.00
"algae","mass","sum","hospital",0.00
"algae","mass","shoulder","hospital",0.00
"algae","mass","wint","multifunction",0.00
"algae","mass","sum","multifunction",0.00
"algae","mass","shoulder","multifunction",0.00
"algae","mass","wint","northDistrict",0.00
"algae","mass","sum","northDistrict",0.00
"algae","mass","shoulder","northDistrict",0.00
"algae","mass","wint","quality",0.00
"algae","mass","sum","quality",0.00
"algae","mass","shoulder","quality",0.00
"algae","mass","wint","reserved",0.00
"algae","mass","sum","reserved",0.00
"algae","mass","shoulder","reserved",0.00
"algae","mass","wint","residential",0.00
"algae","mass","sum","residential",0.00
"algae","mass","shoulder","residential",0.00
"algae","mass","wint","school",0.00
"algae","mass","sum","school",0.00
"algae","mass","shoulder","school",0.00
"algae","mass","wint","tech",0.00
"algae","mass","sum","tech",0.00
"algae","mass","shoulder","tech",0.00
"algae","energy","wint","dormitories",0.00
"algae","energy","sum","dormitories",0.00
"algae","energy","shoulder","dormitories",0.00
"algae","energy","wint","energyIsland",0.00
"algae","energy","sum","energyIsland",0.00
"algae","energy","shoulder","energyIsland",0.00
"algae","energy","wint","factory",0.00
"algae","energy","sum","factory",0.00
"algae","energy","shoulder","factory",0.00
"algae","energy","wint","factory_assembly",0.00
"algae","energy","sum","factory_assembly",0.00
"algae","energy","shoulder","factory_assembly",0.00
"algae","energy","wint","factory_blades",0.00
"algae","energy","sum","factory_blades",0.00
"algae","energy","shoulder","factory_blades",0.00
"algae","energy","wint","hospital",0.00
"algae","energy","sum","hospital",0.00
"algae","energy","shoulder","hospital",0.00
"algae","energy","wint","multifunction",0.00
"algae","energy","sum","multifunction",0.00
"algae","energy","shoulder","multifunction",0.00
"algae","energy","wint","northDistrict",0.00
"algae","energy","sum","northDistrict",0.00
"algae","energy","shoulder","northDistrict",0.00
"algae","energy","wint","quality",0.00
"algae","energy","sum","quality",0.00
"algae","energy","shoulder","quality",0.00
"algae","energy","wint","reserved",0.00
"algae","energy","sum","reserved",0.00
"algae","energy","shoulder","reserved",0.00
"algae","energy","wint","residential",0.00
"algae","energy","sum","residential",0.00
"algae","energy","shoulder","residential",0.00
"algae","energy","wint","school",0.00
"algae","energy","sum","school",0.00
"algae","energy","shoulder","school",0.00
"algae","energy","wint","tech",0.00
"algae","energy","sum","tech",0.00
"algae","energy","shoulder","tech",0.00
"algaeDry","mass","wint","dormitories",0.00
"algaeDry","mass","sum","dormitories",0.00
"algaeDry","mass","shoulder","dormitories",0.00
"algaeDry","mass","wint","energyIsland",0.00
"algaeDry","mass","sum","energyIsland",0.00
"algaeDry","mass","shoulder","energyIsland",0.00
"algaeDry","mass","wint","factory",0.00
"algaeDry","mass","sum","factory",0.00
"algaeDry","mass","shoulder","factory",0.00
"algaeDry","mass","wint","factory_assembly",0.00
"algaeDry","mass","sum","factory_assembly",0.00
"algaeDry","mass","shoulder","factory_assembly",0.00
"algaeDry","mass","wint","factory_blades",0.00
"algaeDry","mass","sum","factory_blades",0.00
"algaeDry","mass","shoulder","factory_blades",0.00
"algaeDry","mass","wint","hospital",0.00
"algaeDry","mass","sum","hospital",0.00
"algaeDry","mass","shoulder","hospital",0.00
"algaeDry","mass","wint","multifunction",0.00
"algaeDry","mass","sum","multifunction",0.00
"algaeDry","mass","shoulder","multifunction",0.00
"algaeDry","mass","wint","northDistrict",0.00
"algaeDry","mass","sum","northDistrict",0.00
"algaeDry","mass","shoulder","northDistrict",0.00
"algaeDry","mass","wint","quality",0.00
"algaeDry","mass","sum","quality",0.00
"algaeDry","mass","shoulder","quality",0.00
"algaeDry","mass","wint","reserved",0.00
"algaeDry","mass","sum","reserved",0.00
"algaeDry","mass","shoulder","reserved",0.00
"algaeDry","mass","wint","residential",0.00
"algaeDry","mass","sum","residential",0.00
"algaeDry","mass","shoulder","residential",0.00
"algaeDry","mass","wint","school",0.00
"algaeDry","mass","sum","school",0.00
"algaeDry","mass","shoulder","school",0.00
"algaeDry","mass","wint","tech",0.00
"algaeDry","mass","sum","tech",0.00
"algaeDry","mass","shoulder","tech",0.00
