"resource","season","zone","imports","exports"
"elec","wint","dormitories",100,0
"elec","sum","dormitories",100,0
"elec","shoulder","dormitories",100,0
"gasNatural","wint","dormitories",100,0
"gasNatural","sum","dormitories",100,0
"gasNatural","shoulder","dormitories",100,0
"gasNatural","sum","energyIsland",0,100.01
"gasNatural","shoulder","hospital",0,100.01
"gasNatural","wint","school",0,100.01
"wastewater","shoulder","dormitories",0,6.03
"wastewater","sum","factory",0,10.67
"wastewater","shoulder","factory",0,2.32
"wastewater","wint","northDistrict",0,10.67
"wastewater","sum","reserved",0,2.32
"wastewater","wint","residential",0,2.32
"wastewater","shoulder","tech",0,4.64
"water_pure","sum","factory",0,0.89
"water_pure","wint","multifunction",0,4.02
"water_pure","shoulder","multifunction",0,4.02
"water_pure","sum","northDistrict",0,3.13
"water","wint","dormitories",100,0
"water","sum","dormitories",100,0
"water","shoulder","dormitories",30.17,0
"water","sum","factory_blades",0,69.84
"water","wint","northDistrict",0,69.84
