"process","resource","season","zone","value"
"anaerobicFermentation","algae","wint","dormitories",0.00
"anaerobicFermentation","algae","sum","dormitories",0.00
"anaerobicFermentation","algae","shoulder","dormitories",0.00
"anaerobicFermentation","algae","wint","energyIsland",0.00
"anaerobicFermentation","algae","sum","energyIsland",0.00
"anaerobicFermentation","algae","shoulder","energyIsland",0.00
"anaerobicFermentation","algae","wint","factory",0.00
"anaerobicFermentation","algae","sum","factory",0.00
"anaerobicFermentation","algae","shoulder","factory",0.00
"anaerobicFermentation","algae","wint","factory_assembly",0.00
"anaerobicFermentation","algae","sum","factory_assembly",0.00
"anaerobicFermentation","algae","shoulder","factory_assembly",0.00
"anaerobicFermentation","algae","wint","factory_blades",0.00
"anaerobicFermentation","algae","sum","factory_blades",0.00
"anaerobicFermentation","algae","shoulder","factory_blades",0.00
"anaerobicFermentation","algae","wint","hospital",0.00
"anaerobicFermentation","algae","sum","hospital",0.00
"anaerobicFermentation","algae","shoulder","hospital",0.00
"anaerobicFermentation","algae","wint","multifunction",0.00
"anaerobicFermentation","algae","sum","multifunction",0.00
"anaerobicFermentation","algae","shoulder","multifunction",0.00
"anaerobicFermentation","algae","wint","northDistrict",0.00
"anaerobicFermentation","algae","sum","northDistrict",0.00
"anaerobicFermentation","algae","shoulder","northDistrict",0.00
"anaerobicFermentation","algae","wint","quality",0.00
"anaerobicFermentation","algae","sum","quality",0.00
"anaerobicFermentation","algae","shoulder","quality",0.00
"anaerobicFermentation","algae","wint","reserved",0.00
"anaerobicFermentation","algae","sum","reserved",0.00
"anaerobicFermentation","algae","shoulder","reserved",0.00
"anaerobicFermentation","algae","wint","residential",0.00
"anaerobicFermentation","algae","sum","residential",0.00
"anaerobicFermentation","algae","shoulder","residential",0.00
"anaerobicFermentation","algae","wint","school",0.00
"anaerobicFermentation","algae","sum","school",0.00
"anaerobicFermentation","algae","shoulder","school",0.00
"anaerobicFermentation","algae","wint","tech",0.00
"anaerobicFermentation","algae","sum","tech",0.00
"anaerobicFermentation","algae","shoulder","tech",0.00
"anaerobicFermentation","algaeDry","wint","dormitories",0.00
"anaerobicFermentation","algaeDry","sum","dormitories",0.00
"anaerobicFermentation","algaeDry","shoulder","dormitories",0.00
"anaerobicFermentation","algaeDry","wint","energyIsland",0.00
"anaerobicFermentation","algaeDry","sum","energyIsland",0.00
"anaerobicFermentation","algaeDry","shoulder","energyIsland",0.00
"anaerobicFermentation","algaeDry","wint","factory",0.00
"anaerobicFermentation","algaeDry","sum","factory",0.00
"anaerobicFermentation","algaeDry","shoulder","factory",0.00
"anaerobicFermentation","algaeDry","wint","factory_assembly",0.00
"anaerobicFermentation","algaeDry","sum","factory_assembly",0.00
"anaerobicFermentation","algaeDry","shoulder","factory_assembly",0.00
"anaerobicFermentation","algaeDry","wint","factory_blades",0.00
"anaerobicFermentation","algaeDry","sum","factory_blades",0.00
"anaerobicFermentation","algaeDry","shoulder","factory_blades",0.00
"anaerobicFermentation","algaeDry","wint","hospital",0.00
"anaerobicFermentation","algaeDry","sum","hospital",0.00
"anaerobicFermentation","algaeDry","shoulder","hospital",0.00
"anaerobicFermentation","algaeDry","wint","multifunction",0.00
"anaerobicFermentation","algaeDry","sum","multifunction",0.00
"anaerobicFermentation","algaeDry","shoulder","multifunction",0.00
"anaerobicFermentation","algaeDry","wint","northDistrict",0.00
"anaerobicFermentation","algaeDry","sum","northDistrict",0.00
"anaerobicFermentation","algaeDry","shoulder","northDistrict",0.00
"anaerobicFermentation","algaeDry","wint","quality",0.00
"anaerobicFermentation","algaeDry","sum","quality",0.00
