"resource","season","zone","imports","exports"
"CO2","wint","dormitories",0,80.4
"CO2","sum","dormitories",0,0.13
"CO2","wint","energyIsland",0,0.01
"CO2","sum","energyIsland",0,65.15
"CO2","wint","factory_assembly",0,0.78
"CO2","sum","factory_assembly",0,0.28
"CO2","shoulder","factory_assembly",0,0.39
"CO2","sum","hospital",0,0.04
"CO2","shoulder","hospital",0,0.93
"CO2","wint","multifunction",0,64.16
"CO2","sum","multifunction",0,0.04
"CO2","wint","northDistrict",0,137.11
"CO2","shoulder","quality",0,63.8
"CO2","wint","reserved",0,0.34
"CO2","sum","reserved",0,136.74
"CO2","shoulder","reserved",0,0.17
"CO2","shoulder","residential",0,137.11
"CO2","sum","school",0,0.1
"CO2","shoulder","school",0,80.4
"CO2","sum","tech",0,80.4
"cool","sum","northDistrict",0,27.73
"cool","sum","quality",0,27.84
"cool","sum","reserved",0,28.13
"cool","sum","residential",0,10.85
"elec","wint","dormitories",100,0
"elec","sum","dormitories",100,0
"elec","shoulder","dormitories",0,127.63
"elec","shoulder","energyIsland",0,1000
"elec","wint","factory_blades",0,1000
"elec","wint","hospital",0,311.17
"elec","sum","multifunction",0,81.48
"gasNatural","wint","dormitories",100,0
"gasNatural","sum","dormitories",100,0
"gasNatural","shoulder","dormitories",100,0
"heat","wint","dormitories",0,573.6
"heat","sum","energyIsland",0,464.68
"heat","wint","factory",0,1000
"heat","wint","multifunction",0,457.73
"heat","wint","northDistrict",0,1000
"heat","sum","northDistrict",0,1000
"heat","shoulder","northDistrict",0,1000
"heat","sum","quality",0,1000
"heat","shoulder","quality",0,455.17
"heat","sum","reserved",0,1000
"heat","sum","residential",0,1000
"heat","shoulder","residential",0,1000
"heat","shoulder","school",0,573.6
"heat","sum","tech",0,573.2
"wastewater","wint","factory",0,26.96
"wastewater","shoulder","factory_assembly",0,2.32
"wastewater","sum","multifunction",0,26.96
"wastewater","shoulder","residential",0,10.67
"water_pure","sum","dormitories",0,13.33
"water_pure","shoulder","dormitories",0,4.02
"water_pure","wint","northDistrict",0,11.21
"water_pure","wint","residential",0,2.12
"water","wint","dormitories",100,0
"water","sum","dormitories",100,0
"water","shoulder","dormitories",30.17,0
"waterPotable","wint","northDistrict",0,46.56
"waterPotable","sum","northDistrict",0,46.56
