"process","season","zone","rate","number"
"anaerobicFermentation","wint","dormitories",0.00,100.00
"anaerobicFermentation","wint","energyIsland",0.00,100.00
"anaerobicFermentation","wint","factory",0.00,100.00
"anaerobicFermentation","wint","factory_assembly",0.00,100.00
"anaerobicFermentation","wint","factory_blades",0.00,100.00
"anaerobicFermentation","wint","hospital",0.00,100.00
"anaerobicFermentation","wint","multifunction",0.00,100.00
"anaerobicFermentation","wint","northDistrict",0.00,100.00
"anaerobicFermentation","wint","quality",0.00,100.00
"anaerobicFermentation","wint","reserved",0.00,100.00
"anaerobicFermentation","wint","residential",0.00,100.00
"anaerobicFermentation","wint","school",0.00,100.00
"anaerobicFermentation","wint","tech",0.00,100.00
"anaerobicFermentation","sum","dormitories",0.00,100.00
"anaerobicFermentation","sum","energyIsland",0.00,100.00
"anaerobicFermentation","sum","factory",0.00,100.00
"anaerobicFermentation","sum","factory_assembly",0.00,100.00
"anaerobicFermentation","sum","factory_blades",0.00,100.00
"anaerobicFermentation","sum","hospital",0.00,100.00
"anaerobicFermentation","sum","multifunction",0.00,100.00
"anaerobicFermentation","sum","northDistrict",0.00,100.00
"anaerobicFermentation","sum","quality",0.00,100.00
"anaerobicFermentation","sum","reserved",0.00,100.00
"anaerobicFermentation","sum","residential",0.00,100.00
"anaerobicFermentation","sum","school",0.00,100.00
"anaerobicFermentation","sum","tech",0.00,100.00
"anaerobicFermentation","shoulder","dormitories",0.00,100.00
"anaerobicFermentation","shoulder","energyIsland",0.00,100.00
"anaerobicFermentation","shoulder","factory",0.00,100.00
"anaerobicFermentation","shoulder","factory_assembly",0.00,100.00
"anaerobicFermentation","shoulder","factory_blades",0.00,100.00
"anaerobicFermentation","shoulder","hospital",0.00,100.00
"anaerobicFermentation","shoulder","multifunction",0.00,100.00
"anaerobicFermentation","shoulder","northDistrict",0.00,100.00
"anaerobicFermentation","shoulder","quality",0.00,100.00
"anaerobicFermentation","shoulder","reserved",0.00,100.00
"anaerobicFermentation","shoulder","residential",0.00,100.00
"anaerobicFermentation","shoulder","school",0.00,100.00
"anaerobicFermentation","shoulder","tech",0.00,100.00
"boiler_gas","wint","dormitories",0.00,100.00
"boiler_gas","wint","energyIsland",0.00,100.00
"boiler_gas","wint","factory",0.00,100.00
"boiler_gas","wint","factory_assembly",0.00,100.00
"boiler_gas","wint","factory_blades",0.00,100.00
"boiler_gas","wint","hospital",476.68,100.00
"boiler_gas","wint","multifunction",0.00,100.00
"boiler_gas","wint","northDistrict",0.00,100.00
"boiler_gas","wint","quality",0.00,100.00
"boiler_gas","wint","reserved",428.80,100.00
"boiler_gas","wint","residential",0.00,100.00
"boiler_gas","wint","school",0.00,100.00
"boiler_gas","wint","tech",0.00,100.00
"boiler_gas","sum","dormitories",0.00,100.00
"boiler_gas","sum","energyIsland",0.00,100.00
"boiler_gas","sum","factory",0.00,100.00
"boiler_gas","sum","factory_assembly",0.00,100.00
"boiler_gas","sum","factory_blades",0.00,100.00
"boiler_gas","sum","hospital",0.00,100.00
"boiler_gas","sum","multifunction",0.00,100.00
"boiler_gas","sum","northDistrict",1028.10,100.00
"boiler_gas","sum","quality",0.00,100.00
"boiler_gas","sum","reserved",765.83,100.00
"boiler_gas","sum","residential",0.00,100.00
"boiler_gas","sum","school",0.00,100.00
"boiler_gas","sum","tech",0.00,100.00
"boiler_gas","shoulder","dormitories",0.00,100.00
"boiler_gas","shoulder","energyIsland",0.00,100.00
"boiler_gas","shoulder","factory",0.00,100.00
"boiler_gas","shoulder","factory_assembly",0.00,100.00
"boiler_gas","shoulder","factory_blades",0.00,100.00
"boiler_gas","shoulder","hospital",6.61,100.00
"boiler_gas","shoulder","multifunction",0.00,100.00
"boiler_gas","shoulder","northDistrict",0.00,100.00
"boiler_gas","shoulder","quality",0.00,100.00
"boiler_gas","shoulder","reserved",0.00,100.00
"boiler_gas","shoulder","residential",0.00,100.00
"boiler_gas","shoulder","school",0.00,100.00
"boiler_gas","shoulder","tech",0.00,100.00
"centralCooling","wint","dormitories",0.00,10000.00
"centralCooling","wint","energyIsland",0.00,10000.00
"centralCooling","wint","factory",0.00,10000.00
"centralCooling","wint","factory_assembly",0.00,10000.00
"centralCooling","wint","factory_blades",0.00,10000.00
"centralCooling","wint","hospital",0.00,10000.00
"centralCooling","wint","multifunction",0.00,10000.00
"centralCooling","wint","northDistrict",0.00,10000.00
"centralCooling","wint","quality",0.00,10000.00
"centralCooling","wint","reserved",0.00,10000.00
"centralCooling","wint","residential",0.00,10000.00
"centralCooling","wint","school",0.00,10000.00
"centralCooling","wint","tech",0.00,10000.00
"centralCooling","sum","dormitories",0.94,10000.00
"centralCooling","sum","energyIsland",0.10,10000.00
"centralCooling","sum","factory",0.00,10000.00
"centralCooling","sum","factory_assembly",1.99,10000.00
"centralCooling","sum","factory_blades",0.40,10000.00
"centralCooling","sum","hospital",0.27,10000.00
"centralCooling","sum","multifunction",41.84,10000.00
"centralCooling","sum","northDistrict",0.00,10000.00
"centralCooling","sum","quality",0.29,10000.00
"centralCooling","sum","reserved",0.00,10000.00
"centralCooling","sum","residential",17.28,10000.00
"centralCooling","sum","school",0.73,10000.00
"centralCooling","sum","tech",0.40,10000.00
"centralCooling","shoulder","dormitories",0.00,10000.00
"centralCooling","shoulder","energyIsland",0.00,10000.00
"centralCooling","shoulder","factory",0.00,10000.00
"centralCooling","shoulder","factory_assembly",0.00,10000.00
"centralCooling","shoulder","factory_blades",0.00,10000.00
"centralCooling","shoulder","hospital",0.00,10000.00
"centralCooling","shoulder","multifunction",0.00,10000.00
"centralCooling","shoulder","northDistrict",0.00,10000.00
"centralCooling","shoulder","quality",0.00,10000.00
"centralCooling","shoulder","reserved",0.00,10000.00
"centralCooling","shoulder","residential",0.00,10000.00
"centralCooling","shoulder","school",0.00,10000.00
"centralCooling","shoulder","tech",0.00,10000.00
"centralHeating","wint","dormitories",0.00,10000.00
"centralHeating","wint","energyIsland",0.00,10000.00
"centralHeating","wint","factory",0.00,10000.00
"centralHeating","wint","factory_assembly",0.00,10000.00
"centralHeating","wint","factory_blades",0.00,10000.00
"centralHeating","wint","hospital",0.00,10000.00
"centralHeating","wint","multifunction",0.00,10000.00
"centralHeating","wint","northDistrict",0.00,10000.00
"centralHeating","wint","quality",0.00,10000.00
"centralHeating","wint","reserved",168.08,10000.00
"centralHeating","wint","residential",218.35,10000.00
"centralHeating","wint","school",0.00,10000.00
"centralHeating","wint","tech",0.00,10000.00
"centralHeating","sum","dormitories",0.00,10000.00
"centralHeating","sum","energyIsland",0.00,10000.00
"centralHeating","sum","factory",0.00,10000.00
"centralHeating","sum","factory_assembly",0.00,10000.00
"centralHeating","sum","factory_blades",0.00,10000.00
"centralHeating","sum","hospital",0.00,10000.00
"centralHeating","sum","multifunction",0.00,10000.00
"centralHeating","sum","northDistrict",0.00,10000.00
"centralHeating","sum","quality",0.00,10000.00
"centralHeating","sum","reserved",0.00,10000.00
"centralHeating","sum","residential",0.00,10000.00
"centralHeating","sum","school",0.00,10000.00
"centralHeating","sum","tech",0.00,10000.00
"centralHeating","shoulder","dormitories",0.00,10000.00
"centralHeating","shoulder","energyIsland",0.00,10000.00
"centralHeating","shoulder","factory",0.00,10000.00
"centralHeating","shoulder","factory_assembly",0.00,10000.00
"centralHeating","shoulder","factory_blades",0.00,10000.00
"centralHeating","shoulder","hospital",0.00,10000.00
"centralHeating","shoulder","multifunction",0.00,10000.00
"centralHeating","shoulder","northDistrict",0.00,10000.00
"centralHeating","shoulder","quality",0.00,10000.00
"centralHeating","shoulder","reserved",0.00,10000.00
"centralHeating","shoulder","residential",0.00,10000.00
"centralHeating","shoulder","school",0.00,10000.00
"centralHeating","shoulder","tech",0.00,10000.00
"CHP","wint","dormitories",0.00,100.00
"CHP","wint","energyIsland",0.05,100.00
"CHP","wint","factory",6.28,100.00
"CHP","wint","factory_assembly",5.86,100.00
"CHP","wint","factory_blades",0.00,100.00
"CHP","wint","hospital",600.00,100.00
"CHP","wint","multifunction",0.00,100.00
"CHP","wint","northDistrict",0.00,100.00
"CHP","wint","quality",0.00,100.00
"CHP","wint","reserved",600.00,100.00
"CHP","wint","residential",0.00,100.00
"CHP","wint","school",0.00,100.00
"CHP","wint","tech",0.00,100.00
"CHP","sum","dormitories",0.00,100.00
"CHP","sum","energyIsland",0.00,100.00
"CHP","sum","factory",0.00,100.00
"CHP","sum","factory_assembly",325.38,100.00
"CHP","sum","factory_blades",0.42,100.00
"CHP","sum","hospital",0.00,100.00
"CHP","sum","multifunction",0.00,100.00
"CHP","sum","northDistrict",0.00,100.00
"CHP","sum","quality",0.00,100.00
"CHP","sum","reserved",0.00,100.00
"CHP","sum","residential",0.00,100.00
"CHP","sum","school",0.76,100.00
"CHP","sum","tech",4.67,100.00
"CHP","shoulder","dormitories",0.00,100.00
"CHP","shoulder","energyIsland",600.00,100.00
"CHP","shoulder","factory",0.00,100.00
"CHP","shoulder","factory_assembly",2.93,100.00
"CHP","shoulder","factory_blades",0.00,100.00
"CHP","shoulder","hospital",0.00,100.00
"CHP","shoulder","multifunction",0.00,100.00
"CHP","shoulder","northDistrict",0.00,100.00
"CHP","shoulder","quality",600.00,100.00
"CHP","shoulder","reserved",0.00,100.00
"CHP","shoulder","residential",0.00,100.00
"CHP","shoulder","school",0.00,100.00
"CHP","shoulder","tech",0.00,100.00
"heatEx_cold","wint","dormitories",0.00,100000.00
"heatEx_cold","wint","energyIsland",0.00,100000.00
"heatEx_cold","wint","factory",0.00,100000.00
"heatEx_cold","wint","factory_assembly",0.00,100000.00
"heatEx_cold","wint","factory_blades",0.00,100000.00
"heatEx_cold","wint","hospital",0.00,100000.00
"heatEx_cold","wint","multifunction",0.00,100000.00
"heatEx_cold","wint","northDistrict",0.00,100000.00
"heatEx_cold","wint","quality",0.00,100000.00
"heatEx_cold","wint","reserved",0.00,100000.00
"heatEx_cold","wint","residential",0.00,100000.00
"heatEx_cold","wint","school",0.00,100000.00
"heatEx_cold","wint","tech",0.00,100000.00
"heatEx_cold","sum","dormitories",0.00,100000.00
"heatEx_cold","sum","energyIsland",2.39,100000.00
"heatEx_cold","sum","factory",0.00,100000.00
"heatEx_cold","sum","factory_assembly",47.44,100000.00
"heatEx_cold","sum","factory_blades",9.56,100000.00
"heatEx_cold","sum","hospital",672.30,100000.00
"heatEx_cold","sum","multifunction",0.00,100000.00
"heatEx_cold","sum","northDistrict",672.30,100000.00
"heatEx_cold","sum","quality",6.88,100000.00
"heatEx_cold","sum","reserved",0.00,100000.00
"heatEx_cold","sum","residential",0.00,100000.00
"heatEx_cold","sum","school",17.45,100000.00
"heatEx_cold","sum","tech",106.92,100000.00
"heatEx_cold","shoulder","dormitories",0.00,100000.00
"heatEx_cold","shoulder","energyIsland",0.00,100000.00
"heatEx_cold","shoulder","factory",0.00,100000.00
"heatEx_cold","shoulder","factory_assembly",0.00,100000.00
"heatEx_cold","shoulder","factory_blades",0.00,100000.00
"heatEx_cold","shoulder","hospital",0.00,100000.00
"heatEx_cold","shoulder","multifunction",0.00,100000.00
"heatEx_cold","shoulder","northDistrict",0.00,100000.00
"heatEx_cold","shoulder","quality",0.00,100000.00
"heatEx_cold","shoulder","reserved",0.00,100000.00
"heatEx_cold","shoulder","residential",0.00,100000.00
"heatEx_cold","shoulder","school",0.00,100000.00
"heatEx_cold","shoulder","tech",0.00,100000.00
"heatEx_hot","wint","dormitories",0.00,100000.00
"heatEx_hot","wint","energyIsland",0.00,100000.00
"heatEx_hot","wint","factory",0.00,100000.00
"heatEx_hot","wint","factory_assembly",0.00,100000.00
"heatEx_hot","wint","factory_blades",0.00,100000.00
"heatEx_hot","wint","hospital",201.10,100000.00
"heatEx_hot","wint","multifunction",0.00,100000.00
"heatEx_hot","wint","northDistrict",0.00,100000.00
"heatEx_hot","wint","quality",0.00,100000.00
"heatEx_hot","wint","reserved",672.30,100000.00
"heatEx_hot","wint","residential",672.30,100000.00
"heatEx_hot","wint","school",0.00,100000.00
"heatEx_hot","wint","tech",0.00,100000.00
"heatEx_hot","sum","dormitories",0.00,100000.00
"heatEx_hot","sum","energyIsland",0.00,100000.00
"heatEx_hot","sum","factory",0.00,100000.00
"heatEx_hot","sum","factory_assembly",0.00,100000.00
"heatEx_hot","sum","factory_blades",0.00,100000.00
"heatEx_hot","sum","hospital",0.00,100000.00
"heatEx_hot","sum","multifunction",0.00,100000.00
"heatEx_hot","sum","northDistrict",0.00,100000.00
"heatEx_hot","sum","quality",0.00,100000.00
"heatEx_hot","sum","reserved",0.00,100000.00
"heatEx_hot","sum","residential",0.00,100000.00
"heatEx_hot","sum","school",0.00,100000.00
"heatEx_hot","sum","tech",0.00,100000.00
"heatEx_hot","shoulder","dormitories",0.00,100000.00
"heatEx_hot","shoulder","energyIsland",0.00,100000.00
"heatEx_hot","shoulder","factory",0.00,100000.00
"heatEx_hot","shoulder","factory_assembly",0.00,100000.00
"heatEx_hot","shoulder","factory_blades",0.00,100000.00
"heatEx_hot","shoulder","hospital",0.00,100000.00
"heatEx_hot","shoulder","multifunction",0.00,100000.00
"heatEx_hot","shoulder","northDistrict",0.00,100000.00
"heatEx_hot","shoulder","quality",0.00,100000.00
"heatEx_hot","shoulder","reserved",0.00,100000.00
"heatEx_hot","shoulder","residential",0.00,100000.00
"heatEx_hot","shoulder","school",0.00,100000.00
"heatEx_hot","shoulder","tech",0.00,100000.00
"heatPump_ground","wint","dormitories",0.00,100.00
"heatPump_ground","wint","energyIsland",0.00,100.00
"heatPump_ground","wint","factory",0.00,100.00
"heatPump_ground","wint","factory_assembly",0.00,100.00
"heatPump_ground","wint","factory_blades",0.00,100.00
"heatPump_ground","wint","hospital",0.00,100.00
"heatPump_ground","wint","multifunction",0.00,100.00
"heatPump_ground","wint","northDistrict",0.00,100.00
"heatPump_ground","wint","quality",0.00,100.00
"heatPump_ground","wint","reserved",0.00,100.00
"heatPump_ground","wint","residential",0.00,100.00
"heatPump_ground","wint","school",0.00,100.00
"heatPump_ground","wint","tech",0.00,100.00
"heatPump_ground","sum","dormitories",0.00,100.00
"heatPump_ground","sum","energyIsland",0.10,100.00
"heatPump_ground","sum","factory",0.00,100.00
"heatPump_ground","sum","factory_assembly",0.00,100.00
"heatPump_ground","sum","factory_blades",0.00,100.00
"heatPump_ground","sum","hospital",600.00,100.00
"heatPump_ground","sum","multifunction",0.00,100.00
"heatPump_ground","sum","northDistrict",0.00,100.00
"heatPump_ground","sum","quality",0.00,100.00
"heatPump_ground","sum","reserved",0.00,100.00
"heatPump_ground","sum","residential",0.00,100.00
"heatPump_ground","sum","school",0.00,100.00
"heatPump_ground","sum","tech",0.00,100.00
"heatPump_ground","shoulder","dormitories",0.00,100.00
"heatPump_ground","shoulder","energyIsland",0.00,100.00
"heatPump_ground","shoulder","factory",3.00,100.00
"heatPump_ground","shoulder","factory_assembly",0.00,100.00
"heatPump_ground","shoulder","factory_blades",0.00,100.00
"heatPump_ground","shoulder","hospital",0.00,100.00
"heatPump_ground","shoulder","multifunction",0.00,100.00
"heatPump_ground","shoulder","northDistrict",0.00,100.00
"heatPump_ground","shoulder","quality",0.00,100.00
"heatPump_ground","shoulder","reserved",0.00,100.00
"heatPump_ground","shoulder","residential",0.00,100.00
"heatPump_ground","shoulder","school",0.00,100.00
"heatPump_ground","shoulder","tech",0.00,100.00
"heatPump_water","wint","dormitories",0.00,100.00
"heatPump_water","wint","energyIsland",0.00,100.00
"heatPump_water","wint","factory",0.00,100.00
"heatPump_water","wint","factory_assembly",0.00,100.00
"heatPump_water","wint","factory_blades",0.00,100.00
"heatPump_water","wint","hospital",0.00,100.00
"heatPump_water","wint","multifunction",0.00,100.00
"heatPump_water","wint","northDistrict",0.00,100.00
"heatPump_water","wint","quality",0.00,100.00
"heatPump_water","wint","reserved",0.00,100.00
"heatPump_water","wint","residential",0.00,100.00
"heatPump_water","wint","school",0.00,100.00
"heatPump_water","wint","tech",0.00,100.00
"heatPump_water","sum","dormitories",0.00,100.00
"heatPump_water","sum","energyIsland",0.00,100.00
"heatPump_water","sum","factory",0.00,100.00
"heatPump_water","sum","factory_assembly",0.00,100.00
"heatPump_water","sum","factory_blades",0.00,100.00
"heatPump_water","sum","hospital",428.10,100.00
"heatPump_water","sum","multifunction",0.00,100.00
"heatPump_water","sum","northDistrict",0.00,100.00
"heatPump_water","sum","quality",0.29,100.00
"heatPump_water","sum","reserved",0.00,100.00
"heatPump_water","sum","residential",0.00,100.00
"heatPump_water","sum","school",0.00,100.00
"heatPump_water","sum","tech",0.00,100.00
"heatPump_water","shoulder","dormitories",0.00,100.00
"heatPump_water","shoulder","energyIsland",0.00,100.00
"heatPump_water","shoulder","factory",0.00,100.00
"heatPump_water","shoulder","factory_assembly",0.00,100.00
"heatPump_water","shoulder","factory_blades",0.00,100.00
"heatPump_water","shoulder","hospital",0.00,100.00
"heatPump_water","shoulder","multifunction",0.00,100.00
"heatPump_water","shoulder","northDistrict",0.00,100.00
"heatPump_water","shoulder","quality",0.00,100.00
"heatPump_water","shoulder","reserved",1.20,100.00
"heatPump_water","shoulder","residential",0.00,100.00
"heatPump_water","shoulder","school",0.00,100.00
"heatPump_water","shoulder","tech",0.00,100.00
"LiBr_chill","wint","dormitories",0.00,100.00
"LiBr_chill","wint","energyIsland",0.00,100.00
"LiBr_chill","wint","factory",0.00,100.00
"LiBr_chill","wint","factory_assembly",0.00,100.00
"LiBr_chill","wint","factory_blades",0.00,100.00
"LiBr_chill","wint","hospital",0.00,100.00
"LiBr_chill","wint","multifunction",0.00,100.00
"LiBr_chill","wint","northDistrict",0.00,100.00
"LiBr_chill","wint","quality",0.00,100.00
"LiBr_chill","wint","reserved",0.00,100.00
"LiBr_chill","wint","residential",0.00,100.00
"LiBr_chill","wint","school",0.00,100.00
"LiBr_chill","wint","tech",0.00,100.00
"LiBr_chill","sum","dormitories",0.00,100.00
"LiBr_chill","sum","energyIsland",2.39,100.00
"LiBr_chill","sum","factory",0.00,100.00
"LiBr_chill","sum","factory_assembly",47.44,100.00
"LiBr_chill","sum","factory_blades",9.56,100.00
"LiBr_chill","sum","hospital",672.30,100.00
"LiBr_chill","sum","multifunction",0.00,100.00
"LiBr_chill","sum","northDistrict",672.30,100.00
"LiBr_chill","sum","quality",6.88,100.00
"LiBr_chill","sum","reserved",0.00,100.00
"LiBr_chill","sum","residential",0.00,100.00
"LiBr_chill","sum","school",17.45,100.00
