"resource","season","zone","imports","exports"
"CO2","wint","energyIsland",0,0.01
"CO2","shoulder","energyIsland",0,80.4
"CO2","wint","factory",0,0.84
"CO2","wint","factory_assembly",0,0.78
"CO2","sum","factory_assembly",0,43.6
"CO2","shoulder","factory_assembly",0,0.39
"CO2","sum","factory_blades",0,0.06
"CO2","wint","hospital",0,143.8
"CO2","shoulder","hospital",0,0.88
"CO2","sum","northDistrict",0,136.74
"CO2","shoulder","quality",0,80.4
"CO2","wint","reserved",0,137.43
"CO2","sum","reserved",0,101.85
"CO2","sum","school",0,0.1
"CO2","sum","tech",0,0.63
"cool","sum","multifunction",0,41.54
"elec","wint","dormitories",0,1000
"elec","shoulder","dormitories",0,1000
"elec","wint","energyIsland",0,237.02
"elec","shoulder","energyIsland",0,182.24
"elec","wint","tech",100,0
"elec","sum","tech",100,0
"elec","shoulder","tech",100,0
"gasNatural","wint","dormitories",100,0
"gasNatural","sum","dormitories",100,0
"gasNatural","shoulder","dormitories",100,0
"gasNatural","shoulder","school",0,42.69
"heat","shoulder","energyIsland",0,573.58
"heat","sum","factory_assembly",0,309.08
"heat","wint","hospital",0,1000
"heat","sum","hospital",0,1000
"heat","sum","northDistrict",0,1000
"heat","shoulder","quality",0,573.6
"heat","wint","reserved",0,1000
"heat","sum","reserved",0,765.83
"heat","wint","residential",0,37.06
"wastewater","shoulder","energyIsland",0,6.03
"wastewater","wint","factory",0,2.32
"wastewater","shoulder","factory_assembly",0,2.32
"wastewater","sum","hospital",0,2.32
"wastewater","sum","multifunction",0,10.67
"wastewater","wint","northDistrict",0,5.17
"wastewater","shoulder","northDistrict",0,2.32
"wastewater","shoulder","reserved",0,2.32
"wastewater","wint","residential",0,5.5
"water_pure","wint","dormitories",0,1.9
"water_pure","sum","dormitories",0,4.02
"water_pure","shoulder","northDistrict",0,4.02
"water_pure","wint","school",0,2.12
"water","wint","dormitories",30.16,0
"water","sum","dormitories",30.17,0
"water","shoulder","dormitories",30.16,0
