"process","season","zone","rate","number"
"airCon_central","wint","dormitories",0.00,0.00
"airCon_central","wint","energyIsland",0.00,4.00
"airCon_central","wint","factory",0.00,0.00
"airCon_central","wint","factory_assembly",0.00,80.00
"airCon_central","wint","factory_blades",0.00,0.00
"airCon_central","wint","hospital",0.00,10.00
"airCon_central","wint","multifunction",0.00,0.00
"airCon_central","wint","northDistrict",0.00,0.00
"airCon_central","wint","quality",0.00,0.00
"airCon_central","wint","reserved",0.00,0.00
"airCon_central","wint","residential",0.00,691.00
"airCon_central","wint","school",0.00,0.00
"airCon_central","wint","tech",0.00,0.00
"airCon_central","sum","dormitories",0.00,0.00
"airCon_central","sum","energyIsland",0.10,4.00
"airCon_central","sum","factory",0.00,0.00
"airCon_central","sum","factory_assembly",1.99,80.00
"airCon_central","sum","factory_blades",0.00,0.00
"airCon_central","sum","hospital",0.25,10.00
"airCon_central","sum","multifunction",0.00,0.00
"airCon_central","sum","northDistrict",0.00,0.00
"airCon_central","sum","quality",0.00,0.00
"airCon_central","sum","reserved",0.00,0.00
"airCon_central","sum","residential",17.27,691.00
"airCon_central","sum","school",0.00,0.00
"airCon_central","sum","tech",0.00,0.00
"airCon_central","shoulder","dormitories",0.00,0.00
"airCon_central","shoulder","energyIsland",0.00,4.00
"airCon_central","shoulder","factory",0.00,0.00
"airCon_central","shoulder","factory_assembly",0.00,80.00
"airCon_central","shoulder","factory_blades",0.00,0.00
"airCon_central","shoulder","hospital",0.00,10.00
"airCon_central","shoulder","multifunction",0.00,0.00
"airCon_central","shoulder","northDistrict",0.00,0.00
"airCon_central","shoulder","quality",0.00,0.00
"airCon_central","shoulder","reserved",0.00,0.00
"airCon_central","shoulder","residential",0.00,691.00
"airCon_central","shoulder","school",0.00,0.00
"airCon_central","shoulder","tech",0.00,0.00
"airCon_split","wint","dormitories",0.00,38.00
"airCon_split","wint","energyIsland",0.00,0.00
"airCon_split","wint","factory",0.00,0.00
"airCon_split","wint","factory_assembly",0.00,0.00
"airCon_split","wint","factory_blades",0.00,16.00
"airCon_split","wint","hospital",0.00,1.00
"airCon_split","wint","multifunction",0.00,13.00
"airCon_split","wint","northDistrict",0.00,0.00
"airCon_split","wint","quality",0.00,12.00
"airCon_split","wint","reserved",0.00,0.00
"airCon_split","wint","residential",0.00,1.00
"airCon_split","wint","school",0.00,30.00
"airCon_split","wint","tech",0.00,16.00
"airCon_split","sum","dormitories",0.94,38.00
"airCon_split","sum","energyIsland",0.00,0.00
"airCon_split","sum","factory",0.00,0.00
"airCon_split","sum","factory_assembly",0.00,0.00
"airCon_split","sum","factory_blades",0.40,16.00
"airCon_split","sum","hospital",0.02,1.00
"airCon_split","sum","multifunction",0.30,13.00
"airCon_split","sum","northDistrict",0.00,0.00
"airCon_split","sum","quality",0.29,12.00
"airCon_split","sum","reserved",0.00,0.00
"airCon_split","sum","residential",0.01,1.00
"airCon_split","sum","school",0.73,30.00
"airCon_split","sum","tech",0.40,16.00
"airCon_split","shoulder","dormitories",0.00,38.00
"airCon_split","shoulder","energyIsland",0.00,0.00
"airCon_split","shoulder","factory",0.00,0.00
"airCon_split","shoulder","factory_assembly",0.00,0.00
"airCon_split","shoulder","factory_blades",0.00,16.00
"airCon_split","shoulder","hospital",0.00,1.00
"airCon_split","shoulder","multifunction",0.00,13.00
"airCon_split","shoulder","northDistrict",0.00,0.00
"airCon_split","shoulder","quality",0.00,12.00
"airCon_split","shoulder","reserved",0.00,0.00
"airCon_split","shoulder","residential",0.00,1.00
"airCon_split","shoulder","school",0.00,30.00
"airCon_split","shoulder","tech",0.00,16.00
"boiler_domestic","wint","dormitories",0.00,0.00
"boiler_domestic","wint","energyIsland",0.05,2.00
"boiler_domestic","wint","factory",6.00,240.00
"boiler_domestic","wint","factory_assembly",5.60,224.00
"boiler_domestic","wint","factory_blades",0.00,0.00
"boiler_domestic","wint","hospital",0.00,265.00
"boiler_domestic","wint","multifunction",0.00,0.00
"boiler_domestic","wint","northDistrict",0.00,0.00
"boiler_domestic","wint","quality",0.00,0.00
"boiler_domestic","wint","reserved",2.40,96.00
"boiler_domestic","wint","residential",13.22,529.00
"boiler_domestic","wint","school",0.00,0.00
"boiler_domestic","wint","tech",0.00,0.00
"boiler_domestic","sum","dormitories",0.00,0.00
"boiler_domestic","sum","energyIsland",0.00,2.00
"boiler_domestic","sum","factory",0.00,240.00
"boiler_domestic","sum","factory_assembly",0.00,224.00
"boiler_domestic","sum","factory_blades",0.00,0.00
"boiler_domestic","sum","hospital",0.00,265.00
"boiler_domestic","sum","multifunction",0.00,0.00
"boiler_domestic","sum","northDistrict",0.00,0.00
"boiler_domestic","sum","quality",0.00,0.00
"boiler_domestic","sum","reserved",0.00,96.00
"boiler_domestic","sum","residential",0.00,529.00
"boiler_domestic","sum","school",0.00,0.00
"boiler_domestic","sum","tech",0.00,0.00
"boiler_domestic","shoulder","dormitories",0.00,0.00
"boiler_domestic","shoulder","energyIsland",0.03,2.00
"boiler_domestic","shoulder","factory",3.00,240.00
"boiler_domestic","shoulder","factory_assembly",2.80,224.00
"boiler_domestic","shoulder","factory_blades",0.00,0.00
"boiler_domestic","shoulder","hospital",6.61,265.00
"boiler_domestic","shoulder","multifunction",0.00,0.00
"boiler_domestic","shoulder","northDistrict",0.00,0.00
"boiler_domestic","shoulder","quality",0.00,0.00
"boiler_domestic","shoulder","reserved",1.20,96.00
"boiler_domestic","shoulder","residential",0.00,529.00
"boiler_domestic","shoulder","school",0.00,0.00
"boiler_domestic","shoulder","tech",0.00,0.00
