"process","resource","season","zone","value"
"airCon_central","algae","wint","dormitories",0.00
"airCon_central","algae","sum","dormitories",0.00
"airCon_central","algae","shoulder","dormitories",0.00
"airCon_central","algae","wint","energyIsland",0.00
"airCon_central","algae","sum","energyIsland",0.00
"airCon_central","algae","shoulder","energyIsland",0.00
"airCon_central","algae","wint","factory",0.00
"airCon_central","algae","sum","factory",0.00
"airCon_central","algae","shoulder","factory",0.00
"airCon_central","algae","wint","factory_assembly",0.00
"airCon_central","algae","sum","factory_assembly",0.00
"airCon_central","algae","shoulder","factory_assembly",0.00
"airCon_central","algae","wint","factory_blades",0.00
"airCon_central","algae","sum","factory_blades",0.00
"airCon_central","algae","shoulder","factory_blades",0.00
"airCon_central","algae","wint","hospital",0.00
"airCon_central","algae","sum","hospital",0.00
"airCon_central","algae","shoulder","hospital",0.00
"airCon_central","algae","wint","multifunction",0.00
"airCon_central","algae","sum","multifunction",0.00
"airCon_central","algae","shoulder","multifunction",0.00
"airCon_central","algae","wint","northDistrict",0.00
"airCon_central","algae","sum","northDistrict",0.00
"airCon_central","algae","shoulder","northDistrict",0.00
"airCon_central","algae","wint","quality",0.00
"airCon_central","algae","sum","quality",0.00
"airCon_central","algae","shoulder","quality",0.00
"airCon_central","algae","wint","reserved",0.00
"airCon_central","algae","sum","reserved",0.00
"airCon_central","algae","shoulder","reserved",0.00
"airCon_central","algae","wint","residential",0.00
"airCon_central","algae","sum","residential",0.00
"airCon_central","algae","shoulder","residential",0.00
"airCon_central","algae","wint","school",0.00
"airCon_central","algae","sum","school",0.00
"airCon_central","algae","shoulder","school",0.00
"airCon_central","algae","wint","tech",0.00
"airCon_central","algae","sum","tech",0.00
"airCon_central","algae","shoulder","tech",0.00
"airCon_central","algaeDry","wint","dormitories",0.00
"airCon_central","algaeDry","sum","dormitories",0.00
"airCon_central","algaeDry","shoulder","dormitories",0.00
"airCon_central","algaeDry","wint","energyIsland",0.00
"airCon_central","algaeDry","sum","energyIsland",0.00
"airCon_central","algaeDry","shoulder","energyIsland",0.00
"airCon_central","algaeDry","wint","factory",0.00
"airCon_central","algaeDry","sum","factory",0.00
"airCon_central","algaeDry","shoulder","factory",0.00
"airCon_central","algaeDry","wint","factory_assembly",0.00
"airCon_central","algaeDry","sum","factory_assembly",0.00
"airCon_central","algaeDry","shoulder","factory_assembly",0.00
"airCon_central","algaeDry","wint","factory_blades",0.00
"airCon_central","algaeDry","sum","factory_blades",0.00
"airCon_central","algaeDry","shoulder","factory_blades",0.00
"airCon_central","algaeDry","wint","hospital",0.00
"airCon_central","algaeDry","sum","hospital",0.00
"airCon_central","algaeDry","shoulder","hospital",0.00
"airCon_central","algaeDry","wint","multifunction",0.00
"airCon_central","algaeDry","sum","multifunction",0.00
"airCon_central","algaeDry","shoulder","multifunction",0.00
"airCon_central","algaeDry","wint","northDistrict",0.00
"airCon_central","algaeDry","sum","northDistrict",0.00
"airCon_central","algaeDry","shoulder","northDistrict",0.00
"airCon_central","algaeDry","wint","quality",0.00
"airCon_central","algaeDry","sum","quality",0.00
"airCon_central","algaeDry","shoulder","quality",0.00
"airCon_central","algaeDry","wint","reserved",0.00
"airCon_central","algaeDry","sum","reserved",0.00
"airCon_central","algaeDry","shoulder","reserved",0.00
"airCon_central","algaeDry","wint","residential",0.00
"airCon_central","algaeDry","sum","residential",0.00
"airCon_central","algaeDry","shoulder","residential",0.00
"airCon_central","algaeDry","wint","school",0.00
"airCon_central","algaeDry","sum","school",0.00
"airCon_central","algaeDry","shoulder","school",0.00
"airCon_central","algaeDry","wint","tech",0.00
"airCon_central","algaeDry","sum","tech",0.00
"airCon_central","algaeDry","shoulder","tech",0.00
"airCon_central","ash","wint","dormitories",0.00
"airCon_central","ash","sum","dormitories",0.00
"airCon_central","ash","shoulder","dormitories",0.00
"airCon_central","ash","wint","energyIsland",0.00
"airCon_central","ash","sum","energyIsland",0.00
"airCon_central","ash","shoulder","energyIsland",0.00
"airCon_central","ash","wint","factory",0.00
"airCon_central","ash","sum","factory",0.00
"airCon_central","ash","shoulder","factory",0.00
"airCon_central","ash","wint","factory_assembly",0.00
"airCon_central","ash","sum","factory_assembly",0.00
"airCon_central","ash","shoulder","factory_assembly",0.00
"airCon_central","ash","wint","factory_blades",0.00
"airCon_central","ash","sum","factory_blades",0.00
"airCon_central","ash","shoulder","factory_blades",0.00
"airCon_central","ash","wint","hospital",0.00
"airCon_central","ash","sum","hospital",0.00
"airCon_central","ash","shoulder","hospital",0.00
"airCon_central","ash","wint","multifunction",0.00
"airCon_central","ash","sum","multifunction",0.00
"airCon_central","ash","shoulder","multifunction",0.00
"airCon_central","ash","wint","northDistrict",0.00
"airCon_central","ash","sum","northDistrict",0.00
"airCon_central","ash","shoulder","northDistrict",0.00
"airCon_central","ash","wint","quality",0.00
"airCon_central","ash","sum","quality",0.00
"airCon_central","ash","shoulder","quality",0.00
"airCon_central","ash","wint","reserved",0.00
"airCon_central","ash","sum","reserved",0.00
"airCon_central","ash","shoulder","reserved",0.00
"airCon_central","ash","wint","residential",0.00
"airCon_central","ash","sum","residential",0.00
"airCon_central","ash","shoulder","residential",0.00
"airCon_central","ash","wint","school",0.00
"airCon_central","ash","sum","school",0.00
"airCon_central","ash","shoulder","school",0.00
"airCon_central","ash","wint","tech",0.00
"airCon_central","ash","sum","tech",0.00
"airCon_central","ash","shoulder","tech",0.00
"airCon_central","biodiesel","wint","dormitories",0.00
"airCon_central","biodiesel","sum","dormitories",0.00
"airCon_central","biodiesel","shoulder","dormitories",0.00
"airCon_central","biodiesel","wint","energyIsland",0.00
"airCon_central","biodiesel","sum","energyIsland",0.00
"airCon_central","biodiesel","shoulder","energyIsland",0.00
"airCon_central","biodiesel","wint","factory",0.00
"airCon_central","biodiesel","sum","factory",0.00
"airCon_central","biodiesel","shoulder","factory",0.00
"airCon_central","biodiesel","wint","factory_assembly",0.00
"airCon_central","biodiesel","sum","factory_assembly",0.00
"airCon_central","biodiesel","shoulder","factory_assembly",0.00
"airCon_central","biodiesel","wint","factory_blades",0.00
"airCon_central","biodiesel","sum","factory_blades",0.00
"airCon_central","biodiesel","shoulder","factory_blades",0.00
"airCon_central","biodiesel","wint","hospital",0.00
"airCon_central","biodiesel","sum","hospital",0.00
"airCon_central","biodiesel","shoulder","hospital",0.00
"airCon_central","biodiesel","wint","multifunction",0.00
"airCon_central","biodiesel","sum","multifunction",0.00
"airCon_central","biodiesel","shoulder","multifunction",0.00
"airCon_central","biodiesel","wint","northDistrict",0.00
"airCon_central","biodiesel","sum","northDistrict",0.00
"airCon_central","biodiesel","shoulder","northDistrict",0.00
"airCon_central","biodiesel","wint","quality",0.00
"airCon_central","biodiesel","sum","quality",0.00
"airCon_central","biodiesel","shoulder","quality",0.00
"airCon_central","biodiesel","wint","reserved",0.00
"airCon_central","biodiesel","sum","reserved",0.00
"airCon_central","biodiesel","shoulder","reserved",0.00
"airCon_central","biodiesel","wint","residential",0.00
"airCon_central","biodiesel","sum","residential",0.00
"airCon_central","biodiesel","shoulder","residential",0.00
"airCon_central","biodiesel","wint","school",0.00
"airCon_central","biodiesel","sum","school",0.00
"airCon_central","biodiesel","shoulder","school",0.00
"airCon_central","biodiesel","wint","tech",0.00
"airCon_central","biodiesel","sum","tech",0.00
"airCon_central","biodiesel","shoulder","tech",0.00
"airCon_central","biogas","wint","dormitories",0.00
"airCon_central","biogas","sum","dormitories",0.00
"airCon_central","biogas","shoulder","dormitories",0.00
"airCon_central","biogas","wint","energyIsland",0.00
"airCon_central","biogas","sum","energyIsland",0.00
"airCon_central","biogas","shoulder","energyIsland",0.00
"airCon_central","biogas","wint","factory",0.00
"airCon_central","biogas","sum","factory",0.00
"airCon_central","biogas","shoulder","factory",0.00
"airCon_central","biogas","wint","factory_assembly",0.00
"airCon_central","biogas","sum","factory_assembly",0.00
"airCon_central","biogas","shoulder","factory_assembly",0.00
"airCon_central","biogas","wint","factory_blades",0.00
"airCon_central","biogas","sum","factory_blades",0.00
"airCon_central","biogas","shoulder","factory_blades",0.00
"airCon_central","biogas","wint","hospital",0.00
"airCon_central","biogas","sum","hospital",0.00
"airCon_central","biogas","shoulder","hospital",0.00
"airCon_central","biogas","wint","multifunction",0.00
"airCon_central","biogas","sum","multifunction",0.00
"airCon_central","biogas","shoulder","multifunction",0.00
"airCon_central","biogas","wint","northDistrict",0.00
"airCon_central","biogas","sum","northDistrict",0.00
"airCon_central","biogas","shoulder","northDistrict",0.00
"airCon_central","biogas","wint","quality",0.00
"airCon_central","biogas","sum","quality",0.00
"airCon_central","biogas","shoulder","quality",0.00
"airCon_central","biogas","wint","reserved",0.00
"airCon_central","biogas","sum","reserved",0.00
"airCon_central","biogas","shoulder","reserved",0.00
"airCon_central","biogas","wint","residential",0.00
"airCon_central","biogas","sum","residential",0.00
"airCon_central","biogas","shoulder","residential",0.00
"airCon_central","biogas","wint","school",0.00
"airCon_central","biogas","sum","school",0.00
"airCon_central","biogas","shoulder","school",0.00
"airCon_central","biogas","wint","tech",0.00
"airCon_central","biogas","sum","tech",0.00
"airCon_central","biogas","shoulder","tech",0.00
"airCon_central","biomass","wint","dormitories",0.00
"airCon_central","biomass","sum","dormitories",0.00
"airCon_central","biomass","shoulder","dormitories",0.00
"airCon_central","biomass","wint","energyIsland",0.00
"airCon_central","biomass","sum","energyIsland",0.00
"airCon_central","biomass","shoulder","energyIsland",0.00
"airCon_central","biomass","wint","factory",0.00
"airCon_central","biomass","sum","factory",0.00
"airCon_central","biomass","shoulder","factory",0.00
"airCon_central","biomass","wint","factory_assembly",0.00
"airCon_central","biomass","sum","factory_assembly",0.00
"airCon_central","biomass","shoulder","factory_assembly",0.00
"airCon_central","biomass","wint","factory_blades",0.00
"airCon_central","biomass","sum","factory_blades",0.00
"airCon_central","biomass","shoulder","factory_blades",0.00
"airCon_central","biomass","wint","hospital",0.00
"airCon_central","biomass","sum","hospital",0.00
"airCon_central","biomass","shoulder","hospital",0.00
"airCon_central","biomass","wint","multifunction",0.00
"airCon_central","biomass","sum","multifunction",0.00
"airCon_central","biomass","shoulder","multifunction",0.00
"airCon_central","biomass","wint","northDistrict",0.00
"airCon_central","biomass","sum","northDistrict",0.00
"airCon_central","biomass","shoulder","northDistrict",0.00
"airCon_central","biomass","wint","quality",0.00
"airCon_central","biomass","sum","quality",0.00
"airCon_central","biomass","shoulder","quality",0.00
"airCon_central","biomass","wint","reserved",0.00
"airCon_central","biomass","sum","reserved",0.00
"airCon_central","biomass","shoulder","reserved",0.00
"airCon_central","biomass","wint","residential",0.00
"airCon_central","biomass","sum","residential",0.00
"airCon_central","biomass","shoulder","residential",0.00
"airCon_central","biomass","wint","school",0.00
"airCon_central","biomass","sum","school",0.00
"airCon_central","biomass","shoulder","school",0.00
"airCon_central","biomass","wint","tech",0.00
"airCon_central","biomass","sum","tech",0.00
"airCon_central","biomass","shoulder","tech",0.00
"airCon_central","biomassAgriWaste","wint","dormitories",0.00
"airCon_central","biomassAgriWaste","sum","dormitories",0.00
"airCon_central","biomassAgriWaste","shoulder","dormitories",0.00
"airCon_central","biomassAgriWaste","wint","energyIsland",0.00
"airCon_central","biomassAgriWaste","sum","energyIsland",0.00
"airCon_central","biomassAgriWaste","shoulder","energyIsland",0.00
"airCon_central","biomassAgriWaste","wint","factory",0.00
"airCon_central","biomassAgriWaste","sum","factory",0.00
"airCon_central","biomassAgriWaste","shoulder","factory",0.00
"airCon_central","biomassAgriWaste","wint","factory_assembly",0.00
"airCon_central","biomassAgriWaste","sum","factory_assembly",0.00
"airCon_central","biomassAgriWaste","shoulder","factory_assembly",0.00
"airCon_central","biomassAgriWaste","wint","factory_blades",0.00
"airCon_central","biomassAgriWaste","sum","factory_blades",0.00
"airCon_central","biomassAgriWaste","shoulder","factory_blades",0.00
"airCon_central","biomassAgriWaste","wint","hospital",0.00
"airCon_central","biomassAgriWaste","sum","hospital",0.00
"airCon_central","biomassAgriWaste","shoulder","hospital",0.00
"airCon_central","biomassAgriWaste","wint","multifunction",0.00
"airCon_central","biomassAgriWaste","sum","multifunction",0.00
"airCon_central","biomassAgriWaste","shoulder","multifunction",0.00
"airCon_central","biomassAgriWaste","wint","northDistrict",0.00
"airCon_central","biomassAgriWaste","sum","northDistrict",0.00
"airCon_central","biomassAgriWaste","shoulder","northDistrict",0.00
"airCon_central","biomassAgriWaste","wint","quality",0.00
"airCon_central","biomassAgriWaste","sum","quality",0.00
"airCon_central","biomassAgriWaste","shoulder","quality",0.00
"airCon_central","biomassAgriWaste","wint","reserved",0.00
"airCon_central","biomassAgriWaste","sum","reserved",0.00
"airCon_central","biomassAgriWaste","shoulder","reserved",0.00
"airCon_central","biomassAgriWaste","wint","residential",0.00
"airCon_central","biomassAgriWaste","sum","residential",0.00
"airCon_central","biomassAgriWaste","shoulder","residential",0.00
"airCon_central","biomassAgriWaste","wint","school",0.00
"airCon_central","biomassAgriWaste","sum","school",0.00
"airCon_central","biomassAgriWaste","shoulder","school",0.00
"airCon_central","biomassAgriWaste","wint","tech",0.00
"airCon_central","biomassAgriWaste","sum","tech",0.00
"airCon_central","biomassAgriWaste","shoulder","tech",0.00
"airCon_central","biooil","wint","dormitories",0.00
"airCon_central","biooil","sum","dormitories",0.00
"airCon_central","biooil","shoulder","dormitories",0.00
"airCon_central","biooil","wint","energyIsland",0.00
"airCon_central","biooil","sum","energyIsland",0.00
"airCon_central","biooil","shoulder","energyIsland",0.00
"airCon_central","biooil","wint","factory",0.00
"airCon_central","biooil","sum","factory",0.00
"airCon_central","biooil","shoulder","factory",0.00
"airCon_central","biooil","wint","factory_assembly",0.00
"airCon_central","biooil","sum","factory_assembly",0.00
"airCon_central","biooil","shoulder","factory_assembly",0.00
"airCon_central","biooil","wint","factory_blades",0.00
"airCon_central","biooil","sum","factory_blades",0.00
"airCon_central","biooil","shoulder","factory_blades",0.00
"airCon_central","biooil","wint","hospital",0.00
"airCon_central","biooil","sum","hospital",0.00
"airCon_central","biooil","shoulder","hospital",0.00
"airCon_central","biooil","wint","multifunction",0.00
"airCon_central","biooil","sum","multifunction",0.00
"airCon_central","biooil","shoulder","multifunction",0.00
"airCon_central","biooil","wint","northDistrict",0.00
"airCon_central","biooil","sum","northDistrict",0.00
"airCon_central","biooil","shoulder","northDistrict",0.00
"airCon_central","biooil","wint","quality",0.00
"airCon_central","biooil","sum","quality",0.00
"airCon_central","biooil","shoulder","quality",0.00
"airCon_central","biooil","wint","reserved",0.00
"airCon_central","biooil","sum","reserved",0.00
"airCon_central","biooil","shoulder","reserved",0.00
"airCon_central","biooil","wint","residential",0.00
"airCon_central","biooil","sum","residential",0.00
"airCon_central","biooil","shoulder","residential",0.00
"airCon_central","biooil","wint","school",0.00
"airCon_central","biooil","sum","school",0.00
"airCon_central","biooil","shoulder","school",0.00
"airCon_central","biooil","wint","tech",0.00
"airCon_central","biooil","sum","tech",0.00
"airCon_central","biooil","shoulder","tech",0.00
"airCon_central","butanol","wint","dormitories",0.00
"airCon_central","butanol","sum","dormitories",0.00
"airCon_central","butanol","shoulder","dormitories",0.00
"airCon_central","butanol","wint","energyIsland",0.00
"airCon_central","butanol","sum","energyIsland",0.00
"airCon_central","butanol","shoulder","energyIsland",0.00
"airCon_central","butanol","wint","factory",0.00
"airCon_central","butanol","sum","factory",0.00
"airCon_central","butanol","shoulder","factory",0.00
"airCon_central","butanol","wint","factory_assembly",0.00
"airCon_central","butanol","sum","factory_assembly",0.00
"airCon_central","butanol","shoulder","factory_assembly",0.00
"airCon_central","butanol","wint","factory_blades",0.00
"airCon_central","butanol","sum","factory_blades",0.00
"airCon_central","butanol","shoulder","factory_blades",0.00
"airCon_central","butanol","wint","hospital",0.00
"airCon_central","butanol","sum","hospital",0.00
"airCon_central","butanol","shoulder","hospital",0.00
"airCon_central","butanol","wint","multifunction",0.00
"airCon_central","butanol","sum","multifunction",0.00
"airCon_central","butanol","shoulder","multifunction",0.00
"airCon_central","butanol","wint","northDistrict",0.00
"airCon_central","butanol","sum","northDistrict",0.00
"airCon_central","butanol","shoulder","northDistrict",0.00
"airCon_central","butanol","wint","quality",0.00
"airCon_central","butanol","sum","quality",0.00
"airCon_central","butanol","shoulder","quality",0.00
"airCon_central","butanol","wint","reserved",0.00
"airCon_central","butanol","sum","reserved",0.00
"airCon_central","butanol","shoulder","reserved",0.00
"airCon_central","butanol","wint","residential",0.00
"airCon_central","butanol","sum","residential",0.00
"airCon_central","butanol","shoulder","residential",0.00
"airCon_central","butanol","wint","school",0.00
"airCon_central","butanol","sum","school",0.00
"airCon_central","butanol","shoulder","school",0.00
"airCon_central","butanol","wint","tech",0.00
"airCon_central","butanol","sum","tech",0.00
"airCon_central","butanol","shoulder","tech",0.00
"airCon_central","CNG","wint","dormitories",0.00
"airCon_central","CNG","sum","dormitories",0.00
"airCon_central","CNG","shoulder","dormitories",0.00
"airCon_central","CNG","wint","energyIsland",0.00
"airCon_central","CNG","sum","energyIsland",0.00
"airCon_central","CNG","shoulder","energyIsland",0.00
"airCon_central","CNG","wint","factory",0.00
"airCon_central","CNG","sum","factory",0.00
"airCon_central","CNG","shoulder","factory",0.00
"airCon_central","CNG","wint","factory_assembly",0.00
"airCon_central","CNG","sum","factory_assembly",0.00
"airCon_central","CNG","shoulder","factory_assembly",0.00
"airCon_central","CNG","wint","factory_blades",0.00
"airCon_central","CNG","sum","factory_blades",0.00
"airCon_central","CNG","shoulder","factory_blades",0.00
"airCon_central","CNG","wint","hospital",0.00
"airCon_central","CNG","sum","hospital",0.00
"airCon_central","CNG","shoulder","hospital",0.00
"airCon_central","CNG","wint","multifunction",0.00
"airCon_central","CNG","sum","multifunction",0.00
"airCon_central","CNG","shoulder","multifunction",0.00
"airCon_central","CNG","wint","northDistrict",0.00
"airCon_central","CNG","sum","northDistrict",0.00
"airCon_central","CNG","shoulder","northDistrict",0.00
"airCon_central","CNG","wint","quality",0.00
"airCon_central","CNG","sum","quality",0.00
"airCon_central","CNG","shoulder","quality",0.00
"airCon_central","CNG","wint","reserved",0.00
"airCon_central","CNG","sum","reserved",0.00
"airCon_central","CNG","shoulder","reserved",0.00
"airCon_central","CNG","wint","residential",0.00
"airCon_central","CNG","sum","residential",0.00
"airCon_central","CNG","shoulder","residential",0.00
"airCon_central","CNG","wint","school",0.00
"airCon_central","CNG","sum","school",0.00
"airCon_central","CNG","shoulder","school",0.00
"airCon_central","CNG","wint","tech",0.00
"airCon_central","CNG","sum","tech",0.00
"airCon_central","CNG","shoulder","tech",0.00
"airCon_central","CO2","wint","dormitories",0.00
"airCon_central","CO2","sum","dormitories",0.00
"airCon_central","CO2","shoulder","dormitories",0.00
"airCon_central","CO2","wint","energyIsland",0.00
"airCon_central","CO2","sum","energyIsland",0.00
"airCon_central","CO2","shoulder","energyIsland",0.00
"airCon_central","CO2","wint","factory",0.00
"airCon_central","CO2","sum","factory",0.00
"airCon_central","CO2","shoulder","factory",0.00
"airCon_central","CO2","wint","factory_assembly",0.00
"airCon_central","CO2","sum","factory_assembly",0.00
"airCon_central","CO2","shoulder","factory_assembly",0.00
"airCon_central","CO2","wint","factory_blades",0.00
"airCon_central","CO2","sum","factory_blades",0.00
"airCon_central","CO2","shoulder","factory_blades",0.00
"airCon_central","CO2","wint","hospital",0.00
"airCon_central","CO2","sum","hospital",0.00
"airCon_central","CO2","shoulder","hospital",0.00
"airCon_central","CO2","wint","multifunction",0.00
"airCon_central","CO2","sum","multifunction",0.00
"airCon_central","CO2","shoulder","multifunction",0.00
"airCon_central","CO2","wint","northDistrict",0.00
"airCon_central","CO2","sum","northDistrict",0.00
"airCon_central","CO2","shoulder","northDistrict",0.00
"airCon_central","CO2","wint","quality",0.00
"airCon_central","CO2","sum","quality",0.00
"airCon_central","CO2","shoulder","quality",0.00
"airCon_central","CO2","wint","reserved",0.00
"airCon_central","CO2","sum","reserved",0.00
"airCon_central","CO2","shoulder","reserved",0.00
"airCon_central","CO2","wint","residential",0.00
"airCon_central","CO2","sum","residential",0.00
"airCon_central","CO2","shoulder","residential",0.00
