"transp_tech","resource","season","zone","value"
"pipe_gas","algae","wint","dormitories",0.00
"pipe_gas","algae","sum","dormitories",0.00
"pipe_gas","algae","shoulder","dormitories",0.00
"pipe_gas","algae","wint","energyIsland",0.00
"pipe_gas","algae","sum","energyIsland",0.00
"pipe_gas","algae","shoulder","energyIsland",0.00
"pipe_gas","algae","wint","factory",0.00
"pipe_gas","algae","sum","factory",0.00
"pipe_gas","algae","shoulder","factory",0.00
"pipe_gas","algae","wint","factory_assembly",0.00
"pipe_gas","algae","sum","factory_assembly",0.00
"pipe_gas","algae","shoulder","factory_assembly",0.00
"pipe_gas","algae","wint","factory_blades",0.00
"pipe_gas","algae","sum","factory_blades",0.00
"pipe_gas","algae","shoulder","factory_blades",0.00
"pipe_gas","algae","wint","hospital",0.00
"pipe_gas","algae","sum","hospital",0.00
"pipe_gas","algae","shoulder","hospital",0.00
"pipe_gas","algae","wint","multifunction",0.00
"pipe_gas","algae","sum","multifunction",0.00
"pipe_gas","algae","shoulder","multifunction",0.00
"pipe_gas","algae","wint","northDistrict",0.00
"pipe_gas","algae","sum","northDistrict",0.00
"pipe_gas","algae","shoulder","northDistrict",0.00
"pipe_gas","algae","wint","quality",0.00
"pipe_gas","algae","sum","quality",0.00
"pipe_gas","algae","shoulder","quality",0.00
"pipe_gas","algae","wint","reserved",0.00
"pipe_gas","algae","sum","reserved",0.00
"pipe_gas","algae","shoulder","reserved",0.00
"pipe_gas","algae","wint","residential",0.00
"pipe_gas","algae","sum","residential",0.00
"pipe_gas","algae","shoulder","residential",0.00
"pipe_gas","algae","wint","school",0.00
"pipe_gas","algae","sum","school",0.00
"pipe_gas","algae","shoulder","school",0.00
"pipe_gas","algae","wint","tech",0.00
"pipe_gas","algae","sum","tech",0.00
"pipe_gas","algae","shoulder","tech",0.00
"pipe_gas","algaeDry","wint","dormitories",0.00
"pipe_gas","algaeDry","sum","dormitories",0.00
"pipe_gas","algaeDry","shoulder","dormitories",0.00
"pipe_gas","algaeDry","wint","energyIsland",0.00
"pipe_gas","algaeDry","sum","energyIsland",0.00
"pipe_gas","algaeDry","shoulder","energyIsland",0.00
"pipe_gas","algaeDry","wint","factory",0.00
"pipe_gas","algaeDry","sum","factory",0.00
"pipe_gas","algaeDry","shoulder","factory",0.00
"pipe_gas","algaeDry","wint","factory_assembly",0.00
"pipe_gas","algaeDry","sum","factory_assembly",0.00
"pipe_gas","algaeDry","shoulder","factory_assembly",0.00
"pipe_gas","algaeDry","wint","factory_blades",0.00
"pipe_gas","algaeDry","sum","factory_blades",0.00
"pipe_gas","algaeDry","shoulder","factory_blades",0.00
"pipe_gas","algaeDry","wint","hospital",0.00
"pipe_gas","algaeDry","sum","hospital",0.00
"pipe_gas","algaeDry","shoulder","hospital",0.00
"pipe_gas","algaeDry","wint","multifunction",0.00
"pipe_gas","algaeDry","sum","multifunction",0.00
"pipe_gas","algaeDry","shoulder","multifunction",0.00
"pipe_gas","algaeDry","wint","northDistrict",0.00
"pipe_gas","algaeDry","sum","northDistrict",0.00
"pipe_gas","algaeDry","shoulder","northDistrict",0.00
"pipe_gas","algaeDry","wint","quality",0.00
"pipe_gas","algaeDry","sum","quality",0.00
"pipe_gas","algaeDry","shoulder","quality",0.00
"pipe_gas","algaeDry","wint","reserved",0.00
"pipe_gas","algaeDry","sum","reserved",0.00
"pipe_gas","algaeDry","shoulder","reserved",0.00
"pipe_gas","algaeDry","wint","residential",0.00
"pipe_gas","algaeDry","sum","residential",0.00
"pipe_gas","algaeDry","shoulder","residential",0.00
"pipe_gas","algaeDry","wint","school",0.00
"pipe_gas","algaeDry","sum","school",0.00
"pipe_gas","algaeDry","shoulder","school",0.00
"pipe_gas","algaeDry","wint","tech",0.00
"pipe_gas","algaeDry","sum","tech",0.00
"pipe_gas","algaeDry","shoulder","tech",0.00
"pipe_gas","ash","wint","dormitories",0.00
"pipe_gas","ash","sum","dormitories",0.00
"pipe_gas","ash","shoulder","dormitories",0.00
"pipe_gas","ash","wint","energyIsland",0.00
"pipe_gas","ash","sum","energyIsland",0.00
"pipe_gas","ash","shoulder","energyIsland",0.00
"pipe_gas","ash","wint","factory",0.00
"pipe_gas","ash","sum","factory",0.00
"pipe_gas","ash","shoulder","factory",0.00
"pipe_gas","ash","wint","factory_assembly",0.00
"pipe_gas","ash","sum","factory_assembly",0.00
"pipe_gas","ash","shoulder","factory_assembly",0.00
"pipe_gas","ash","wint","factory_blades",0.00
"pipe_gas","ash","sum","factory_blades",0.00
"pipe_gas","ash","shoulder","factory_blades",0.00
"pipe_gas","ash","wint","hospital",0.00
"pipe_gas","ash","sum","hospital",0.00
"pipe_gas","ash","shoulder","hospital",0.00
"pipe_gas","ash","wint","multifunction",0.00
"pipe_gas","ash","sum","multifunction",0.00
"pipe_gas","ash","shoulder","multifunction",0.00
"pipe_gas","ash","wint","northDistrict",0.00
"pipe_gas","ash","sum","northDistrict",0.00
"pipe_gas","ash","shoulder","northDistrict",0.00
"pipe_gas","ash","wint","quality",0.00
"pipe_gas","ash","sum","quality",0.00
"pipe_gas","ash","shoulder","quality",0.00
"pipe_gas","ash","wint","reserved",0.00
"pipe_gas","ash","sum","reserved",0.00
"pipe_gas","ash","shoulder","reserved",0.00
"pipe_gas","ash","wint","residential",0.00
"pipe_gas","ash","sum","residential",0.00
"pipe_gas","ash","shoulder","residential",0.00
"pipe_gas","ash","wint","school",0.00
"pipe_gas","ash","sum","school",0.00
"pipe_gas","ash","shoulder","school",0.00
"pipe_gas","ash","wint","tech",0.00
"pipe_gas","ash","sum","tech",0.00
