"transp_tech","zone_start","zone_end","isTransp"
"pipe_gas","dormitories","dormitories",0.00
"pipe_gas","dormitories","energyIsland",0.00
"pipe_gas","dormitories","factory",0.00
"pipe_gas","dormitories","factory_assembly",0.00
"pipe_gas","dormitories","factory_blades",0.00
"pipe_gas","dormitories","hospital",0.00
"pipe_gas","dormitories","multifunction",0.00
"pipe_gas","dormitories","northDistrict",0.00
"pipe_gas","dormitories","quality",0.00
"pipe_gas","dormitories","reserved",0.00
"pipe_gas","dormitories","residential",0.00
"pipe_gas","dormitories","school",0.00
"pipe_gas","dormitories","tech",0.00
"pipe_gas","energyIsland","dormitories",0.00
"pipe_gas","energyIsland","energyIsland",0.00
"pipe_gas","energyIsland","factory",0.00
"pipe_gas","energyIsland","factory_assembly",0.00
"pipe_gas","energyIsland","factory_blades",0.00
"pipe_gas","energyIsland","hospital",0.00
"pipe_gas","energyIsland","multifunction",0.00
"pipe_gas","energyIsland","northDistrict",0.00
"pipe_gas","energyIsland","quality",0.00
"pipe_gas","energyIsland","reserved",0.00
"pipe_gas","energyIsland","residential",0.00
"pipe_gas","energyIsland","school",0.00
"pipe_gas","energyIsland","tech",0.00
"pipe_gas","factory","dormitories",0.00
"pipe_gas","factory","energyIsland",0.00
"pipe_gas","factory","factory",0.00
"pipe_gas","factory","factory_assembly",0.00
"pipe_gas","factory","factory_blades",0.00
"pipe_gas","factory","hospital",0.00
"pipe_gas","factory","multifunction",0.00
"pipe_gas","factory","northDistrict",0.00
"pipe_gas","factory","quality",0.00
"pipe_gas","factory","reserved",0.00
"pipe_gas","factory","residential",0.00
"pipe_gas","factory","school",0.00
"pipe_gas","factory","tech",0.00
"pipe_gas","factory_assembly","dormitories",0.00
"pipe_gas","factory_assembly","energyIsland",0.00
"pipe_gas","factory_assembly","factory",0.00
"pipe_gas","factory_assembly","factory_assembly",0.00
"pipe_gas","factory_assembly","factory_blades",0.00
"pipe_gas","factory_assembly","hospital",0.00
"pipe_gas","factory_assembly","multifunction",0.00
"pipe_gas","factory_assembly","northDistrict",0.00
"pipe_gas","factory_assembly","quality",0.00
"pipe_gas","factory_assembly","reserved",0.00
"pipe_gas","factory_assembly","residential",0.00
"pipe_gas","factory_assembly","school",0.00
"pipe_gas","factory_assembly","tech",0.00
"pipe_gas","factory_blades","dormitories",0.00
"pipe_gas","factory_blades","energyIsland",0.00
"pipe_gas","factory_blades","factory",0.00
"pipe_gas","factory_blades","factory_assembly",0.00
"pipe_gas","factory_blades","factory_blades",0.00
"pipe_gas","factory_blades","hospital",0.00
"pipe_gas","factory_blades","multifunction",0.00
"pipe_gas","factory_blades","northDistrict",0.00
"pipe_gas","factory_blades","quality",0.00
"pipe_gas","factory_blades","reserved",0.00
"pipe_gas","factory_blades","residential",0.00
"pipe_gas","factory_blades","school",0.00
"pipe_gas","factory_blades","tech",0.00
"pipe_gas","hospital","dormitories",0.00
"pipe_gas","hospital","energyIsland",0.00
"pipe_gas","hospital","factory",0.00
"pipe_gas","hospital","factory_assembly",0.00
"pipe_gas","hospital","factory_blades",0.00
"pipe_gas","hospital","hospital",0.00
"pipe_gas","hospital","multifunction",0.00
"pipe_gas","hospital","northDistrict",0.00
"pipe_gas","hospital","quality",0.00
"pipe_gas","hospital","reserved",0.00
"pipe_gas","hospital","residential",0.00
"pipe_gas","hospital","school",0.00
"pipe_gas","hospital","tech",0.00
"pipe_gas","multifunction","dormitories",0.00
"pipe_gas","multifunction","energyIsland",0.00
"pipe_gas","multifunction","factory",0.00
"pipe_gas","multifunction","factory_assembly",0.00
"pipe_gas","multifunction","factory_blades",0.00
"pipe_gas","multifunction","hospital",0.00
"pipe_gas","multifunction","multifunction",0.00
"pipe_gas","multifunction","northDistrict",0.00
"pipe_gas","multifunction","quality",0.00
"pipe_gas","multifunction","reserved",0.00
"pipe_gas","multifunction","residential",0.00
"pipe_gas","multifunction","school",0.00
"pipe_gas","multifunction","tech",0.00
"pipe_gas","northDistrict","dormitories",0.00
"pipe_gas","northDistrict","energyIsland",0.00
"pipe_gas","northDistrict","factory",0.00
"pipe_gas","northDistrict","factory_assembly",0.00
"pipe_gas","northDistrict","factory_blades",0.00
"pipe_gas","northDistrict","hospital",0.00
"pipe_gas","northDistrict","multifunction",0.00
"pipe_gas","northDistrict","northDistrict",0.00
"pipe_gas","northDistrict","quality",0.00
"pipe_gas","northDistrict","reserved",0.00
"pipe_gas","northDistrict","residential",0.00
"pipe_gas","northDistrict","school",0.00
"pipe_gas","northDistrict","tech",0.00
"pipe_gas","quality","dormitories",0.00
"pipe_gas","quality","energyIsland",0.00
"pipe_gas","quality","factory",0.00
"pipe_gas","quality","factory_assembly",0.00
