"resource","season","zone","imports","exports"
"biomass","sum","multifunction",0.01,0
"CO2","wint","factory",0,0.5
"CO2","shoulder","factory",0,0.25
"CO2","wint","factory_assembly",0,0.46
"CO2","sum","factory_assembly",0,0.16
"CO2","shoulder","factory_assembly",0,0.23
"CO2","sum","hospital",0,0.48
"CO2","shoulder","hospital",0,0.55
"CO2","wint","northDistrict",0,0.02
"CO2","sum","northDistrict",0,0.21
"CO2","shoulder","northDistrict",0,0.01
"CO2","wint","reserved",0,0.2
"CO2","shoulder","reserved",0,0.1
"CO2","wint","residential",0,22.42
"CO2","sum","residential",0,22.77
"CO2","shoulder","residential",0,22.35
"coal","wint","residential",0.41,0
"coal","sum","residential",0.41,0
"coal","shoulder","residential",0.41,0
"elec","sum","dormitories",0,0.07
"elec","sum","energyIsland",0,0.01
"elec","sum","factory_blades",0,0.03
"elec","sum","quality",0,0.02
"elec","wint","reserved",0,0.16
"elec","shoulder","reserved",0,0.08
"elec","sum","school",0,0.06
"elec","sum","tech",0,0.03
"gasoline","wint","residential",0.01,0
"gasoline","sum","residential",0.01,0
"gasoline","shoulder","residential",0.01,0
"groundWater","wint","northDistrict",7.2,0
"groundWater","sum","northDistrict",5.89,0
"groundWater","shoulder","northDistrict",6.13,0
"heat","sum","factory",0,0.07
"heat","wint","hospital",0,0.07
"heat","sum","hospital",0,5.34
"heat","wint","residential",0,237.1
"heat","sum","residential",0,235.34
"heat","shoulder","residential",0,249.62
"waste","wint","factory",0,0.01
"waste","shoulder","factory",0,0.01
"waste","wint","factory_assembly",0,0.01
"waste","shoulder","factory_assembly",0,0.01
"waste","sum","hospital",0,0.01
"waste","shoulder","hospital",0,0.01
"waste","sum","northDistrict",0,0.01
"wastewater","wint","factory",0,0.19
"wastewater","sum","factory",0,0.19
"wastewater","shoulder","factory",0,0.19
"wastewater","wint","northDistrict",0,2.32
"wastewater","sum","northDistrict",0,2.32
"wastewater","shoulder","northDistrict",0,2.32
"water","wint","residential",56.12,0
"water","sum","residential",57.53,0
"water","shoulder","residential",56.96,0
"waterNonPotable","sum","dormitories",0,0.19
"waterNonPotable","wint","energyIsland",0,0.01
"waterNonPotable","sum","energyIsland",0,0.03
"waterNonPotable","wint","factory",1.2,0
"waterNonPotable","sum","factory",2.3,0
"waterNonPotable","shoulder","factory",1.75,0
"waterNonPotable","wint","factory_assembly",0,1.04
"waterNonPotable","sum","factory_assembly",0,0.37
"waterNonPotable","shoulder","factory_assembly",0,0.52
"waterNonPotable","sum","factory_blades",0,0.09
"waterNonPotable","wint","hospital",0,0.01
"waterNonPotable","sum","hospital",0,1.08
"waterNonPotable","shoulder","hospital",0,1.22
"waterNonPotable","sum","quality",0,0.06
"waterNonPotable","wint","reserved",0,0.44
"waterNonPotable","shoulder","reserved",0,0.22
"waterNonPotable","wint","residential",0,45.7
"waterNonPotable","sum","residential",0,46.31
"waterNonPotable","shoulder","residential",0,45.57
"waterNonPotable","sum","school",0,0.16
"waterNonPotable","sum","tech",0,0.09
