"process","season","zone","rate","number"
"activated-sludge-l","wint","dormitories",0.00,0.00
"activated-sludge-l","wint","energyIsland",0.00,0.00
"activated-sludge-l","wint","factory",0.00,0.00
"activated-sludge-l","wint","factory_assembly",0.00,0.00
"activated-sludge-l","wint","factory_blades",0.00,0.00
"activated-sludge-l","wint","hospital",0.00,0.00
"activated-sludge-l","wint","multifunction",0.00,0.00
"activated-sludge-l","wint","northDistrict",0.00,0.00
"activated-sludge-l","wint","quality",0.00,0.00
"activated-sludge-l","wint","reserved",0.00,0.00
"activated-sludge-l","wint","residential",0.00,0.00
"activated-sludge-l","wint","school",0.00,0.00
"activated-sludge-l","wint","tech",0.00,0.00
"activated-sludge-l","sum","dormitories",0.00,0.00
"activated-sludge-l","sum","energyIsland",0.00,0.00
"activated-sludge-l","sum","factory",0.00,0.00
"activated-sludge-l","sum","factory_assembly",0.00,0.00
"activated-sludge-l","sum","factory_blades",0.00,0.00
"activated-sludge-l","sum","hospital",0.00,0.00
"activated-sludge-l","sum","multifunction",0.00,0.00
"activated-sludge-l","sum","northDistrict",0.00,0.00
"activated-sludge-l","sum","quality",0.00,0.00
"activated-sludge-l","sum","reserved",0.00,0.00
"activated-sludge-l","sum","residential",0.00,0.00
"activated-sludge-l","sum","school",0.00,0.00
"activated-sludge-l","sum","tech",0.00,0.00
"activated-sludge-l","shoulder","dormitories",0.00,0.00
"activated-sludge-l","shoulder","energyIsland",0.00,0.00
"activated-sludge-l","shoulder","factory",0.00,0.00
"activated-sludge-l","shoulder","factory_assembly",0.00,0.00
"activated-sludge-l","shoulder","factory_blades",0.00,0.00
"activated-sludge-l","shoulder","hospital",0.00,0.00
"activated-sludge-l","shoulder","multifunction",0.00,0.00
"activated-sludge-l","shoulder","northDistrict",0.00,0.00
"activated-sludge-l","shoulder","quality",0.00,0.00
"activated-sludge-l","shoulder","reserved",0.00,0.00
"activated-sludge-l","shoulder","residential",0.00,0.00
"activated-sludge-l","shoulder","school",0.00,0.00
"activated-sludge-l","shoulder","tech",0.00,0.00
"activated-sludge-ozone-l","wint","dormitories",0.00,0.00
"activated-sludge-ozone-l","wint","energyIsland",0.00,0.00
"activated-sludge-ozone-l","wint","factory",0.00,0.00
"activated-sludge-ozone-l","wint","factory_assembly",0.00,0.00
"activated-sludge-ozone-l","wint","factory_blades",0.00,0.00
"activated-sludge-ozone-l","wint","hospital",0.00,0.00
"activated-sludge-ozone-l","wint","multifunction",0.00,0.00
"activated-sludge-ozone-l","wint","northDistrict",0.00,0.00
"activated-sludge-ozone-l","wint","quality",0.00,0.00
"activated-sludge-ozone-l","wint","reserved",0.00,0.00
"activated-sludge-ozone-l","wint","residential",0.00,0.00
"activated-sludge-ozone-l","wint","school",0.00,0.00
"activated-sludge-ozone-l","wint","tech",0.00,0.00
"activated-sludge-ozone-l","sum","dormitories",0.00,0.00
"activated-sludge-ozone-l","sum","energyIsland",0.00,0.00
"activated-sludge-ozone-l","sum","factory",0.00,0.00
"activated-sludge-ozone-l","sum","factory_assembly",0.00,0.00
"activated-sludge-ozone-l","sum","factory_blades",0.00,0.00
"activated-sludge-ozone-l","sum","hospital",0.00,0.00
"activated-sludge-ozone-l","sum","multifunction",0.00,0.00
"activated-sludge-ozone-l","sum","northDistrict",0.00,0.00
"activated-sludge-ozone-l","sum","quality",0.00,0.00
"activated-sludge-ozone-l","sum","reserved",0.00,0.00
"activated-sludge-ozone-l","sum","residential",0.00,0.00
"activated-sludge-ozone-l","sum","school",0.00,0.00
