"resource","season","zone","imports","exports"
"biomass","sum","dormitories",0.04,0
"CO2","wint","energyIsland",0,0.01
"CO2","sum","energyIsland",0,0.01
"CO2","wint","factory",0,0.5
"CO2","sum","factory",0,0.01
"CO2","wint","factory_assembly",0,0.46
"CO2","sum","factory_assembly",0,0.18
"CO2","shoulder","factory_assembly",0,0.23
"CO2","wint","factory_blades",0,21.08
"CO2","sum","factory_blades",0,0.01
"CO2","wint","multifunction",0,0.01
"CO2","sum","multifunction",0,0.01
"CO2","wint","northDistrict",0,0.03
"CO2","wint","reserved",0,0.2
"CO2","wint","residential",0,1.12
"coal","wint","factory_blades",0.4,0
"cool","shoulder","residential",0,11.63
"digestate","wint","factory",0,0.02
"digestate","sum","factory",0,0.02
"gasoline","wint","northDistrict",0.02,0
"groundWater","wint","school",10.3,0
"groundWater","sum","school",7.56,0
"groundWater","shoulder","school",7.56,0
"heat","sum","factory",0,7.44
"heat","shoulder","factory",0,4.5
"heat","wint","factory_blades",0,235.52
"heat","sum","factory_blades",0,246.54
"heat","shoulder","factory_blades",0,247.5
"heat","wint","hospital",0,0.06
"heat","sum","hospital",0,7.03
"heat","shoulder","hospital",0,0.89
"heat","sum","reserved",0,7.5
"heat","shoulder","reserved",0,6.3
"heat","sum","residential",0,4.4
"heat","shoulder","residential",0,11.93
"heat","wint","school",0,0.01
"waste","wint","factory",0,0.01
"waste","wint","factory_assembly",0,0.01
"waste","shoulder","factory_assembly",0,0.01
"waste","wint","residential",0,0.03
"wastewater","wint","residential",0,1.44
"wastewater","sum","residential",0,1.44
"wastewater","shoulder","residential",0,1.44
"water","wint","factory_blades",51.47,0
"water","sum","factory_blades",4,0
"water","shoulder","factory_blades",4.08,0
"waterNonPotable","wint","factory",1.2,0
"waterNonPotable","sum","factory",100,99.08
"waterNonPotable","shoulder","factory",100,99.08
"waterNonPotable","wint","factory_assembly",0,1.04
"waterNonPotable","sum","factory_assembly",0,0.4
"waterNonPotable","shoulder","factory_assembly",0,0.52
"waterNonPotable","wint","factory_blades",0,45.17
"waterNonPotable","sum","factory_blades",0,45.84
"waterNonPotable","shoulder","factory_blades",0,45.84
"waterNonPotable","wint","hospital",0,0.01
"waterNonPotable","sum","hospital",0,1.39
"waterNonPotable","shoulder","hospital",0,1.39
"waterNonPotable","wint","reserved",0,0.44
"waterNonPotable","sum","reserved",0,1.39
"waterNonPotable","shoulder","reserved",0,1.39
"waterNonPotable","wint","residential",0,0.14
"waterNonPotable","sum","residential",0,1.86
"waterNonPotable","shoulder","residential",0,1.86
