"resource","season","zone","imports","exports"
"algae","wint","dormitories",0.00,0.00
"algae","sum","dormitories",0.00,0.00
"algae","shoulder","dormitories",0.00,0.00
"algae","wint","energyIsland",0.00,0.00
"algae","sum","energyIsland",0.00,0.00
"algae","shoulder","energyIsland",0.00,0.00
"algae","wint","factory",0.00,0.00
"algae","sum","factory",0.00,0.00
"algae","shoulder","factory",0.00,0.00
"algae","wint","factory_assembly",0.00,0.00
"algae","sum","factory_assembly",0.00,0.00
"algae","shoulder","factory_assembly",0.00,0.00
"algae","wint","factory_blades",0.00,0.00
"algae","sum","factory_blades",0.00,0.00
"algae","shoulder","factory_blades",0.00,0.00
"algae","wint","hospital",0.00,0.00
"algae","sum","hospital",0.00,0.00
"algae","shoulder","hospital",0.00,0.00
"algae","wint","multifunction",0.00,0.00
"algae","sum","multifunction",0.00,0.00
"algae","shoulder","multifunction",0.00,0.00
"algae","wint","northDistrict",0.00,0.00
"algae","sum","northDistrict",0.00,0.00
"algae","shoulder","northDistrict",0.00,0.00
"algae","wint","quality",0.00,0.00
"algae","sum","quality",0.00,0.00
"algae","shoulder","quality",0.00,0.00
"algae","wint","reserved",0.00,0.00
"algae","sum","reserved",0.00,0.00
"algae","shoulder","reserved",0.00,0.00
"algae","wint","residential",0.00,0.00
"algae","sum","residential",0.00,0.00
"algae","shoulder","residential",0.00,0.00
"algae","wint","school",0.00,0.00
"algae","sum","school",0.00,0.00
"algae","shoulder","school",0.00,0.00
"algae","wint","tech",0.00,0.00
"algae","sum","tech",0.00,0.00
"algae","shoulder","tech",0.00,0.00
"algaeDry","wint","dormitories",0.00,0.00
"algaeDry","sum","dormitories",0.00,0.00
"algaeDry","shoulder","dormitories",0.00,0.00
"algaeDry","wint","energyIsland",0.00,0.00
"algaeDry","sum","energyIsland",0.00,0.00
"algaeDry","shoulder","energyIsland",0.00,0.00
"algaeDry","wint","factory",0.00,0.00
"algaeDry","sum","factory",0.00,0.00
"algaeDry","shoulder","factory",0.00,0.00
"algaeDry","wint","factory_assembly",0.00,0.00
"algaeDry","sum","factory_assembly",0.00,0.00
"algaeDry","shoulder","factory_assembly",0.00,0.00
"algaeDry","wint","factory_blades",0.00,0.00
"algaeDry","sum","factory_blades",0.00,0.00
"algaeDry","shoulder","factory_blades",0.00,0.00
"algaeDry","wint","hospital",0.00,0.00
