"process","display_name","sector"
"activated-sludge-l","ASP","waste"
"activated-sludge-ozone-l","ASP","waste"
"activated-sludge-ozone-s","ASP","waste"
"activated-sludge-s","ASP","waste"
"airCon_central","AC","energy"
"airCon_split","AC","energy"
"algae-cultivation-l","Alg. Cult. (pond)","other"
"algae-cultivation-s","Alg. Cult. (pond)","other"
"algae-production-photobioreactor-flatPlat","Alg. Cult. (bioreactor)","other"
"algae-production-photobioreactor-tubular","Alg. Cult. (bioreactor)","other"
"algae-production-pond-l","Alg. Cult. (pond)","other"
"algae-production-pond-s","Alg. Cult. (pond)","other"
"anaerobic-digester-annamox-l","AD (annamox)","waste"
"anaerobic-digester-annamox-s","AD (annamox)","waste"
"anaerobicDigestion_sludge-l","AD (annamox)","waste"
"anaerobicDigestion_sludge_manure-l","AD (manure)","waste"
"anaerobicDigestion_sludge_manure-s","AD (manure)","waste"
"anaerobicDigestion_sludge-s","AD","waste"
"anaerobicDigestion_sludge_usedOil-l","AD (used oil)","waste"
"anaerobicDigestion_sludge_usedOil-s","AD (used oil)","waste"
"anaerobicDigestion_wastewater-l","AD (wastewater)","waste"
"anaerobicDigestion_wastewater-s","AD (wastewater)","waste"
"anaerobicFermentation","AD (fermentation)","waste"
"AnMBR-reverseOsmosis_wastewater-l","AD (MBR)","waste"
"AnMBR-reverseOsmosis_wastewater-s","AD (MBR)","waste"
"biochemical_cornStover_ethanol-l","BF (ethanol)","energy"
"biochemical_cornStover_ethanol-s","BF (ethanol)","energy"
"biochemical_wastePaper_ethanol-l","BF (ethanol)","energy"
"biochemical_wastePaper_ethanol-s","BF (ethanol)","energy"
"biochemical_wheatStraw_ethanol-l","BF (ethanol)","energy"
"biochemical_wheatStraw_ethanol-s","BF (ethanol)","energy"
"biochemical_woodChips_ethanol-l","BF (ethanol)","energy"
"biochemical_woodChips_ethanol-s","BF (ethanol)","energy"
"biodiesel_boiler-l","Boiler (biodies.)","energy"
"biodiesel_boiler-s","Boiler (biodies.)","energy"
"biodiesel-cookingOil-l","Biodiesel reuse","other"
"biodiesel-cookingOil-s","Biodiesel reuse","other"
