"resource","exergy.unconv","units","reference","conv.factor","units.conv","exergy.conv.MjperX"
"algae",17,"MJ/kg","Estimate from http://www.sciencedirect.com/science/article/pii/S1364032111003212, p1219",1,"MJ/kg",17
"algaeDry",17,"MJ/kg","Estimate from http://www.sciencedirect.com/science/article/pii/S1364032111003212, p1219",1,"MJ/kg",17
"ash",5.0735,"MJ/kg","Chapter 3 calculations",1,"MJ/kg",5.0735
"biodiesel",45,"MJ/kg","link.springer.com/article/10.1007/s10973-013-3323-9, Figure 3",1,"MJ/kg",45
"biogas",831862,"kJ/kmol","link.springer.com/article/10.1007/s10973-013-3323-9, p18",0.0000625,"MJ/kg",51.991375
"biomass",17,"MJ/kg","Estimate from http://www.sciencedirect.com/science/article/pii/S1364032111003212, p1219",1,"MJ/kg",17
"biomassAgriWaste",5.0735,"MJ/kg","Chapter 3 calculations",1,"MJ/kg",5.0735
"biooil",45,"MJ/kg","link.springer.com/article/10.1007/s10973-013-3323-9, Figure 3",1,"MJ/kg",45
"butanol",1.4,"MJ/mol","http://web.mit.edu/2.813/www/readings/APPENDIX.pdf (assume as for ethanol), converting by 0.074 kg/mol",13.5135135135,"MJ/kg",18.9189189189
"CNG",831862,"kJ/kmol","link.springer.com/article/10.1007/s10973-013-3323-9, p18",0.0000625,"MJ/kg",51.991375
"CO2",0.01948,"MJ/mol","http://web.mit.edu/2.813/www/readings/APPENDIX.pdf, converting by 0.044 kg/mol",22.7272727273,,0.4427272727
"coal",20,"MJ/kg","http://link.springer.com/article/10.1007/s10973-013-3323-9, estimate from Table 2",1,"MJ/kg",20
"coke",20,"MJ/kg","http://link.springer.com/article/10.1007/s10973-013-3323-9, estimate from Table 2 (assume as for coal)",1,"MJ/kg",20
"cold_primary_feed",0,,"assume",1,"MJ/kg",0
"cold_primary_return",0,,"assume",1,"MJ/kg",0
"cold_secondary_feed",0,,"assume",1,"MJ/kg",0
"cold_secondary_return",0,,"assume",1,"MJ/kg",0
"cool",0.1,"J/J","assume as for heat",1,"MJ/MJ",0.1
"cooling",0.1,"J/J","assume as for heat",1,"MJ/MJ",0.1
"diesel",45,"MJ/kg","link.springer.com/article/10.1007/s10973-013-3323-9, Figure 3",1,"MJ/kg",45
"digestate",5.0735,"MJ/kg","Chapter 3 calculations",1,"MJ/kg",5.0735
"DME",831862,"kJ/kmol","link.springer.com/article/10.1007/s10973-013-3323-9, p18",0.0000625,"MJ/kg",51.991375
"effluent",0.0004022719,"MJ/m3","Chapter 3 calculations, 1/T0 * (c1-c0)(18.25 + 0.077 ln(c1/c0) * 1e3, T0=273, c1=1.2e-5, c0=6e-6",0.001,"MJ/kg",4.022719E-007
"elec",1,"J/J","by definition",1,"MJ/MJ",1
"electricity",1,"J/J","by definition",1,"MJ/MJ",1
"ethanol",1.4,"MJ/mol","http://web.mit.edu/2.813/www/readings/APPENDIX.pdf, converting by 0.074 kg/mol",13.5135135135,"MJ/kg",18.9189189189
"fertilizer",5.0735,"MJ/kg","Chapter 3 calculations",1,"MJ/kg",5.0735
"food waste",5.0735,"MJ/kg","Chapter 3 calculations",1,"MJ/kg",5.0735
"fuel",45,"MJ/kg","link.springer.com/article/10.1007/s10973-013-3323-9, Figure 3",1,"MJ/kg",45
"fuelOil",45,"MJ/kg","link.springer.com/article/10.1007/s10973-013-3323-9, Figure 3",1,"MJ/kg",45
"gas",831862,"kJ/kmol","link.springer.com/article/10.1007/s10973-013-3323-9, p18",0.0000625,"MJ/kg",51.991375
"gasLandfill",831862,"kJ/kmol","link.springer.com/article/10.1007/s10973-013-3323-9, p18",0.0000625,"MJ/kg",51.991375
