"resource","sector"
"algae","other"
"algaeDry","other"
"ash","waste"
"biodiesel","energy"
"biogas","energy"
"biomass","other"
"biomassAgriWaste","waste"
"biooil","energy"
"butanol","energy"
"CNG","energy"
"CO2","other"
"coal","energy"
"coke","energy"
"cold_primary_feed","energy"
"cold_primary_return","energy"
"cold_secondary_feed","energy"
"cold_secondary_return","energy"
"cool","energy"
"cooling","energy"
"diesel","energy"
"digestate","waste"
"DME","energy"
"effluent","water"
"elec","energy"
"electricity","energy"
"ethanol","energy"
"fertilizer","other"
"food waste","waste"
"fuel","energy"
"fuelOil","energy"
"gas","energy"
"gasLandfill","waste"
"gasNatural","energy"
"gasoline","energy"
"groundWater","energy"
"heat","energy"
"hot_primary_feed","energy"
"hot_primary_return","energy"
"hot_secondary_feed","energy"
"hot_secondary_return","energy"
"hydrogen","energy"
"leachate","waste"
"liquidFuel","energy"
"LPG","energy"
"manure","waste"
"metal","waste"
"methane","energy"
"methanol","energy"
"MSW","waste"
"nuclearFuelSpent","waste"
"oilUsed","waste"
"ozone","energy"
"oil","energy"
"propane","energy"
"rain","water"
"recyclables","waste"
"seawater","water"
"slag","waste"
"sludge","waste"
"solar","energy"
"spent fuel","waste"
"uranium","energy"
"vegWaste","waste"
"waste","waste"
"waste_organic","waste"
"wastewater","water"
"water","water"
"water_pure","water"
"waterBrackish","water"
"waterIrrigation","water"
"waterNonPotable","water"
"waterPotable","water"
"wind","energy"
"wood","other"
