"titles","word_matches","cat_matches","cat_matches_list","optim"
"Energy efficiency in waste water treatments plants: Optimization of activated sludge process coupled with anaerobic digestion",6,4,"energy, various, waste, water",1
"Water modeling in an energy optimization framework - The water-scarce middle east context",4,2,"energy, water",1
"Cost optimisation and minimisation of the environmental impact through life cycle analysis of the waste water treatment plant of Bree (Belgium)",4,3,"various, waste, water",1
"Integrated design and optimization of technologies for utilizing low grade heat in process industries",3,1,"energy",1
"Municipal solid waste to liquid transportation fuels - Part II: Process synthesis and global optimization strategies",4,2,"energy, waste",1
"Thermodynamic analysis and optimization of an ammonia-water power system with LNG (liquefied natural gas) as its heat sink",5,2,"energy, water",1
"Towards a global multi objective optimization of wastewater treatment plant based on modeling and genetic algorithms",4,2,"various, waste",1
"Performance prediction and optimization of a waste-to-energy cogeneration plant with combined wet and dry cooling system",5,2,"energy, waste",1
"Parametric study and optimization of an ejector-expansion TRCC cycle integrated with a water purification system",2,1,"water",1
"Development and optimization of a modified process for producing the battery grade LiOH: Optimization of energy and water consumption",3,2,"energy, water",1
"Flow rate optimization of a linear concentrating photovoltaic system",2,1,"energy",1
"Degradation of industrial waste waters on Fe/C-fabrics. Optimization of the solution parameters during reactor operation",2,1,"waste",1
"Optimization of energy costs in the pretreatment of olive mill wastewaters by electrocoagulation",4,3,"energy, other, waste",1
"Compromising economic cost and air pollutant emissions of municipal solid waste management strategies by fuzzy multiobjective optimization model",5,1,"waste",1
"Stochastic, multiobjective, mixed-integer optimization model for wastewater-derived energy",3,2,"energy, waste",1
"Detailed dynamic pumping energy models for optimization and control of wastewater applications",4,2,"energy, waste",1
"Comprehensive River Water Quality Management by Simulation and Optimization Models",4,1,"water",1
"Nutrient and cost optimization of fertilizing strategies for Salix including use of organic waste products",3,2,"various, waste",1
"Experimental and theoretical investigation of Stirling engine heater: Parametrical optimization",3,1,"energy",1
"Investigation on the thermal performance and optimization of a heat pump water heater assisted by shower waste water",6,3,"energy, waste, water",1
"Optimisation of biomass waste to energy conversion systems for rural grid-connected applications",4,3,"energy, various, waste",1
"Fuzzy optimization of a waste-to-energy network system in an eco-industrial park",4,2,"energy, waste",1
"HVAC system optimization - Condenser water loop",3,2,"energy, water",1
"An Improved Linear Programming Approach for Simultaneous Optimization of Water and Energy",3,2,"energy, water",1
"A rapid and low energy consumption method to decolorize the high concentration triphenylmethane dye wastewater: Operational parameters optimization for the ultrasonic-assisted ozone oxidation process",3,2,"energy, waste",1
"Hybrid response surface methodology-genetic algorithm optimization of ultrasound-assisted transesterification of waste oil catalysed by immobilized lipase on mesoporous silica/iron oxide magnetic core-shell nanoparticles",4,3,"energy, other, waste",1
"Multi-objective optimization of water distribution systems based on a real options approach",2,1,"water",1
"Thermodynamic optimization of a solar system for cogeneration of water heating and absorption cooling",6,2,"energy, water",1
"Study on two operating conditions of a full-scale oxidation ditch for optimization of energy consumption and effluent quality by using CFD model",3,2,"energy, waste",1
"Modeling and optimization of a novel pressurized CHP system with water extraction and refrigeration",5,2,"energy, water",1
"Process optimization of wasted edible oil hydrolytic acidification in two-phase anaerobic digestion",4,3,"energy, various, waste",1
"Multi-objective optimization of the setup of a surfactant-enhanced DNAPL remediation",1,0,"",1
"Installed capacity optimization of distributed energy resource systems for residential buildings",2,1,"energy",1
"Process enhancement through waste minimization and multiobjective optimization",2,1,"waste",1
"Optimization of reactor depth in membrane bioreactors for municipal wastewater treatment",4,2,"various, waste",1
"Pinch analysis for process energy optimization",2,1,"energy",1
"Carbon and air pollutants constrained energy planning for clean power generation with a robust optimization model-A case study of Jining City, China",5,2,"energy, waste",1
"Optimal design for heat-integrated water-using and wastewater treatment networks",6,4,"energy, various, waste, water",1
"Optimization of storage reservoir considering water quantity and quality",2,1,"water",1
"Thermodynamic optimization opportunities for the recovery and utilization of residual energy and heat in China's iron and steel industry: A case study",6,3,"energy, other, various",1
"Computer simulation and optimization of ammonia-water absorption refrigeration systems",4,2,"energy, water",1
"Industrial water management by multiobjective optimization: From individual to collective solution through eco-industrial parks",2,1,"water",1
"Biomass to liquid transportation fuels (BTL) systems: Process synthesis and global optimization framework",3,2,"energy, various",1
"Optimization of cross flow heat exchangers for thermoelectric waste heat recovery",4,3,"energy, various, waste",1
"Design and techno-economic optimization of a stand-alone PV (photovoltaic)/FC (fuel cell)/battery hybrid power system connected toa wastewater-to-hydrogen processor",7,2,"energy, waste",1
"Adaptive optimal control for a wastewater treatment plant based on a data-driven method",2,2,"various, waste",1
"Optimization study of combined refrigeration cycles driven by an engine",3,1,"energy",1
"Optimal design of inter-plant waste energy integration",3,2,"energy, waste",1
"Optimal design of inter-plant waste energy integration",3,2,"energy, waste",1
"Integrated waste management in batch chemical industry based on multi-objective optimization",2,1,"waste",1
"System analysis and optimisation of a Kalina split-cycle for waste heat recovery on large marine diesel engines",5,3,"energy, various, waste",1
