"words","freq"
"using",827
"production",668
"optimization",660
"analysis",591
"waste",577
"water",571
"energy",535
"process",508
"removal",502
"system",501
"heat",491
"wastewater",458
"study",437
"treatment",424
"model",403
"adsorption",350
"systems",346
"anaerobic",330
"performance",325
"management",315
"design",306
"modeling",304
"aqueous",301
"cycle",297
"carbon",291
"power",287
"biomass",273
"assessment",262
"sludge",254
"approach",253
"based",253
"activated",251
"recovery",247
"gas",234
"organic",229
"effect",220
"environmental",218
"application",211
"acid",199
"evaluation",199
"solid",195
"oil",189
"plant",188
"solution",186
"kinetic",180
"surface",179
"integrated",177
"reactor",176
"methodology",171
"biodiesel",170
"review",170
"method",167
"programming",167
"solar",164
"digestion",158
"optimal",158
"thermodynamic",158
"simulation",157
"case",155
"fuel",154
"studies",154
"combined",152
"network",152
"modelling",151
"response",151
"experimental",148
"development",147
"processes",145
"kinetics",143
"biogas",140
"control",140
"effects",139
"uncertainty",139
"generation",137
"thermal",137
"dye",136
"oxidation",136
"fuzzy",133
"planning",133
"hydrogen",128
"solutions",128
"plants",126
"degradation",124
"municipal",123
"potential",122
"new",119
"temperature",117
"air",116
"efficiency",116
"hybrid",111
"batch",110
"conditions",110
"use",110
"china",109
"life",107
"quality",107
"industrial",106
"sustainable",106
"cooling",105
"pretreatment",105
"rankine",103
"engine",101
"different",100
"novel",100
"characterization",99
"equilibrium",99
"characteristics",98
"economic",98
"parameters",98
"chemical",97
"steam",97
"gasification",95
"investigation",95
"flow",94
"neural",94
"membrane",93
"onto",93
"synthesis",93
"emissions",91
"influence",91
"utilization",91
"comparison",89
"high",89
"biological",88
"dynamic",88
"co2",86
"networks",86
"applications",85
"biosorption",85
"heating",84
"fermentation",82
"integration",82
"low",82
"blue",81
"inexact",81
"comparative",80
"source",80
"supply",80
"impact",79
"enhanced",77
"models",77
"artificial",76
"liquid",76
"microbial",76
"storage",76
"natural",75
"bed",74
"methane",74
"technology",74
"industry",73
"part",73
"properties",73
"technologies",73
"absorption",72
"manure",72
"optimisation",72
"wastes",71
"twostage",70
"food",69
"prediction",69
"resources",69
"cell",68
"green",68
"hydrolysis",68
"mixed",68
"reduction",68
"sewage",68
"cycles",67
"effluent",67
"agricultural",66
"renewable",66
"stochastic",66
"desalination",65
"ethanol",64
"extraction",64
"methods",64
"numerical",64
"operation",64
"photocatalytic",64
"modified",63
"urban",63
"advanced",62
"exergy",62
"pump",62
"pyrolysis",62
"conversion",61
"nitrogen",61
"ions",60
"metal",60
"selection",60
"growth",59
"multiobjective",59
"coal",58
"combustion",58
"cost",58
"refrigeration",58
"strategies",58
"transfer",58
"oxide",57
"reactive",57
"red",57
"soil",57
"continuous",56
"efficient",56
"simultaneous",56
"thermoelectric",56
"decision",55
"material",55
"cogeneration",54
"electrochemical",54
"pollution",54
"straw",54
"supercritical",54
"biohydrogen",53
"data",53
"geothermal",53
"landfill",53
"mathematical",53
"palm",53
"phosphorus",53
"via",53
"materials",52
"multiple",52
"leachate",51
"mill",51
"diesel",50
"emission",50
"fluid",50
"lignocellulosic",50
"methylene",50
"research",50
"consumption",49
"drying",49
"river",49
"sustainability",49
"bioethanol",48
"dynamics",48
"rate",48
"transport",48
"turbine",48
"adsorbent",47
"mass",47
"nutrient",47
"optimizing",47
"remediation",47
"rice",47
"sources",47
"coupled",46
"estimation",46
"processing",46
"scale",46
"catalytic",45
"enzymatic",45
"algorithm",44
"challenges",44
"codigestion",44
"concentration",44
"electrocoagulation",44
"phase",44
"reaction",44
"two",44
"allocation",43
"bioreactor",43
"catalyst",43
"dioxide",43
"heavy",43
"microwave",43
"operating",43
"regional",43
"robust",43
"framework",42
"impacts",42
"media",42
"microalgae",42
"pressure",42
"risk",42
"support",42
"fenton",41
"residues",41
"sorption",41
"ash",40
"behavior",40
"bioenergy",40
"capture",40
"electricity",40
"monitoring",40
"preparation",40
"separation",40
"strategy",40
"working",40
"contaminated",39
"corn",39
"direct",39
"field",39
"greenhouse",39
"interval",39
"reactors",39
"textile",39
"total",39
"used",39
"area",38
"chromium",38
"exchanger",38
"groundwater",38
"linear",38
"olive",38
"techniques",38
"alternative",37
"dyes",37
"fluidized",37
"environment",36
"genetic",36
"optimum",36
"prepared",36
"statistical",36
"thermodynamics",36
"biofuel",35
"compounds",35
"copper",35
"distribution",35
"driven",35
"engineering",35
"fatty",35
"feasibility",35
"marine",35
"metals",35
"multicriteria",35
"pulp",35
"resource",35
"wastewaters",35
"generator",34
"hydrothermal",34
"improving",34
"iron",34
"lead",34
"mechanism",34
"paper",34
"recycling",34
"treating",34
"uncertainties",34
"applied",33
"assisted",33
"building",33
"composting",33
"enhancement",33
"hydraulic",33
"role",33
"time",33
"bagasse",32
"biodegradation",32
"biofuels",32
"composition",32
"derived",32
"distillation",32
"improvement",32
"pollutants",32
"shell",32
"technoeconomic",32
"wood",32
"chain",31
"district",31
"exhaust",31
"fuels",31
"future",31
"nanoparticles",31
"orange",31
"pilot",31
"reuse",31
"single",31
"algal",30
"determination",30
"formation",30
"global",30
"identification",30
"options",30
"phenol",30
"photofenton",30
"products",30
"recent",30
"state",30
"various",30
"yield",30
"ammonia",29
"buildings",29
"composite",29
"computational",29
"dairy",29
"factors",29
"ion",29
"oxygen",29
"porous",29
"problems",29
"reforming",29
"residue",29
"sequencing",29
"size",29
"swine",29
"thermophilic",29
"towards",29
"wheat",29
"adsorbents",28
"aerobic",28
"effective",28
"exchange",28
"fish",28
"heterogeneous",28
"matter",28
"mixture",28
"operational",28
"pretreated",28
"reducing",28
"spent",28
"theoretical",28
"twophase",28
"cadmium",27
"community",27
"containing",27
"electric",27
"free",27
"implications",27
"isotherm",27
"nuclear",27
"perspective",27
"produced",27
"simulated",27
"site",27
"small",27
"structure",27
